"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100100","100100","North Cape",2013,1161,"total people with a stated religious-affiliation response",867,74.68,294,25.32,5,43.07,0.01,829.19,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100100","100100","North Cape",2018,1602,"total people with a stated religious-affiliation response",1023,63.86,579,36.14,5,31.21,0.01,829.19,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100100","100100","North Cape",2023,1905,"total people with a stated religious-affiliation response",1065,55.91,840,44.09,5,26.25,0.01,829.19,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100200","100200","Rangaunu Harbour",2013,1716,"total people with a stated religious-affiliation response",1176,68.53,540,31.47,2,11.66,0.01,274,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100200","100200","Rangaunu Harbour",2018,2310,"total people with a stated religious-affiliation response",1347,58.31,963,41.69,2,8.66,0.01,274,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100200","100200","Rangaunu Harbour",2023,2490,"total people with a stated religious-affiliation response",1347,54.1,1143,45.9,2,8.03,0.01,274,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100400","100400","Karikari Peninsula",2013,1074,"total people with a stated religious-affiliation response",645,60.06,429,39.94,0,0,0,174.44,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100400","100400","Karikari Peninsula",2018,1251,"total people with a stated religious-affiliation response",678,54.2,573,45.8,0,0,0,174.44,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100400","100400","Karikari Peninsula",2023,1686,"total people with a stated religious-affiliation response",786,46.62,900,53.38,0,0,0,174.44,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100500","100500","Tangonge",2013,1011,"total people with a stated religious-affiliation response",741,73.29,270,26.71,1,9.89,0.01,177.18,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100500","100500","Tangonge",2018,1134,"total people with a stated religious-affiliation response",735,64.81,399,35.19,1,8.82,0.01,177.18,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100500","100500","Tangonge",2023,1332,"total people with a stated religious-affiliation response",786,59.01,546,40.99,1,7.51,0.01,177.18,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100600","100600","Ahipara",2013,855,"total people with a stated religious-affiliation response",591,69.12,264,30.88,1,11.7,0.22,4.53,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100600","100600","Ahipara",2018,1230,"total people with a stated religious-affiliation response",729,59.27,501,40.73,1,8.13,0.22,4.53,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100600","100600","Ahipara",2023,1272,"total people with a stated religious-affiliation response",687,54.01,585,45.99,1,7.86,0.22,4.53,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100700","100700","Kaitāia East",2013,1506,"total people with a stated religious-affiliation response",1110,73.71,396,26.29,6,39.84,1.14,5.27,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100700","100700","Kaitāia East",2018,2388,"total people with a stated religious-affiliation response",1512,63.32,876,36.68,6,25.13,1.14,5.27,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100700","100700","Kaitāia East",2023,2478,"total people with a stated religious-affiliation response",1506,60.77,972,39.23,6,24.21,1.14,5.27,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100800","100800","Kaitāia West",2013,2433,"total people with a stated religious-affiliation response",1821,74.85,612,25.15,1,4.11,0.31,3.2,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100800","100800","Kaitāia West",2018,3483,"total people with a stated religious-affiliation response",2202,63.22,1281,36.78,1,2.87,0.31,3.2,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100800","100800","Kaitāia West",2023,3477,"total people with a stated religious-affiliation response",1995,57.38,1482,42.62,1,2.88,0.31,3.2,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100900","100900","Rangitihi",2013,744,"total people with a stated religious-affiliation response",528,70.97,216,29.03,0,0,0,84.54,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100900","100900","Rangitihi",2018,936,"total people with a stated religious-affiliation response",585,62.5,351,37.5,0,0,0,84.54,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-sa2-2023","statistical_area_2","nz-sa2-2023:100900","100900","Rangitihi",2023,1008,"total people with a stated religious-affiliation response",537,53.27,471,46.73,0,0,0,84.54,,"current committed nz_places.json snapshot","statsnz-2023-census-totals-by-topic-sa2;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
