"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:001","001","Far North District",2013,48138,"total people with a stated religious-affiliation response",29973,62.26,18165,37.74,60,12.46,0.01,6686.43,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:001","001","Far North District",2018,65250,"total people with a stated religious-affiliation response",35496,54.4,29754,45.6,60,9.2,0.01,6686.43,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:001","001","Far North District",2023,71430,"total people with a stated religious-affiliation response",34695,48.57,36735,51.43,60,8.4,0.01,6686.43,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:002","002","Whangarei District",2013,69531,"total people with a stated religious-affiliation response",38829,55.84,30702,44.16,47,6.76,0.02,2711.45,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:002","002","Whangarei District",2018,90960,"total people with a stated religious-affiliation response",43572,47.9,47388,52.1,47,5.17,0.02,2711.45,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:002","002","Whangarei District",2023,96678,"total people with a stated religious-affiliation response",42750,44.22,53928,55.78,47,4.86,0.02,2711.45,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:003","003","Kaipara District",2013,17337,"total people with a stated religious-affiliation response",10011,57.74,7326,42.26,26,15,0.01,3109.03,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:003","003","Kaipara District",2018,22869,"total people with a stated religious-affiliation response",11004,48.12,11865,51.88,26,11.37,0.01,3109.03,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:003","003","Kaipara District",2023,25899,"total people with a stated religious-affiliation response",11391,43.98,14508,56.02,26,10.04,0.01,3109.03,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:011","011","Thames-Coromandel District",2013,24288,"total people with a stated religious-affiliation response",13074,53.83,11214,46.17,32,13.18,0.01,2207.59,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
