"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:amazonas","amazonas","Amazonas",2007,262668,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",245595,93.5,17073,6.5,,,,39623.5578,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-132;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=67.8%;Evangélica=18.1%;Otra=7.5%;Ninguna=6.5%;derived_counts=Católica~178089;Evangélica~47543;Otra~19700;Ninguna~17073"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:ancash","ancash","Áncash",2007,802493,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",781628,97.4,20865,2.6,,,,36054.3133,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-402;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=83.0%;Evangélica=12.4%;Otra=2.1%;Ninguna=2.6%;derived_counts=Católica~666069;Evangélica~99509;Otra~16852;Ninguna~20865"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:apurimac","apurimac","Apurímac",2007,287184,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",283451,98.7,3733,1.3,,,,21254.9734,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-144;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=83.1%;Evangélica=13.5%;Otra=2.1%;Ninguna=1.3%;derived_counts=Católica~238650;Evangélica~38770;Otra~6031;Ninguna~3733"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:arequipa","arequipa","Arequipa",2007,914344,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",892400,97.6,21944,2.4,,,,63441.8381,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-458;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=87.2%;Evangélica=6.5%;Otra=3.9%;Ninguna=2.4%;derived_counts=Católica~797308;Evangélica~59432;Otra~35659;Ninguna~21944"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:ayacucho","ayacucho","Ayacucho",2007,438479,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",431902,98.5,6577,1.5,,,,43636.3646,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-220;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=81.1%;Evangélica=16.3%;Otra=1.1%;Ninguna=1.5%;derived_counts=Católica~355606;Evangélica~71472;Otra~4823;Ninguna~6577"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:cajamarca","cajamarca","Cajamarca",2007,1009763,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",980480,97.1,29283,2.9,,,,33039.2267,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-505;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=79.9%;Evangélica=14.2%;Otra=3.0%;Ninguna=2.9%;derived_counts=Católica~806801;Evangélica~143386;Otra~30293;Ninguna~29283"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:callao","callao","Callao",2007,690756,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",672796,97.4,17960,2.6,,,,174.2806,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-346;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=82.4%;Evangélica=12.3%;Otra=2.8%;Ninguna=2.6%;derived_counts=Católica~569183;Evangélica~84963;Otra~19341;Ninguna~17960"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:cusco","cusco","Cusco",2007,857125,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",839125,97.9,18000,2.1,,,,72773.0708,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-429;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=83.4%;Evangélica=11.0%;Otra=3.5%;Ninguna=2.1%;derived_counts=Católica~714842;Evangélica~94284;Otra~29999;Ninguna~18000"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:huancavelica","huancavelica","Huancavelica",2007,312007,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",308575,98.9,3432,1.1,,,,22210.7913,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-157;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=76.6%;Evangélica=21.8%;Otra=0.5%;Ninguna=1.1%;derived_counts=Católica~238997;Evangélica~68018;Otra~1560;Ninguna~3432"
"PE","pe-department-2008-geoboundaries-adm1","department","pe-department-2008-geoboundaries-adm1:huanuco","huanuco","Huánuco",2007,538672,"2007 Census (INEI, Perfil Sociodemografico, CUADRO Nº 2.46): printed department Total of the population aged 12 and over.",525744,97.6,12928,2.4,,,,37256.8523,,,"pe-census-2007-perfil-cuadro-2-46-religion-by-department|geoboundaries-per-adm1-2008","census_affiliation;universe_population_12_plus;frame_four_category_catolica_evangelica_otra_ninguna;religious_affiliation_percent_is_100_minus_ninguna;no_religion_percent_is_published_ninguna_percentage;frame_partitions_answering_population_shares_sum_to_100_by_construction;department_total_exact_published;category_counts_derived_from_one_decimal_percentages;derived_count_rounding_bound_per_category=+/-270;comparable_2007_2017;licence_needs_review_build_then_ask;boundary_public_domain;source_percentages_verbatim=Católica=75.2%;Evangélica=20.9%;Otra=1.5%;Ninguna=2.4%;derived_counts=Católica~405081;Evangélica~112582;Otra~8080;Ninguna~12928"
