"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B65314213268917","2640588B65314213268917","NCR, City of Manila, First District",2020,1837785,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",1832838,99.7308,1015,0.0552,,,,42.1842,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category;ncr_cities_aggregated_to_legislative_district"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B12869096786612","2640588B12869096786612","NCR, Second District",2020,4748925,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",4742638,99.8676,3362,0.0708,,,,233.7908,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category;ncr_cities_aggregated_to_legislative_district"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B11276327116073","2640588B11276327116073","NCR, Third District",2020,2998412,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",2997539,99.9709,536,0.0179,,,,126.4534,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category;ncr_cities_aggregated_to_legislative_district"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B20861121251971","2640588B20861121251971","NCR, Fourth District",2020,3818429,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",3815402,99.9207,1989,0.0521,,,,196.8631,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category;ncr_cities_aggregated_to_legislative_district"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B11393510524278","2640588B11393510524278","Abra",2020,250309,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",250159,99.9401,121,0.0483,,,,3928.2526,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B24165862747597","2640588B24165862747597","Apayao",2020,123937,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",123875,99.95,60,0.0484,,,,3989.2558,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B49362051778248","2640588B49362051778248","Benguet",2020,822619,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",821966,99.9206,652,0.0793,,,,2832.897,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category;huc_folded_into_host_province"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B2684850326122","2640588B2684850326122","Ifugao",2020,207130,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",206360,99.6283,763,0.3684,,,,2505.874,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B22535822566030","2640588B22535822566030","Kalinga",2020,229328,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",229290,99.9834,38,0.0166,,,,2824.4787,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
"PH","ph-adm2-2020-geoboundaries-41af8f1","adm2","ph-adm2-2020-geoboundaries-41af8f1:2640588B69436428808540","2640588B69436428808540","Mountain Province",2020,157798,"PSA 2020 Census of Population and Housing, household population (the universe of the religion table); this differs from total population. HUCs are folded into their census host province and NCR cities into the four NCR legislative districts; Cotabato City is inside Maguindanao and Isabela City is a separate ADM2 unit. The BARMM Special Geographic Area (Interim Province 1) has no polygon and is excluded from the mapped rows; it is reconciled in the national roll-up only.",157771,99.9829,26,0.0165,,,,2112.4718,,,"psa-2020-cph-religious-affiliation-table-a|geoboundaries-gbopen-phl-adm2-41af8f1","household_population_universe;roman_catholic_excludes_catholic_charismatics;no_religion_slot_is_verbatim_none_category"
