"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-abbottabad","kp-abbottabad","Abbottabad District",2023,1397587,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",1391394,99.5569,6193,0.4431,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=ABBOTTABAD DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=1391394;CHRISTIAN=5818;HINDU JATI=97;QADIANI/AHMADI=21;SCHEDULED CASTES=17;SIKH=43;PARSI=6;OTHERS=191]"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-bajaur","kp-bajaur","Bajaur District",2023,1283113,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",1279889,99.7487,3224,0.2513,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=BAJAUR DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=1279889;CHRISTIAN=3068;HINDU JATI=34;QADIANI/AHMADI=21;SCHEDULED CASTES=16;SIKH=22;PARSI=0;OTHERS=63]"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-bannu","kp-bannu","Bannu District",2023,1354674,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",1349359,99.6077,5315,0.3923,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=BANNU DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=1349359;CHRISTIAN=4844;HINDU JATI=236;QADIANI/AHMADI=68;SCHEDULED CASTES=43;SIKH=22;PARSI=1;OTHERS=101]"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-batagram","kp-batagram","Batagram District",2023,553285,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",552050,99.7768,1235,0.2232,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=BATAGRAM DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=552050;CHRISTIAN=986;HINDU JATI=61;QADIANI/AHMADI=4;SCHEDULED CASTES=8;SIKH=22;PARSI=1;OTHERS=153]"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-buner","kp-buner","Buner District",2023,1016674,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",1013575,99.6952,3099,0.3048,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=BUNER DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=1013575;CHRISTIAN=1872;HINDU JATI=131;QADIANI/AHMADI=17;SCHEDULED CASTES=10;SIKH=1023;PARSI=0;OTHERS=46]"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-charsadda","kp-charsadda","Charsadda District",2023,1835136,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",1830646,99.7553,4490,0.2447,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=CHARSADDA DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=1830646;CHRISTIAN=4392;HINDU JATI=18;QADIANI/AHMADI=22;SCHEDULED CASTES=23;SIKH=14;PARSI=0;OTHERS=21]"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-dera-ismail-khan","kp-dera-ismail-khan","Dera Ismail Khan District",2023,1822916,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",1816418,99.6435,6498,0.3565,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=DERA ISMAIL KHAN DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=1816418;CHRISTIAN=5645;HINDU JATI=668;QADIANI/AHMADI=13;SCHEDULED CASTES=29;SIKH=58;PARSI=0;OTHERS=85]"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-hangu","kp-hangu","Hangu District",2023,525623,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",522967,99.4947,2656,0.5053,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=HANGU DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=522967;CHRISTIAN=2256;HINDU JATI=145;QADIANI/AHMADI=16;SCHEDULED CASTES=14;SIKH=160;PARSI=0;OTHERS=65]"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-haripur","kp-haripur","Haripur District",2023,1173056,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",1169155,99.6674,3901,0.3326,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=HARIPUR DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=1169155;CHRISTIAN=3570;HINDU JATI=41;QADIANI/AHMADI=124;SCHEDULED CASTES=9;SIKH=22;PARSI=0;OTHERS=135]"
"PK","pk-district-2023-boundary-pending","district","pk-district-2023-boundary-pending:kp-karak","kp-karak","Karak District",2023,815150,"PBS 2023 Census Table 9 total population for the district-equivalent unit (four provinces + ICT frame). The 2023 PBS Table 9 religion tables cover the four provinces (Khyber Pakhtunkhwa, Punjab, Sindh, and Balochistan) and the Islamabad Capital Territory. They exclude Azad Jammu and Kashmir and Gilgit-Baltistan, whose figures are published separately and are not included here. This product renders the coverage of the published tables as printed and makes no territorial claim.",812726,99.7026,2424,0.2974,,,,,,,"pbs-census-2023-table9-religion-district","census_religion_2023_verbatim_frame;eight_category_partition;no_no_religion_or_not_stated_category;minority_share_two_slot_design;reference_group=muslim;religious_affiliation_percent=muslim_reference_group_share;no_religion_percent=minority_share_exact_complement;minority_share=christian+hindu_jati+qadiani_ahmadi+scheduled_castes+sikh+parsi+others;exact_printed_counts;no_small_cell_suppression;printed_unit=KARAK DISTRICT;province=Khyber Pakhtunkhwa;categories_verbatim[MUSLIM=812726;CHRISTIAN=2335;HINDU JATI=10;QADIANI/AHMADI=10;SCHEDULED CASTES=13;SIKH=7;PARSI=1;OTHERS=48]"
