"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:01","01","Jenin",1997,195074,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",195074,100,,,,,,583.004,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=192954;christian=2120;other=0;not_stated=0;source_area_name=Jenin;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:05","05","Tubas and the Northern Valleys",1997,35176,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",35176,100,,,,,,408.7324,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=35122;christian=54;other=0;not_stated=0;source_area_name=Tubas;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:10","10","Tulkarm",1997,128960,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",128960,100,,,,,,246.4823,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=128933;christian=27;other=0;not_stated=0;source_area_name=Tulkarm;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:15","15","Nablus",1997,251081,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",251080,99.9996,,,,,,598.4707,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=250005;christian=777;other=298;not_stated=1;source_area_name=Nablus;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:20","20","Qalqiliya",1997,69229,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",69229,100,,,,,,165.3346,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=69220;christian=9;other=0;not_stated=0;source_area_name=Qalqiliya;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:25","25","Salfit",1997,46671,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",46671,100,,,,,,204.4265,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=46671;christian=0;other=0;not_stated=0;source_area_name=Salfit;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:30","30","Ramallah & Al-Bireh",1997,204932,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",204932,100,,,,,,837.928,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=193792;christian=11140;other=0;not_stated=0;source_area_name=Ramallah & Al-Bireh;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:35","35","Jericho & Al-Aghwar",1997,31412,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",31408,99.9873,,,,,,592.8673,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=31037;christian=371;other=0;not_stated=4;source_area_name=Jericho;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:40","40","Jerusalem",1997,113557,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",113160,99.6504,,,,,,349.1644,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=111634;christian=1525;other=1;not_stated=397;source_area_name=Jerusalem*;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified;jerusalem_j1_excluded_from_1997_data_but_present_in_2017_geometry"
"PS","ps-governorate-2017-geoboundaries-adm2","governorate","ps-governorate-2017-geoboundaries-adm2:45","45","Bethlehem",1997,131433,"PCBS 1997 Palestinian population actually enumerated; Table 22 excludes those parts of Jerusalem Governorate that PCBS says were annexed by Israel following the 1967 occupation. Total includes Islam, Christian, Others, and Not Stated.",131433,100,,,,,,655.4072,,,"pcbs-phc-1997-governorate-religion|geoboundaries-pse-adm2-2017","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;islam=109115;christian=22318;other=0;not_stated=0;source_area_name=Bethlehem;source_categories_verbatim=Total|Islam|Christian|Others|Not Stated;no_religion_category_absent_in_source;exact_row_and_national_reconciliation;religious_change_withheld_across_coverage_break;2017_boundary_frame;boundary_stability_unverified"
