"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0101","0101","Águeda",2011,38434,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",37071,96.45,1363,3.55,,,,335.27,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0102","0102","Albergaria-a-Velha",2011,20127,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",19504,96.9,623,3.1,,,,158.82,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0103","0103","Anadia",2011,23788,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",22899,96.26,889,3.74,,,,216.63,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0104","0104","Arouca",2011,18170,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",17911,98.57,259,1.43,,,,329.1,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0105","0105","Aveiro",2011,61204,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",56319,92.02,4885,7.98,,,,197.57,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0106","0106","Castelo de Paiva",2011,13450,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",13265,98.62,185,1.38,,,,115,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0107","0107","Espinho",2011,26037,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",24799,95.25,1238,4.75,,,,21.06,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0108","0108","Estarreja",2011,21816,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",21202,97.19,614,2.81,,,,108.17,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0109","0109","Santa Maria da Feira",2011,111864,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",108869,97.32,2995,2.68,,,,215.87,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0110","0110","Ílhavo",2011,30189,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",28543,94.55,1646,5.45,,,,73.47,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0111","0111","Mealhada",2011,16250,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",15292,94.1,958,5.9,,,,110.65,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0112","0112","Murtosa",2011,8555,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",8413,98.34,142,1.66,,,,73.08,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
"PT","pt-municipality-caop2021","municipality","pt-municipality-caop2021:0113","0113","Oliveira de Azeméis",2011,56234,"population resident aged 15 and over with a stated religion response: INE indicator 0006396 Total minus Não resposta",54855,97.55,1379,2.45,,,,161.1,,,"ine-censos-2011-indicator-0006396|dgt-caop-2021","universe_age15plus;denominator_stated_response;non_response_excluded;category_detail_changes_across_waves"
