"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B69298749218873","51375826B69298749218873","Aimeliik",2005,270,"2005 Census monograph Table 10.1, all persons of all ages; denominator is the printed state Total; religious affiliation is every named religion plus Other religion; None or refused is the no-religion slot and mixes persons with no religion and refusals to answer",270,100,0,0,,,,45.6406,,,"pw-census-2005-monograph-table-10-1|geoboundaries-plw-adm1-2017","census_affiliation;all_persons_all_ages_universe;frame_2005_nine_way;no_religion_is_none_or_refused_mixes_none_with_nonresponse;change_withheld_universe_and_frame_break_vs_2015_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B69298749218873","51375826B69298749218873","Aimeliik",2015,348,"2015/2020 Census Table 42, persons 18 years and over; denominator is the state column total; the report classifies persons with no religion into the Other category, so no separable no-religion count exists and religious affiliation equals the population by construction (flat at 100 percent)",348,100,,,,,,45.6406,,,"pw-census-2015-basic-tables-table-42|geoboundaries-plw-adm1-2017","census_affiliation;persons_18_and_over_universe;frame_2015_2020_nine_way;no_religion_folded_into_other_no_separable_none;affiliation_flat_by_construction_100_percent;change_withheld_vs_2005_computable_2015_to_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B69298749218873","51375826B69298749218873","Aimeliik",2020,420,"2015/2020 Census Table 42, persons 18 years and over; denominator is the state column total; the report classifies persons with no religion into the Other category, so no separable no-religion count exists and religious affiliation equals the population by construction (flat at 100 percent)",420,100,,,,,,45.6406,,,"pw-census-2020-basic-tables-table-42|geoboundaries-plw-adm1-2017","census_affiliation;persons_18_and_over_universe;frame_2015_2020_nine_way;no_religion_folded_into_other_no_separable_none;affiliation_flat_by_construction_100_percent;change_withheld_vs_2005_computable_2015_to_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0;no_printed_palau_subtotal_16_state_denominator"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B14634142702996","51375826B14634142702996","Airai",2005,2723,"2005 Census monograph Table 10.1, all persons of all ages; denominator is the printed state Total; religious affiliation is every named religion plus Other religion; None or refused is the no-religion slot and mixes persons with no religion and refusals to answer",2512,92.2512,211,7.7488,,,,56.5409,,,"pw-census-2005-monograph-table-10-1|geoboundaries-plw-adm1-2017","census_affiliation;all_persons_all_ages_universe;frame_2005_nine_way;no_religion_is_none_or_refused_mixes_none_with_nonresponse;change_withheld_universe_and_frame_break_vs_2015_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B14634142702996","51375826B14634142702996","Airai",2015,828,"2015/2020 Census Table 42, persons 18 years and over; denominator is the state column total; the report classifies persons with no religion into the Other category, so no separable no-religion count exists and religious affiliation equals the population by construction (flat at 100 percent)",828,100,,,,,,56.5409,,,"pw-census-2015-basic-tables-table-42|geoboundaries-plw-adm1-2017","census_affiliation;persons_18_and_over_universe;frame_2015_2020_nine_way;no_religion_folded_into_other_no_separable_none;affiliation_flat_by_construction_100_percent;change_withheld_vs_2005_computable_2015_to_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B14634142702996","51375826B14634142702996","Airai",2020,961,"2015/2020 Census Table 42, persons 18 years and over; denominator is the state column total; the report classifies persons with no religion into the Other category, so no separable no-religion count exists and religious affiliation equals the population by construction (flat at 100 percent)",961,100,,,,,,56.5409,,,"pw-census-2020-basic-tables-table-42|geoboundaries-plw-adm1-2017","census_affiliation;persons_18_and_over_universe;frame_2015_2020_nine_way;no_religion_folded_into_other_no_separable_none;affiliation_flat_by_construction_100_percent;change_withheld_vs_2005_computable_2015_to_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0;no_printed_palau_subtotal_16_state_denominator"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B68373509078236","51375826B68373509078236","Angaur",2005,320,"2005 Census monograph Table 10.1, all persons of all ages; denominator is the printed state Total; religious affiliation is every named religion plus Other religion; None or refused is the no-religion slot and mixes persons with no religion and refusals to answer",320,100,0,0,,,,8.0379,,,"pw-census-2005-monograph-table-10-1|geoboundaries-plw-adm1-2017","census_affiliation;all_persons_all_ages_universe;frame_2005_nine_way;no_religion_is_none_or_refused_mixes_none_with_nonresponse;change_withheld_universe_and_frame_break_vs_2015_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B68373509078236","51375826B68373509078236","Angaur",2015,214,"2015/2020 Census Table 42, persons 18 years and over; denominator is the state column total; the report classifies persons with no religion into the Other category, so no separable no-religion count exists and religious affiliation equals the population by construction (flat at 100 percent)",214,100,,,,,,8.0379,,,"pw-census-2015-basic-tables-table-42|geoboundaries-plw-adm1-2017","census_affiliation;persons_18_and_over_universe;frame_2015_2020_nine_way;no_religion_folded_into_other_no_separable_none;affiliation_flat_by_construction_100_percent;change_withheld_vs_2005_computable_2015_to_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B68373509078236","51375826B68373509078236","Angaur",2020,226,"2015/2020 Census Table 42, persons 18 years and over; denominator is the state column total; the report classifies persons with no religion into the Other category, so no separable no-religion count exists and religious affiliation equals the population by construction (flat at 100 percent)",226,100,,,,,,8.0379,,,"pw-census-2020-basic-tables-table-42|geoboundaries-plw-adm1-2017","census_affiliation;persons_18_and_over_universe;frame_2015_2020_nine_way;no_religion_folded_into_other_no_separable_none;affiliation_flat_by_construction_100_percent;change_withheld_vs_2005_computable_2015_to_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0;no_printed_palau_subtotal_16_state_denominator"
"PW","pw-state-2017-geoboundaries-adm1","state","pw-state-2017-geoboundaries-adm1:51375826B76455151990264","51375826B76455151990264","Hatohobei",2005,44,"2005 Census monograph Table 10.1, all persons of all ages; denominator is the printed state Total; religious affiliation is every named religion plus Other religion; None or refused is the no-religion slot and mixes persons with no religion and refusals to answer",44,100,0,0,,,,720.9921,,,"pw-census-2005-monograph-table-10-1|geoboundaries-plw-adm1-2017","census_affiliation;all_persons_all_ages_universe;frame_2005_nine_way;no_religion_is_none_or_refused_mixes_none_with_nonresponse;change_withheld_universe_and_frame_break_vs_2015_2020;licence_needs_review_pending_pi_ruling;boundary_odbl_1_0"
