"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:00","00","Asunción",2002,420610,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",407277,96.8301,6606,1.5706,,,,128.6779,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:01","01","Concepción",2002,129520,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",127859,98.7176,804,0.6208,,,,18588.4707,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:02","02","San Pedro",2002,229491,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",225443,98.2361,2525,1.1003,,,,20898.5732,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:03","03","Cordillera",2002,178205,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",175948,98.7335,812,0.4557,,,,4800.3287,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40;small_cell_under_10"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:04","04","Guairá",2002,137202,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",135873,99.0314,488,0.3557,,,,3877.6593,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:05","05","Caaguazú",2002,316877,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",312654,98.6673,2789,0.8802,,,,12930.7874,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:06","06","Caazapá",2002,101850,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",100527,98.701,487,0.4782,,,,9567.5205,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:07","07","Itapúa",2002,335846,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",330798,98.4969,3533,1.052,,,,15893.9963,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:08","08","Misiones",2002,78496,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",77120,98.247,547,0.6969,,,,8174.4225,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40;small_cell_under_10"
"PY","py-department-2002-geoboundaries-adm1","department","py-department-2002-geoboundaries-adm1:09","09","Paraguarí",2002,171665,"Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').",169899,98.9713,755,0.4398,,,,8618.9014,,,"ine-cpv2002-redatam-religion-departamento|geoboundaries-pry-adm1","census_affiliation_religion_que_profesa;universe_population_aged_10_plus;redatam_live_crosstab_recoded_to_p16_seven_groups;national_reconciliation_exact_per_group;single_wave_2002;religious_change_withheld;no_religion_group_sin_religion_p16_no_tiene;non_response_no_informado_no_especificado_inside_denominator_outside_slots;boundary_geoboundaries_adm1_ccby40;small_cell_under_10"
