"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS110","RS110","Beogradska oblast",2002,1576124,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",1473739,93.504,23240,1.4745,,,,3233.7925,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS121","RS121","Zapadnobačka oblast",2002,214011,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",192499,89.9482,1008,0.471,,,,2395.2469,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS122","RS122","Južnobanatska oblast",2002,313937,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",287113,91.4556,1437,0.4577,,,,4247.1629,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS123","RS123","Južnobačka oblast",2002,593666,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",544771,91.7639,5371,0.9047,,,,4012.6774,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS124","RS124","Severnobanatska oblast",2002,165881,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",155736,93.8842,825,0.4973,,,,2328.8939,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS125","RS125","Severnobačka oblast",2002,200140,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",184398,92.1345,2163,1.0807,,,,1784.3157,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS126","RS126","Srednjobanatska oblast",2002,208456,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",194048,93.0882,976,0.4682,,,,3256.1914,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS127","RS127","Sremska oblast",2002,335901,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",316406,94.1962,803,0.2391,,,,3478.955,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS211","RS211","Zlatiborska oblast",2002,313396,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",309240,98.6739,278,0.0887,,,,6144.9569,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
"RS","rs-area-2021-gisco-nuts3","area","rs-area-2021-gisco-nuts3:RS212","RS212","Kolubarska oblast",2002,192204,"SORS census population total; percentages use the total census population. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product.",188077,97.8528,215,0.1119,,,,2475.8848,,,"sors-census-religion-area-2002-2022|eurostat-gisco-nuts3-2021-rs","full_enumeration_census_affiliation;total_population_denominator; exact_area_national_reconciliation;2021_boundary_frame;boundary_stability_unverified; The 2002 believer-without-religious-affiliation category remains outside both headlines. This product follows the territorial coverage published by the Statistical Office of the Republic of Serbia (SORS). In this product, the area level comprises the City of Belgrade plus 24 districts (okruzi). The 2002 publication covers Central Serbia and Vojvodina and states that the census was not conducted in the Autonomous Province of Kosovo and Metohija. The 2011 and 2022 dissemination tables identify their coverage as excluding data for the Autonomous Province of Kosovo and Metohija. Kosovo rows from other publications are outside this Serbia product."
