"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:bugesera","bugesera","Bugesera",2012,361914,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,96.61,,3.39,,,,1293.42,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:burera","burera","Burera",2012,336582,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,98,,2.04,,,,645.24,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:gakenke","gakenke","Gakenke",2012,338234,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,97.98,,2.04,,,,703.93,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:gasabo","gasabo","Gasabo",2012,529561,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,96.5,,3.55,,,,429.26,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:gatsibo","gatsibo","Gatsibo",2012,433020,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,97.2,,2.83,,,,1584.23,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:gicumbi","gicumbi","Gicumbi",2012,395606,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,96.36,,3.68,,,,828.58,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:gisagara","gisagara","Gisagara",2012,322506,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,98.33,,1.67,,,,680.11,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:huye","huye","Huye",2012,328398,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,98.45,,1.6,,,,581.07,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:kamonyi","kamonyi","Kamonyi",2012,340501,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,98,,2.04,,,,659.83,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:karongi","karongi","Karongi",2012,331808,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,97.5,,2.54,,,,989.08,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:kayonza","kayonza","Kayonza",2012,344157,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,97.24,,2.74,,,,1931.92,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:kicukiro","kicukiro","Kicukiro",2012,318564,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,97.64,,2.39,,,,167.02,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
"RW","rw-district-2012-geoboundaries-adm2","district","rw-district-2012-geoboundaries-adm2:kirehe","kirehe","Kirehe",2012,340368,"district resident population summed from the exact sector populations in the RPHC4 Table 26 religion tabulation; the stated-response denominator for the percentages excludes the not-stated count. Religion shares are aggregated from one-decimal sector shares, so the district shares carry one-decimal source precision",,97.91,,2.16,,,,1188.7,,,"nisr-rphc4-2012-socio-cultural-table26-religion-by-sector|geoboundaries-rwa-adm2-2012","stated_response_denominator_excludes_not_stated;named_religions_in_religious_affiliation;no_religion_category_is_no_religion;aggregated_from_sector_shares_one_decimal_precision;sector_populations_reconcile_to_national_total"
