"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:choiseul","choiseul","Choiseul",2009,26372,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",26343,99.89,25,0.0948,,,,3003.3724,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=285;Roman Catholic=5995;South Sea Evangelical Church=321;Seventh Day Adventist=4401;United Church=14361;Christian Fellowship Church=283;Jehovah's Witness=12;Christian OutReach=4;Bahai=44;Custom Beliefs=1;No Religion=25;Refuse to Answer=4;Other=636"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:western","western","Western",2009,76649,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",76546,99.8656,67,0.0874,,,,5191.7734,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=2605;Roman Catholic=5176;South Sea Evangelical Church=2008;Seventh Day Adventist=21772;United Church=29984;Christian Fellowship Church=11568;Jehovah's Witness=168;Christian OutReach=649;Bahai=313;Custom Beliefs=13;No Religion=67;Refuse to Answer=36;Other=2290"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:isabel","isabel","Isabel",2009,26158,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",26155,99.9885,3,0.0115,,,,4041.8622,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=23183;Roman Catholic=834;South Sea Evangelical Church=115;Seventh Day Adventist=513;United Church=181;Christian Fellowship Church=29;Jehovah's Witness=11;Christian OutReach=8;Bahai=9;Custom Beliefs=6;No Religion=3;Refuse to Answer=0;Other=1266"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:central","central","Central",2009,26051,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",26043,99.9693,8,0.0307,,,,559.6895,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=21747;Roman Catholic=2384;South Sea Evangelical Church=889;Seventh Day Adventist=753;United Church=128;Christian Fellowship Church=13;Jehovah's Witness=30;Christian OutReach=26;Bahai=21;Custom Beliefs=0;No Religion=8;Refuse to Answer=0;Other=52"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:rennell_bellona","rennell_bellona","Rennell-Bellona",2009,3041,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",3040,99.9671,0,0,,,,669.644,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=170;Roman Catholic=8;South Sea Evangelical Church=1192;Seventh Day Adventist=1512;United Church=2;Christian Fellowship Church=1;Jehovah's Witness=2;Christian OutReach=9;Bahai=0;Custom Beliefs=0;No Religion=0;Refuse to Answer=1;Other=144"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:guadalcanal","guadalcanal","Guadalcanal",2009,93613,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",93384,99.7554,213,0.2275,,,,5316.5945,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=22311;Roman Catholic=35275;South Sea Evangelical Church=16397;Seventh Day Adventist=11694;United Church=2733;Christian Fellowship Church=185;Jehovah's Witness=709;Christian OutReach=978;Bahai=93;Custom Beliefs=1650;No Religion=213;Refuse to Answer=16;Other=1359"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:malaita","malaita","Malaita",2009,137596,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",137431,99.8801,149,0.1083,,,,4414.3553,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=36241;Roman Catholic=32879;South Sea Evangelical Church=42813;Seventh Day Adventist=7966;United Church=254;Christian Fellowship Church=275;Jehovah's Witness=6714;Christian OutReach=1418;Bahai=1414;Custom Beliefs=2467;No Religion=149;Refuse to Answer=16;Other=4990"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:makira_ulawa","makira_ulawa","Makira-Ulawa",2009,40419,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",40414,99.9876,5,0.0124,,,,3096.2409,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=18947;Roman Catholic=9004;South Sea Evangelical Church=9983;Seventh Day Adventist=1253;United Church=96;Christian Fellowship Church=49;Jehovah's Witness=125;Christian OutReach=355;Bahai=75;Custom Beliefs=5;No Religion=5;Refuse to Answer=0;Other=522"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:temotu","temotu","Temotu",2009,21362,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",21347,99.9298,11,0.0515,,,,874.9571,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=18640;Roman Catholic=33;South Sea Evangelical Church=33;Seventh Day Adventist=458;United Church=14;Christian Fellowship Church=64;Jehovah's Witness=424;Christian OutReach=1316;Bahai=21;Custom Beliefs=1;No Religion=11;Refuse to Answer=4;Other=343"
"SB","sb-province-2021-geoboundaries-adm1","province","sb-province-2021-geoboundaries-adm1:honiara","honiara","Honiara",2009,64609,"2009 Solomon Islands Census Report Basic Tables Vol 2, Table P3.2 'Total population by province and religious denomination', all persons of all ages; the denominator is the printed province Total. Religious affiliation is the province population minus the No Religion and Refuse to Answer lines; Custom Beliefs counts as a religious affiliation.",64349,99.5976,200,0.3096,,,,30.3015,,,"sb-census-2009-basic-tables-p3-2-religion-by-province|geoboundaries-slb-adm1-2021","frame_2009_thirteen_category;no_religion_line=No Religion;refuse_line=Refuse to Answer;other_line_2009_not_comparable_to_2019_other_religions_split_out;source_province_spelling_guadalcanal_printed_guadacanal;census_affiliation;all_persons_all_ages_universe;no_universe_break_2009_to_2019;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;custom_beliefs_counted_as_religious_affiliation;no_religion_percent_is_no_religion_line_only;refuse_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;broad_affiliation_comparable_2009_2019;licence_needs_review_pending_pi_ruling;boundary_public_domain;source_categories_verbatim=Church of Melanesia=20510;Roman Catholic=9411;South Sea Evangelical Church=14644;Seventh Day Adventist=10184;United Church=4166;Christian Fellowship Church=686;Jehovah's Witness=1249;Christian OutReach=540;Bahai=437;Custom Beliefs=48;No Religion=200;Refuse to Answer=60;Other=2474"
