"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1116ER","SC1116ER","English River",2022,3508,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",3139,89.4812,,,,,,1.3821,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2355;Anglican=214;Islam=74;Hindu=124;Christian (Other)=372;Unable to classify=13;Other (Specify)=188;Missing=168"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1117MB","SC1117MB","Mont Buxton",2022,2778,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",2515,90.5328,,,,,,1.1644,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=1964;Anglican=144;Islam=116;Hindu=47;Christian (Other)=244;Unable to classify=12;Other (Specify)=113;Missing=138"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1122SL","SC1122SL","Saint Louis",2022,3267,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",2699,82.614,,,,,,1.3808,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=1873;Anglican=282;Islam=145;Hindu=205;Christian (Other)=194;Unable to classify=15;Other (Specify)=176;Missing=377"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1109BA","SC1109BA","Bel Air",2022,2619,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",2177,83.1233,,,,,,4.4441,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=1528;Anglican=236;Islam=68;Hindu=136;Christian (Other)=209;Unable to classify=29;Other (Specify)=156;Missing=257"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1218MF","SC1218MF","Mont Fleuri",2022,3506,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",2669,76.1266,,,,,,5.6125,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2033;Anglican=149;Islam=113;Hindu=150;Christian (Other)=224;Unable to classify=22;Other (Specify)=180;Missing=635"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1219PA","SC1219PA","Plaisance",2022,3685,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",3189,86.54,,,,,,3.3703,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2512;Anglican=161;Islam=90;Hindu=125;Christian (Other)=301;Unable to classify=3;Other (Specify)=180;Missing=313"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1225RC","SC1225RC","Roche Caiman",2022,3157,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",2365,74.9129,,,,,,1.5469,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=1554;Anglican=160;Islam=113;Hindu=242;Christian (Other)=296;Unable to classify=12;Other (Specify)=160;Missing=620"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1224LM","SC1224LM","Les Mamelles",2022,2215,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",1923,86.8172,,,,,,1.6682,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=1492;Anglican=123;Islam=73;Hindu=41;Christian (Other)=194;Unable to classify=9;Other (Specify)=82;Missing=201"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1127PI","SC1127PI","Perseverance Island",2022,5410,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",4448,82.2181,,,,,,0.941,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=3458;Anglican=232;Islam=133;Hindu=13;Christian (Other)=612;Unable to classify=27;Other (Specify)=213;Missing=722"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1311CA","SC1311CA","Cascade",2022,6659,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",4847,72.7887,,,,,,10.5756,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2951;Anglican=94;Islam=193;Hindu=1337;Christian (Other)=272;Unable to classify=80;Other (Specify)=157;Missing=1575"
