"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1972,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",7754784,95.2,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1973,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",7755295,95.2,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1974,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",7752279,94.9,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1975,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",7770881,94.7,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1976,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",7779940,94.4,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1977,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",7763768,94,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1978,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",7742678,93.5,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1979,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",7728939,93.1,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1980,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",7690636,92.9,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0"
"SE","se-adm0-2019-geoboundaries-32631220","adm0","se-adm0-2019-geoboundaries-32631220:SE","SE","Sweden",1981,,"The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.",,,,,,,,,,,"church-of-sweden-membership-1972-2025|geoboundaries-gbopen-swe-adm0-32631220","administrative_membership_register;church_of_sweden_membership_not_census_affiliation_not_belief_not_practice;national_only_adm0;percent_printed_verbatim_no_recompute;licence_needs_review_build_then_ask;boundary_geoboundaries_swe_adm0_2019_ogl_3_0;no_population_base_1981_source_blank"
