"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:AM","AM","Ang Mo Kio",2010,153174,"Resident Population Aged 15 Years and Over",127354,83.1434,25820,16.8566,,,,13.938855,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:BD","BD","Bedok",2010,247021,"Resident Population Aged 15 Years and Over",207550,84.0212,39471,15.9788,,,,21.731366,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:BS","BS","Bishan",2010,78118,"Resident Population Aged 15 Years and Over",61269,78.4313,16849,21.5687,,,,7.623878,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:BK","BK","Bukit Batok",2010,120715,"Resident Population Aged 15 Years and Over",99123,82.1132,21592,17.8868,,,,11.130249,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:BM","BM","Bukit Merah",2010,133561,"Resident Population Aged 15 Years and Over",108868,81.5118,24693,18.4882,,,,14.472461,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:BP","BP","Bukit Panjang",2010,105820,"Resident Population Aged 15 Years and Over",89222,84.3149,16598,15.6851,,,,8.989134,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:BT","BT","Bukit Timah",2010,56033,"Resident Population Aged 15 Years and Over",42018,74.988,14015,25.012,,,,17.529373,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:CH","CH","Changi",2010,1755,"Resident Population Aged 15 Years and Over",1596,90.9402,159,9.0598,,,,40.940481,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:CK","CK","Choa Chu Kang",2010,141227,"Resident Population Aged 15 Years and Over",117925,83.5003,23302,16.4997,,,,6.1138,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:CL","CL","Clementi",2010,76131,"Resident Population Aged 15 Years and Over",61394,80.6426,14737,19.3574,,,,9.513276,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
