"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK010","SK010","Bratislavský kraj",2001,599015,"Infostat 2001 data118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",422610,70.55,149436,24.95,,,,2051.12,,,"sodb2001-infostat-data118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK021","SK021","Trnavský kraj",2001,551003,"Infostat 2001 data118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",472955,85.84,64381,11.68,,,,4145.98,,,"sodb2001-infostat-data118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK022","SK022","Trenčiansky kraj",2001,605582,"Infostat 2001 data118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",500024,82.57,87385,14.43,,,,4502.73,,,"sodb2001-infostat-data118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK023","SK023","Nitriansky kraj",2001,713422,"Infostat 2001 data118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",617739,86.59,78331,10.98,,,,6342.31,,,"sodb2001-infostat-data118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK031","SK031","Žilinský kraj",2001,692332,"Infostat 2001 data118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",602916,87.08,72175,10.42,,,,6806.78,,,"sodb2001-infostat-data118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK032","SK032","Banskobystrický kraj",2001,662121,"Infostat 2001 data118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",526705,79.55,110905,16.75,,,,9453.54,,,"sodb2001-infostat-data118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK041","SK041","Prešovský kraj",2001,789968,"Infostat 2001 data118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",729338,92.33,44324,5.61,,,,8970.78,,,"sodb2001-infostat-data118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK042","SK042","Košický kraj",2001,766012,"Infostat 2001 data118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",649262,84.76,90371,11.8,,,,6752.28,,,"sodb2001-infostat-data118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK010","SK010","Bratislavský kraj",2011,602436,"SODB 2011 TAB. 118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",395076,65.58,161214,26.76,,,,2051.12,,,"sodb2011-tab118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK021","SK021","Trnavský kraj",2011,554741,"SODB 2011 TAB. 118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",428979,77.33,71057,12.81,,,,4145.98,,,"sodb2011-tab118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK022","SK022","Trenčiansky kraj",2011,594328,"SODB 2011 TAB. 118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",438891,73.85,90842,15.28,,,,4502.73,,,"sodb2011-tab118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK023","SK023","Nitriansky kraj",2011,689867,"SODB 2011 TAB. 118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",547470,79.36,82488,11.96,,,,6342.31,,,"sodb2011-tab118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK031","SK031","Žilinský kraj",2011,688851,"SODB 2011 TAB. 118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",554860,80.55,75483,10.96,,,,6806.78,,,"sodb2011-tab118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK032","SK032","Banskobystrický kraj",2011,660563,"SODB 2011 TAB. 118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",459922,69.63,109945,16.64,,,,9453.54,,,"sodb2011-tab118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK041","SK041","Prešovský kraj",2011,814527,"SODB 2011 TAB. 118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",691204,84.86,44983,5.52,,,,8970.78,,,"sodb2011-tab118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK042","SK042","Košický kraj",2011,791723,"SODB 2011 TAB. 118 Spolu total population denominator; Nezistené remains in the denominator and outside religious_affiliation_count",583835,73.74,89350,11.29,,,,6752.28,,,"sodb2011-tab118-religion-kraj|sodb2021-disem-ob-geojson","source_kraj_row_current_kraj_geography;nezistene_in_denominator"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK010","SK010","Bratislavský kraj",2021,719537,"SODB 2021 municipality product total population denominator; code 00 nezistené / not found out remains in the denominator and outside religious_affiliation_count",372513,51.77,286730,39.85,,,,2051.12,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","aggregated_from_2021_municipality_product;sodb_published_total_denominator_includes_nezistene"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK021","SK021","Trnavský kraj",2021,566008,"SODB 2021 municipality product total population denominator; code 00 nezistené / not found out remains in the denominator and outside religious_affiliation_count",392184,69.29,139743,24.69,,,,4145.98,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","aggregated_from_2021_municipality_product;sodb_published_total_denominator_includes_nezistene"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK022","SK022","Trenčiansky kraj",2021,577464,"SODB 2021 municipality product total population denominator; code 00 nezistené / not found out remains in the denominator and outside religious_affiliation_count",392103,67.9,152586,26.42,,,,4502.73,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","aggregated_from_2021_municipality_product;sodb_published_total_denominator_includes_nezistene"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK023","SK023","Nitriansky kraj",2021,677900,"SODB 2021 municipality product total population denominator; code 00 nezistené / not found out remains in the denominator and outside religious_affiliation_count",474583,70.01,155832,22.99,,,,6342.31,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","aggregated_from_2021_municipality_product;sodb_published_total_denominator_includes_nezistene"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK031","SK031","Žilinský kraj",2021,691613,"SODB 2021 municipality product total population denominator; code 00 nezistené / not found out remains in the denominator and outside religious_affiliation_count",526940,76.19,133335,19.28,,,,6806.78,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","aggregated_from_2021_municipality_product;sodb_published_total_denominator_includes_nezistene"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK032","SK032","Banskobystrický kraj",2021,625601,"SODB 2021 municipality product total population denominator; code 00 nezistené / not found out remains in the denominator and outside religious_affiliation_count",404880,64.72,180067,28.78,,,,9453.54,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","aggregated_from_2021_municipality_product;sodb_published_total_denominator_includes_nezistene"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK041","SK041","Prešovský kraj",2021,808931,"SODB 2021 municipality product total population denominator; code 00 nezistené / not found out remains in the denominator and outside religious_affiliation_count",681276,84.22,85927,10.62,,,,8970.78,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","aggregated_from_2021_municipality_product;sodb_published_total_denominator_includes_nezistene"
"SK","sk-kraj-2021-sodb-dissolved","kraj","sk-kraj-2021-sodb-dissolved:SK042","SK042","Košický kraj",2021,782216,"SODB 2021 municipality product total population denominator; code 00 nezistené / not found out remains in the denominator and outside religious_affiliation_count",554852,70.93,161922,20.7,,,,6752.28,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","aggregated_from_2021_municipality_product;sodb_published_total_denominator_includes_nezistene"
