"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0101528595","SK0101528595","Bratislava - mestská časť Staré Mesto",2021,46080,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",20181,43.8,19948,43.29,,,,9.52,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0102529311","SK0102529311","Bratislava - mestská časť Podunajské Biskupice",2021,23464,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",11950,50.93,9194,39.18,,,,42.32,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0102529320","SK0102529320","Bratislava - mestská časť Ružinov",2021,81004,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",38339,47.33,35070,43.29,,,,39.82,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0102529338","SK0102529338","Bratislava - mestská časť Vrakuňa",2021,20711,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",9588,46.29,9059,43.74,,,,10.33,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0103529346","SK0103529346","Bratislava - mestská časť Nové Mesto",2021,44458,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",20012,45.01,19668,44.24,,,,37.03,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0103529354","SK0103529354","Bratislava - mestská časť Rača",2021,25733,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",12081,46.95,11017,42.81,,,,23.77,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0103529362","SK0103529362","Bratislava - mestská časť Vajnory",2021,6079,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",3165,52.06,2514,41.36,,,,13.6,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0104529371","SK0104529371","Bratislava - mestská časť Devínska Nová Ves",2021,17153,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",8362,48.75,7396,43.12,,,,23.98,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0104529389","SK0104529389","Bratislava - mestská časť Dúbravka",2021,36206,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",17220,47.56,16004,44.2,,,,8.76,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0104529397","SK0104529397","Bratislava - mestská časť Karlova Ves",2021,35644,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",16851,47.28,15837,44.43,,,,10.8,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0104529401","SK0104529401","Bratislava - mestská časť Devín",2021,1912,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",817,42.73,966,50.52,,,,14.1,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0104529419","SK0104529419","Bratislava - mestská časť Lamač",2021,7789,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",4270,54.82,2933,37.66,,,,6.61,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0104529427","SK0104529427","Bratislava - mestská časť Záhorská Bystrica",2021,6541,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",3386,51.77,2717,41.54,,,,32.89,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0105529435","SK0105529435","Bratislava - mestská časť Čunovo",2021,1635,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1046,63.98,556,34.01,,,,18.99,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0105529443","SK0105529443","Bratislava - mestská časť Jarovce",2021,2706,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1576,58.24,1047,38.69,,,,21.06,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0105529460","SK0105529460","Bratislava - mestská časť Petržalka",2021,114000,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",52872,46.38,51095,44.82,,,,28.67,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0105529494","SK0105529494","Bratislava - mestská časť Rusovce",2021,4388,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",2243,51.12,1924,43.85,,,,25.76,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106500267","SK0106500267","Záhorie (vojenský obvod)",2021,147,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",59,40.14,75,51.02,,,,277.01,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106504556","SK0106504556","Malé Leváre",2021,1510,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",968,64.11,372,24.64,,,,21.28,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106504629","SK0106504629","Plavecké Podhradie",2021,698,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",519,74.36,170,24.36,,,,20.99,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106504637","SK0106504637","Plavecký Mikuláš",2021,740,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",591,79.86,138,18.65,,,,26.62,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106504769","SK0106504769","Rohožník (Okres Malacky)",2021,3616,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",2246,62.11,1070,29.59,,,,27.38,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106504858","SK0106504858","Sološnica",2021,1671,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1233,73.79,395,23.64,,,,37.8,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106504874","SK0106504874","Studienka",2021,1685,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1277,75.79,358,21.25,,,,16.12,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106504947","SK0106504947","Veľké Leváre",2021,3719,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",2557,68.76,940,25.28,,,,26.25,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106504980","SK0106504980","Závod",2021,2978,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",2320,77.9,572,19.21,,,,27.57,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106507831","SK0106507831","Borinka",2021,860,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",413,48.02,383,44.53,,,,15.56,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106507890","SK0106507890","Gajary",2021,3163,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1960,61.97,838,26.49,,,,51.03,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106507954","SK0106507954","Jablonové (Okres Malacky)",2021,1385,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",946,68.3,404,29.17,,,,13.2,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106507962","SK0106507962","Jakubov",2021,1736,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1210,69.7,407,23.44,,,,20.6,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508012","SK0106508012","Kostolište",2021,1768,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1130,63.91,551,31.17,,,,16.65,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508021","SK0106508021","Kuchyňa",2021,1769,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1228,69.42,452,25.55,,,,45.25,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
