"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:amnat_charoen","amnat_charoen","Amnat Charoen",2010,283729,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",283729,100,0,0,,,,3258.7822,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=0;area_iso=TH-37;source_categories_verbatim=Buddhism[พุทธ]=281675;Islam[อิสลาม]=267;Christianity[คริสต์]=1649;Hindus[ฮินดู]=59;Confucious[ขงจื้อ]=13;Sikh[ซิกข์]=13;Others[อื่น ๆ]=53;No religion[ไม่มีศาสนา]=0;Unknown[ไม่ทราบ]=0"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:ang_thong","ang_thong","Ang Thong",2010,254292,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",254283,99.9965,9,0.0035,,,,975.1993,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=-1;area_iso=TH-15;source_categories_verbatim=Buddhism[พุทธ]=249847;Islam[อิสลาม]=3994;Christianity[คริสต์]=213;Hindus[ฮินดู]=172;Confucious[ขงจื้อ]=7;Sikh[ซิกข์]=7;Others[อื่น ๆ]=42;No religion[ไม่มีศาสนา]=9;Unknown[ไม่ทราบ]=0"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:bangkok","bangkok","Bangkok",2010,8305218,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",8287074,99.7815,17091,0.2058,,,,1570.749,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=0;area_iso=TH-10;source_categories_verbatim=Buddhism[พุทธ]=7686022;Islam[อิสลาม]=382385;Christianity[คริสต์]=157534;Hindus[ฮินดู]=22820;Confucious[ขงจื้อ]=6800;Sikh[ซิกข์]=7183;Others[อื่น ๆ]=24330;No religion[ไม่มีศาสนา]=17091;Unknown[ไม่ทราบ]=1053"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:buri_ram","buri_ram","Buri Ram",2010,1274912,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",1273976,99.9266,911,0.0715,,,,9972.8645,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=1;area_iso=TH-31;source_categories_verbatim=Buddhism[พุทธ]=1261658;Islam[อิสลาม]=1911;Christianity[คริสต์]=7508;Hindus[ฮินดู]=745;Confucious[ขงจื้อ]=278;Sikh[ซิกข์]=131;Others[อื่น ๆ]=1746;No religion[ไม่มีศาสนา]=911;Unknown[ไม่ทราบ]=25"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:chachoengsao","chachoengsao","Chachoengsao",2010,715603,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",715243,99.9497,360,0.0503,,,,5505.5696,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=0;area_iso=TH-24;source_categories_verbatim=Buddhism[พุทธ]=663790;Islam[อิสลาม]=46041;Christianity[คริสต์]=4457;Hindus[ฮินดู]=231;Confucious[ขงจื้อ]=43;Sikh[ซิกข์]=55;Others[อื่น ๆ]=626;No religion[ไม่มีศาสนา]=360;Unknown[ไม่ทราบ]=0"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:chai_nat","chai_nat","Chai Nat",2010,305587,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",305546,99.9866,41,0.0134,,,,2487.0777,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=0;area_iso=TH-18;source_categories_verbatim=Buddhism[พุทธ]=304407;Islam[อิสลาม]=592;Christianity[คริสต์]=424;Hindus[ฮินดู]=35;Confucious[ขงจื้อ]=23;Sikh[ซิกข์]=18;Others[อื่น ๆ]=47;No religion[ไม่มีศาสนา]=41;Unknown[ไม่ทราบ]=0"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:chaiyaphum","chaiyaphum","Chaiyaphum",2010,963907,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",963882,99.9974,16,0.0017,,,,13151.0282,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=0;area_iso=TH-36;source_categories_verbatim=Buddhism[พุทธ]=961401;Islam[อิสลาม]=944;Christianity[คริสต์]=1185;Hindus[ฮินดู]=227;Confucious[ขงจื้อ]=59;Sikh[ซิกข์]=57;Others[อื่น ๆ]=9;No religion[ไม่มีศาสนา]=16;Unknown[ไม่ทราบ]=9"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:chanthaburi","chanthaburi","Chanthaburi",2010,485611,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",484762,99.8252,849,0.1748,,,,6116.2253,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=0;area_iso=TH-22;source_categories_verbatim=Buddhism[พุทธ]=475653;Islam[อิสลาม]=1937;Christianity[คริสต์]=5922;Hindus[ฮินดู]=129;Confucious[ขงจื้อ]=65;Sikh[ซิกข์]=40;Others[อื่น ๆ]=1016;No religion[ไม่มีศาสนา]=849;Unknown[ไม่ทราบ]=0"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:chiang_mai","chiang_mai","Chiang Mai",2010,1737041,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",1734604,99.8597,2420,0.1393,,,,22682.0823,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=0;area_iso=TH-50;source_categories_verbatim=Buddhism[พุทธ]=1592164;Islam[อิสลาม]=6789;Christianity[คริสต์]=133761;Hindus[ฮินดู]=790;Confucious[ขงจื้อ]=365;Sikh[ซิกข์]=189;Others[อื่น ๆ]=546;No religion[ไม่มีศาสนา]=2420;Unknown[ไม่ทราบ]=17"
"TH","th-province-2010censusframe-geoboundaries-adm1","province","th-province-2010censusframe-geoboundaries-adm1:chiang_rai","chiang_rai","Chiang Rai",2010,1172928,"2010 Population and Housing Census provincial final report, Table 4 'Population by religion, sex and area', full-count enumeration (all households processed); the denominator is the printed province Total row. Religious affiliation is the province population minus the No religion and Unknown lines.",1172668,99.9778,245,0.0209,,,,11403.6663,,,"th-census-2010-provincial-report-table4-religion-by-province|geoboundaries-tha-adm1-2017","census_affiliation;all_persons_universe;single_select_reported_religion;wave_2010_full_count_provincial_report_table4;frame_2010_census_76_provinces_bueng_kan_within_nong_khai;religious_affiliation_percent_is_named_religion_share;no_religion_percent_is_no_religion_line_only;unknown_nonresponse_in_denominator_neither_slot;shares_need_not_sum_to_100;no_cross_wave_change_single_wave;licence_needs_review_build_then_ask_nso_attribution;boundary_odbl_1_0_share_alike;category_sum_minus_printed_total=0;area_iso=TH-57;source_categories_verbatim=Buddhism[พุทธ]=1065170;Islam[อิสลาม]=3167;Christianity[คริสต์]=103450;Hindus[ฮินดู]=478;Confucious[ขงจื้อ]=212;Sikh[ซิกข์]=52;Others[อื่น ๆ]=139;No religion[ไม่มีศาสนา]=245;Unknown[ไม่ทราบ]=15"
