"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B76905372739919","48082658B76905372739919","Kolofo'ou",2021,17185,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",16946,98.6093,197,1.1463,,,,12.5262,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B41580202055285","48082658B41580202055285","Kolomotu'a",2021,16771,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",16626,99.1354,125,0.7453,,,,23.1003,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B87920107186750","48082658B87920107186750","Vaini",2021,12942,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",12856,99.3355,68,0.5254,,,,65.0026,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B12474943410263","48082658B12474943410263","Tatakamotonga",2021,7151,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",7107,99.3847,32,0.4475,,,,54.1883,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B59364107477614","48082658B59364107477614","Lapaha",2021,7291,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",7269,99.6983,17,0.2332,,,,52.2287,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B69213589871259","48082658B69213589871259","Nukunuku",2021,8155,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",8106,99.3991,38,0.466,,,,35.02,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B55363984375879","48082658B55363984375879","Kolovai",2021,4274,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",4259,99.649,15,0.351,,,,20.7981,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B15752007893328","48082658B15752007893328","Neiafu",2021,5290,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",5256,99.3573,30,0.5671,,,,14.6768,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B58897341989636","48082658B58897341989636","Pangaimotu",2021,1197,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",1194,99.7494,3,0.2506,,,,10.1296,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
"TO","to-district-2020-geoboundaries-adm2","district","to-district-2020-geoboundaries-adm2:48082658B99932543232342","48082658B99932543232342","Hahake",2021,2135,"population in the 2021 G 19 religion table; refused responses remain in the denominator; the source note excludes visitors or non-residents and the report specifies persons occupying institutions",2131,99.8126,4,0.1874,,,,19.88,,,"tsd-census-2021-table-g19-religion-district|tsd-census-2021-volume-1|geoboundaries-ton-adm2-2020","census_affiliation;full_table_denominator;refused_retained_in_denominator;visitors_nonresidents_and_institution_population_excluded_by_source;2021_only_change_withheld;tsd_partial_research_reuse_with_attribution;boundary_cc_by_4_0"
