"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:port_of_spain","port_of_spain","City of Port of Spain",2011,35914,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",30592,85.1813,974,2.712,,,,13.7762,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=35914;closure_residual_printed_total_minus_cellsum=1;source_categories_verbatim=Anglican=4476;Baptist-Spiritual Shouter=2708;Baptist-Other=208;Hinduism=520;Islam=948;Jehovah's Witness=633;Methodist=417;Moravian=92;Orisha=583;Pentecostal/ Evangelical/ Full Gospel=2861;Presbyterian/ Congregational=228;Rastafarian=195;Roman Catholic=14194;Seventh Day Adventist=913;Other=1616;None=974;Not Stated=4347"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:san_fernando","san_fernando","City of San Fernando",2011,48635,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",42079,86.52,814,1.6737,,,,20.5472,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=48635;closure_residual_printed_total_minus_cellsum=-1;source_categories_verbatim=Anglican=4103;Baptist-Spiritual Shouter=2478;Baptist-Other=833;Hinduism=5205;Islam=2235;Jehovah's Witness=675;Methodist=340;Moravian=6;Orisha=334;Pentecostal/ Evangelical/ Full Gospel=6605;Presbyterian/ Congregational=2651;Rastafarian=142;Roman Catholic=11516;Seventh Day Adventist=988;Other=3968;None=814;Not Stated=5743"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:arima","arima","Borough of Arima",2011,33404,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",29299,87.7111,878,2.6284,,,,13.0863,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=33404;closure_residual_printed_total_minus_cellsum=0;source_categories_verbatim=Anglican=1532;Baptist-Spiritual Shouter=929;Baptist-Other=180;Hinduism=1468;Islam=946;Jehovah's Witness=476;Methodist=167;Moravian=22;Orisha=459;Pentecostal/ Evangelical/ Full Gospel=4746;Presbyterian/ Congregational=435;Rastafarian=50;Roman Catholic=14099;Seventh Day Adventist=1336;Other=2454;None=878;Not Stated=3227"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:chaguanas","chaguanas","Borough of Chaguanas",2011,83489,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",75341,90.2406,1327,1.5894,,,,59.6584,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=83489;closure_residual_printed_total_minus_cellsum=1;source_categories_verbatim=Anglican=3186;Baptist-Spiritual Shouter=3195;Baptist-Other=558;Hinduism=25084;Islam=7170;Jehovah's Witness=1062;Methodist=569;Moravian=47;Orisha=601;Pentecostal/ Evangelical/ Full Gospel=9741;Presbyterian/ Congregational=1973;Rastafarian=79;Roman Catholic=12015;Seventh Day Adventist=2109;Other=7952;None=1327;Not Stated=6820"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:point_fortin","point_fortin","Borough of Point Fortin",2011,20161,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",16554,82.109,583,2.8917,,,,28.5297,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=20161;closure_residual_printed_total_minus_cellsum=1;source_categories_verbatim=Anglican=1608;Baptist-Spiritual Shouter=2620;Baptist-Other=207;Hinduism=781;Islam=359;Jehovah's Witness=426;Methodist=69;Moravian=3;Orisha=368;Pentecostal/ Evangelical/ Full Gospel=1619;Presbyterian/ Congregational=206;Rastafarian=101;Roman Catholic=4132;Seventh Day Adventist=1142;Other=2913;None=583;Not Stated=3023"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:couva_tabaquite_talparo","couva_tabaquite_talparo","Couva/ Tabaquite/ Talparo",2011,178160,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",160373,90.0163,2213,1.2421,,,,742.3504,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=178160;closure_residual_printed_total_minus_cellsum=0;source_categories_verbatim=Anglican=5761;Baptist-Spiritual Shouter=7959;Baptist-Other=991;Hinduism=55691;Islam=13238;Jehovah's Witness=2039;Methodist=589;Moravian=27;Orisha=1135;Pentecostal/ Evangelical/ Full Gospel=24221;Presbyterian/ Congregational=6666;Rastafarian=270;Roman Catholic=25218;Seventh Day Adventist=4067;Other=12501;None=2213;Not Stated=15574"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:diego_martin","diego_martin","Diego Martin",2011,102340,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",88488,86.4647,3316,3.2402,,,,141.2289,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=102340;closure_residual_printed_total_minus_cellsum=1;source_categories_verbatim=Anglican=8745;Baptist-Spiritual Shouter=4791;Baptist-Other=349;Hinduism=1875;Islam=2322;Jehovah's Witness=2219;Methodist=655;Moravian=107;Orisha=1300;Pentecostal/ Evangelical/ Full Gospel=9891;Presbyterian/ Congregational=540;Rastafarian=538;Roman Catholic=45810;Seventh Day Adventist=3735;Other=5611;None=3316;Not Stated=10535"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:mayaro_rio_claro","mayaro_rio_claro","Mayaro/ Rio Claro",2011,35649,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",31288,87.7668,733,2.0562,,,,787.3098,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=35649;closure_residual_printed_total_minus_cellsum=-1;source_categories_verbatim=Anglican=573;Baptist-Spiritual Shouter=2453;Baptist-Other=913;Hinduism=8006;Islam=2181;Jehovah's Witness=699;Methodist=7;Moravian=0;Orisha=756;Pentecostal/ Evangelical/ Full Gospel=4409;Presbyterian/ Congregational=1307;Rastafarian=63;Roman Catholic=6521;Seventh Day Adventist=1636;Other=1764;None=733;Not Stated=3629"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:penal_debe","penal_debe","Penal/ Debe",2011,89342,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",81124,90.8016,785,0.8786,,,,243.6004,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=89342;closure_residual_printed_total_minus_cellsum=1;source_categories_verbatim=Anglican=1966;Baptist-Spiritual Shouter=2358;Baptist-Other=738;Hinduism=38402;Islam=5941;Jehovah's Witness=748;Methodist=96;Moravian=3;Orisha=255;Pentecostal/ Evangelical/ Full Gospel=11777;Presbyterian/ Congregational=4755;Rastafarian=102;Roman Catholic=7614;Seventh Day Adventist=896;Other=5473;None=785;Not Stated=7432"
"TT","tt-municipality-codab-v2-adm1","municipality","tt-municipality-codab-v2-adm1:princes_town","princes_town","Princes Town",2011,102369,"2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.",89922,87.841,1246,1.2172,,,,614.6767,,,"tt-census-2011-demographic-report-table-8-religion-by-municipality|ocha-codab-tto-adm1-v2","frame_2011_seventeen_category_count_valued;none_line=None;nonresponse_line=Not Stated;printed_dash_transcribed_as_zero;census_affiliation;non_institutional_population_universe;single_select_reported_religion;religious_affiliation_percent_is_categories_1_to_15_share;no_religion_percent_is_none_line_only;not_stated_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;single_wave_2011_municipality_product;denominator_is_non_institutional_population_1322546_not_total_enumerated_1328019;documented_source_discrepancy_residuals_within_2_recorded_never_repaired;licence_needs_review_cso_permission_clause_build_then_ask;boundary_cc_by_igo_ocha_codab;printed_total=102369;closure_residual_printed_total_minus_cellsum=0;source_categories_verbatim=Anglican=3636;Baptist-Spiritual Shouter=5259;Baptist-Other=7647;Hinduism=27626;Islam=8690;Jehovah's Witness=812;Methodist=190;Moravian=13;Orisha=420;Pentecostal/ Evangelical/ Full Gospel=13311;Presbyterian/ Congregational=4111;Rastafarian=192;Roman Catholic=8245;Seventh Day Adventist=2985;Other=6785;None=1246;Not Stated=11201"
