"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-NWT","TW-NWT","New Taipei City",2020,4030954,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",40356,,,,1084,2.6892,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-TPE","TW-TPE","Taipei City",2020,2602418,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",11278,,,,783,3.0087,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-TAO","TW-TAO","Taoyuan City",2020,2268807,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",22337,,,,466,2.0539,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-TXG","TW-TXG","Taichung City",2020,2820787,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",70353,,,,1240,4.3959,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-TNN","TW-TNN","Tainan City",2020,1874917,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",126936,,,,1842,9.8244,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-KHH","TW-KHH","Kaohsiung City",2020,2765932,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",169648,,,,1750,6.327,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-ILA","TW-ILA","Yilan County",2020,453087,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",51124,,,,731,16.1338,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-HSQ","TW-HSQ","Hsinchu County",2020,570775,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",6088,,,,277,4.8531,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-MIA","TW-MIA","Miaoli County",2020,542590,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",33791,,,,413,7.6116,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
"TW","tw-county-2024-geoboundaries-adm1","county_city","tw-county-2024-geoboundaries-adm1:TW-CHA","TW-CHA","Changhua County",2020,1266670,"MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.",77060,,,,943,7.4447,,,"2020-12-31","MOI administrative register of registered temples (寺廟) and churches (教會堂); count of registered places at year-end from statis yearbook table 06-01 (各宗教教務概況). Not an OpenStreetMap or point-in-time site extraction.","moi-statis-06-01-general-conditions-of-religions-2016-2025|moi-statis-02-01-population-by-age-2016-2025|geoboundaries-gbopen-twn-adm1-9469f09","administrative_religion_register;registered_temples_and_churches_not_census_affiliation;place_count_is_moi_register_not_osm;followers_are_registered_temple_followers_only_from_2014;county_city_on_geoboundaries_adm1;national_reconciliation_exact"
