"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000001","N09000001","Antrim and Newtownabbey",2001,,"stated current-religion response (pending extraction)",,,,,,,,727.9,,,"osni-lgd-2012|nisra-2001-2011-lgd-religion-extraction-pending","nisra_2001_2011_lgd_religion_extraction_pending"
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000001","N09000001","Antrim and Newtownabbey",2011,,"stated current-religion response (pending extraction)",,,,,,,,727.9,,,"osni-lgd-2012|nisra-2001-2011-lgd-religion-extraction-pending","nisra_2001_2011_lgd_religion_extraction_pending"
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000001","N09000001","Antrim and Newtownabbey",2021,143632,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",110688,77.06,32944,22.94,,,,727.9,,,"nisra-census-2021-ms-b19-lgd|osni-lgd-2012",""
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000002","N09000002","Armagh City, Banbridge and Craigavon",2001,,"stated current-religion response (pending extraction)",,,,,,,,1435.97,,,"osni-lgd-2012|nisra-2001-2011-lgd-religion-extraction-pending","nisra_2001_2011_lgd_religion_extraction_pending"
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000002","N09000002","Armagh City, Banbridge and Craigavon",2011,,"stated current-religion response (pending extraction)",,,,,,,,1435.97,,,"osni-lgd-2012|nisra-2001-2011-lgd-religion-extraction-pending","nisra_2001_2011_lgd_religion_extraction_pending"
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000002","N09000002","Armagh City, Banbridge and Craigavon",2021,215568,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",183416,85.08,32152,14.92,,,,1435.97,,,"nisra-census-2021-ms-b19-lgd|osni-lgd-2012",""
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000003","N09000003","Belfast",2001,,"stated current-religion response (pending extraction)",,,,,,,,137.71,,,"osni-lgd-2012|nisra-2001-2011-lgd-religion-extraction-pending","nisra_2001_2011_lgd_religion_extraction_pending"
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000003","N09000003","Belfast",2011,,"stated current-religion response (pending extraction)",,,,,,,,137.71,,,"osni-lgd-2012|nisra-2001-2011-lgd-religion-extraction-pending","nisra_2001_2011_lgd_religion_extraction_pending"
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000003","N09000003","Belfast",2021,337939,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",263089,77.85,74850,22.15,,,,137.71,,,"nisra-census-2021-ms-b19-lgd|osni-lgd-2012",""
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000004","N09000004","Causeway Coast and Glens",2001,,"stated current-religion response (pending extraction)",,,,,,,,1983.83,,,"osni-lgd-2012|nisra-2001-2011-lgd-religion-extraction-pending","nisra_2001_2011_lgd_religion_extraction_pending"
"UK","uk-ni-lgd-2012","ni_lgd","uk-ni-lgd-2012:N09000004","N09000004","Causeway Coast and Glens",2011,,"stated current-religion response (pending extraction)",,,,,,,,1983.83,,,"osni-lgd-2012|nisra-2001-2011-lgd-religion-extraction-pending","nisra_2001_2011_lgd_religion_extraction_pending"
