"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000038","S12000038","Renfrewshire",2001,162997,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",121812,74.73,41185,25.27,,,,261.44,,,"scotland-census-2001-uv16-current-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000038","S12000038","Renfrewshire",2011,162922,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",105790,64.93,57132,35.07,,,,261.44,,,"scotland-census-2011-ks209scb-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000038","S12000038","Renfrewshire",2022,173000,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",86151,49.8,86849,50.2,,,,261.44,,,"scotland-census-2022-uv205-religion-ca2019|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000048","S12000048","Perth and Kinross",2001,128629,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",90551,70.4,38078,29.6,,,,5283.84,,,"scotland-census-2001-uv16-current-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000048","S12000048","Perth and Kinross",2011,136215,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",81652,59.94,54563,40.06,,,,5283.84,,,"scotland-census-2011-ks209scb-religion-ca|scotland-census-council-area-2019","council_code_succession_2018_2019_minor_boundary_realignment"
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000048","S12000048","Perth and Kinross",2022,141096,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",61878,43.86,79218,56.14,,,,5283.84,,,"scotland-census-2022-uv205-religion-ca2019|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000050","S12000050","North Lanarkshire",2001,301482,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",247786,82.19,53696,17.81,,,,469.56,,,"scotland-census-2001-uv16-current-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000050","S12000050","North Lanarkshire",2011,318018,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",235838,74.16,82180,25.84,,,,469.56,,,"scotland-census-2011-ks209scb-religion-ca|scotland-census-council-area-2019","council_code_succession_2018_2019_minor_boundary_realignment"
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000050","S12000050","North Lanarkshire",2022,321430,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",191186,59.48,130244,40.52,,,,469.56,,,"scotland-census-2022-uv205-religion-ca2019|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000019","S12000019","Midlothian",2001,76507,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",49415,64.59,27092,35.41,,,,353.88,,,"scotland-census-2001-uv16-current-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000019","S12000019","Midlothian",2011,78021,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",40408,51.79,37613,48.21,,,,353.88,,,"scotland-census-2011-ks209scb-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000019","S12000019","Midlothian",2022,91364,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",32928,36.04,58436,63.96,,,,353.88,,,"scotland-census-2022-uv205-religion-ca2019|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000018","S12000018","Inverclyde",2001,78730,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",67391,85.6,11339,14.4,,,,160.32,,,"scotland-census-2001-uv16-current-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000018","S12000018","Inverclyde",2011,76639,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",60965,79.55,15674,20.45,,,,160.32,,,"scotland-census-2011-ks209scb-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000018","S12000018","Inverclyde",2022,73895,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",48627,65.81,25268,34.19,,,,160.32,,,"scotland-census-2022-uv205-religion-ca2019|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000049","S12000049","Glasgow City",2001,533033,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",401844,75.39,131189,24.61,,,,174.2,,,"scotland-census-2001-uv16-current-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000049","S12000049","Glasgow City",2011,551195,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",367360,66.65,183835,33.35,,,,174.2,,,"scotland-census-2011-ks209scb-religion-ca|scotland-census-council-area-2019","council_code_succession_2018_2019_minor_boundary_realignment"
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000049","S12000049","Glasgow City",2022,576680,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",308353,53.47,268327,46.53,,,,174.2,,,"scotland-census-2022-uv205-religion-ca2019|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000011","S12000011","East Renfrewshire",2001,85135,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",66383,77.97,18752,22.03,,,,174.33,,,"scotland-census-2001-uv16-current-religion-ca|scotland-census-council-area-2019",""
"UK","uk-sco-council-area-2019","sco_ca","uk-sco-council-area-2019:S12000011","S12000011","East Renfrewshire",2011,84837,"people with a stated current-religion response (all usual residents minus not answered or religion not stated)",60796,71.66,24041,28.34,,,,174.33,,,"scotland-census-2011-ks209scb-religion-ca|scotland-census-council-area-2019",""
