"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"US","us-county-2020","county","us-county-2020:01001","01001","Autauga County, AL",2010,54571,"resident population (denominator of published adherence rates)",36938,67.69,,,,,,1539.63,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01003","01003","Baldwin County, AL",2010,182265,"resident population (denominator of published adherence rates)",96918,53.17,,,,,,4117.66,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01005","01005","Barbour County, AL",2010,27457,"resident population (denominator of published adherence rates)",15101,55,,,,,,2292.16,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01007","01007","Bibb County, AL",2010,22915,"resident population (denominator of published adherence rates)",11430,49.88,,,,,,1612.19,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01009","01009","Blount County, AL",2010,57322,"resident population (denominator of published adherence rates)",37352,65.16,,,,,,1670.26,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01011","01011","Bullock County, AL",2010,10914,"resident population (denominator of published adherence rates)",6300,57.72,,,,,,1613.08,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01013","01013","Butler County, AL",2010,20947,"resident population (denominator of published adherence rates)",12278,58.61,,,,,,2012,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01015","01015","Calhoun County, AL",2010,118572,"resident population (denominator of published adherence rates)",84615,71.36,,,,,,1569.25,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01017","01017","Chambers County, AL",2010,34215,"resident population (denominator of published adherence rates)",22251,65.03,,,,,,1545.09,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01019","01019","Cherokee County, AL",2010,25989,"resident population (denominator of published adherence rates)",12455,47.92,,,,,,1433.62,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01021","01021","Chilton County, AL",2010,43643,"resident population (denominator of published adherence rates)",30488,69.86,,,,,,1794.44,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01023","01023","Choctaw County, AL",2010,13859,"resident population (denominator of published adherence rates)",9721,70.14,,,,,,2365.9,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01025","01025","Clarke County, AL",2010,25833,"resident population (denominator of published adherence rates)",20470,79.24,,,,,,3207.49,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
"US","us-county-2020","county","us-county-2020:01027","01027","Clay County, AL",2010,13932,"resident population (denominator of published adherence rates)",10305,73.97,,,,,,1564.26,,,"usrc-2010-county-file|census-bureau-cb-county-2020|us-fips-crosswalk-2010-2020",""
