"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G4500010","G4500010","Abbeville, South Carolina",1850,32318,"1850 total county population from NHGIS table NT1 (ADQ001).",27500,85.09,,,57,17.64,,2528.36,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G5100010","G5100010","Accomack, Virginia",1850,17890,"1850 total county population from NHGIS table NT1 (ADQ001).",6400,35.77,,,28,15.65,,1191.02,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2100010","G2100010","Adair, Kentucky",1850,9898,"1850 total county population from NHGIS table NT1 (ADQ001).",11300,114.16,,,27,27.28,,1285.4,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2900010","G2900010","Adair, Missouri",1850,2342,"1850 total county population from NHGIS table NT1 (ADQ001).",0,0,,,0,0,,1474.83,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G1700010","G1700010","Adams, Illinois",1850,26508,"1850 total county population from NHGIS table NT1 (ADQ001).",8285,31.25,,,30,11.32,,2257.19,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G1800010","G1800010","Adams, Indiana",1850,5797,"1850 total county population from NHGIS table NT1 (ADQ001).",950,16.39,,,5,8.63,,880.51,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2800010","G2800010","Adams, Mississippi",1850,18601,"1850 total county population from NHGIS table NT1 (ADQ001).",7700,41.4,,,12,6.45,,1262.72,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G3900010","G3900010","Adams, Ohio",1850,18883,"1850 total county population from NHGIS table NT1 (ADQ001).",19595,103.77,,,37,19.59,,1517.18,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G4200010","G4200010","Adams, Pennsylvania",1850,25981,"1850 total county population from NHGIS table NT1 (ADQ001).",18850,72.55,,,48,18.48,,1351.37,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G5500010","G5500010","Adams, Wisconsin",1850,187,"1850 total county population from NHGIS table NT1 (ADQ001).",,,,,,,,3281.84,,,"nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G5000010","G5000010","Addison, Vermont",1850,26549,"1850 total county population from NHGIS table NT1 (ADQ001).",21022,79.18,,,52,19.59,,2091.97,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G1200010","G1200010","Alachua, Florida",1850,2524,"1850 total county population from NHGIS table NT1 (ADQ001).",635,25.16,,,5,19.81,,4217.59,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G3700010","G3700010","Alamance, North Carolina",1850,11444,"1850 total county population from NHGIS table NT1 (ADQ001).",6900,60.29,,,23,20.1,,994.24,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G3600010","G3600010","Albany, New York",1850,93279,"1850 total county population from NHGIS table NT1 (ADQ001).",69960,75,,,107,11.47,,1381.04,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G5100030","G5100030","Albemarle, Virginia",1850,25800,"1850 total county population from NHGIS table NT1 (ADQ001).",14100,54.65,,,44,17.05,,1907.31,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G1700030","G1700030","Alexander, Illinois",1850,2484,"1850 total county population from NHGIS table NT1 (ADQ001).",550,22.14,,,4,16.1,,654.01,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G3700030","G3700030","Alexander, North Carolina",1850,5220,"1850 total county population from NHGIS table NT1 (ADQ001).",4000,76.63,,,16,30.65,,659.61,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G5100035","G5100035","Alexandria, Virginia",1850,10008,"1850 total county population from NHGIS table NT1 (ADQ001).",8050,80.44,,,12,11.99,,82.79,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G1900050","G1900050","Allamakee, Iowa",1850,777,"1850 total county population from NHGIS table NT1 (ADQ001).",0,0,,,0,0,,1706.21,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2600050","G2600050","Allegan, Michigan",1850,5125,"1850 total county population from NHGIS table NT1 (ADQ001).",1180,23.02,,,6,11.71,,2182.07,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2400010","G2400010","Allegany, Maryland",1850,22769,"1850 total county population from NHGIS table NT1 (ADQ001).",13900,61.05,,,31,13.62,,2811.82,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G3600030","G3600030","Allegany, New York",1850,37808,"1850 total county population from NHGIS table NT1 (ADQ001).",14025,37.1,,,48,12.7,,2781.83,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G5100050","G5100050","Alleghany, Virginia",1850,3515,"1850 total county population from NHGIS table NT1 (ADQ001).",2345,66.71,,,10,28.45,,1176.95,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G4200030","G4200030","Allegheny, Pennsylvania",1850,138290,"1850 total county population from NHGIS table NT1 (ADQ001).",97822,70.74,,,180,13.02,,1928.72,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G1800030","G1800030","Allen, Indiana",1850,16919,"1850 total county population from NHGIS table NT1 (ADQ001).",5850,34.58,,,12,7.09,,1709.45,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2100030","G2100030","Allen, Kentucky",1850,8742,"1850 total county population from NHGIS table NT1 (ADQ001).",7550,86.36,,,24,27.45,,903.7,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G3900030","G3900030","Allen, Ohio",1850,12109,"1850 total county population from NHGIS table NT1 (ADQ001).",5584,46.11,,,19,15.69,,1053.73,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G5100070","G5100070","Amelia, Virginia",1850,9770,"1850 total county population from NHGIS table NT1 (ADQ001).",4000,40.94,,,14,14.33,,928.57,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G5100090","G5100090","Amherst, Virginia",1850,12699,"1850 total county population from NHGIS table NT1 (ADQ001).",5825,45.87,,,24,18.9,,1240.21,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2800050","G2800050","Amite, Mississippi",1850,9694,"1850 total county population from NHGIS table NT1 (ADQ001).",5000,51.58,,,16,16.51,,1942.28,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2100050","G2100050","Anderson, Kentucky",1850,6260,"1850 total county population from NHGIS table NT1 (ADQ001).",10250,163.74,,,18,28.75,,531.9,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G4500070","G4500070","Anderson, South Carolina",1850,21475,"1850 total county population from NHGIS table NT1 (ADQ001).",22885,106.57,,,54,25.15,,1961.7,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G4700010","G4700010","Anderson, Tennessee",1850,6938,"1850 total county population from NHGIS table NT1 (ADQ001).",2950,42.52,,,9,12.97,,1104.49,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G4800010","G4800010","Anderson, Texas",1850,2884,"1850 total county population from NHGIS table NT1 (ADQ001).",0,0,,,0,0,,2791.97,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2900030","G2900030","Andrew, Missouri",1850,9433,"1850 total county population from NHGIS table NT1 (ADQ001).",2950,31.27,,,8,8.48,,1130.33,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G4800050","G4800050","Angelina, Texas",1850,1165,"1850 total county population from NHGIS table NT1 (ADQ001).",190,16.31,,,2,17.17,,2239.56,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G2400030","G2400030","Anne Arundel, Maryland",1850,32393,"1850 total county population from NHGIS table NT1 (ADQ001).",41875,129.27,,,82,25.31,,1741.72,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G3700070","G3700070","Anson, North Carolina",1850,13489,"1850 total county population from NHGIS table NT1 (ADQ001).",10200,75.62,,,26,19.27,,1391.08,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
"US","us-county-1850-tl2008","county_1850","us-county-1850-tl2008:G1900070","G1900070","Appanoose, Iowa",1850,3131,"1850 total county population from NHGIS table NT1 (ADQ001).",0,0,,,0,0,,1337.07,,"total number of churches from NHGIS table NT50 (AEX001)","nhgis-ds10-1850-county|nhgis-shapefile-us-county-1850-tl2008","wave_coverage_differs"
