old_fips,old_name,new_fips,new_name,note
02201,Prince of Wales-Outer Ketchikan Census Area,02198,Prince of Wales-Hyder Census Area,"Split 2008-05-19: Outer Ketchikan portion annexed by Ketchikan Gateway Borough (02130), Meyers Chuck portion into Wrangell City and Borough (02275), remainder renamed Prince of Wales-Hyder. Predates the 2010 RCMS file; that file appears to carry a legacy FIPS list. Mapped whole to 02198 (majority successor) for the county join; a small population share is technically in 02130/02275."
02231,Skagway-Yakutat-Angoon Census Area,02105,Hoonah-Angoon Census Area,"Renamed Skagway-Hoonah-Angoon in 1992 after Yakutat became a separate borough (02282), then reconstituted as Hoonah-Angoon in 2007 after Skagway became its own municipality (02230). Predates 2010; legacy code in the RCMS file. Mapped to 02105 (successor) for the join."
02232,Skagway-Hoonah-Angoon Census Area,02105,Hoonah-Angoon Census Area,"Reconstituted as Hoonah-Angoon Census Area 2007-06-20 when Skagway consolidated into its own municipality (02230). Predates 2010; legacy code in the RCMS file. Mapped to 02105 for the join."
02261,Valdez-Cordova Census Area,02063,Chugach Census Area,"Split 2019-01-02 into Chugach Census Area (02063) and Copper River Census Area (02066). Mapped to 02063 (Valdez, the larger population centre) for the join; Copper River's 2010 population is folded into the same mapped row, so this cell slightly overstates 02063 and omits a standalone 02066 entry for 2010."
02270,Wade Hampton Census Area,02158,Kusilvak Census Area,Renamed effective 2015-07-01. Direct one-to-one successor; no boundary change.
02280,Wrangell-Petersburg Census Area,02195,Petersburg Borough,"Split 2013-01-03 into Petersburg Borough (02195, from part of the former Petersburg Census Area plus part of Hoonah-Angoon) and Wrangell City and Borough (02275, existing since 2008). Mapped to 02195 for the join; a population share belongs with 02275."
30113,Yellowstone National Park,30031,Gallatin County,"Dissolved 1997: Montana's portion of Yellowstone National Park was divided between Gallatin County (30031) and Park County (30067). Predates 2010; legacy code in the RCMS file. Mapped to 30031 for the join; a small population share belongs with 30067."
46113,Shannon County,46102,Oglala Lakota County,Renamed effective 2015-05-01. Direct one-to-one successor; no boundary change.
51515,Bedford city,51019,Bedford County,Reverted from independent city to town and absorbed into Bedford County effective 2013-07-01. Direct successor for the join.
51560,Clifton Forge city,51005,Alleghany County,"Reverted from independent city to town and absorbed into Alleghany County effective 2001-07-01. Predates 2010; legacy code in the RCMS file. Direct successor for the join."
