start_year,end_year,old_fips,old_name,new_fips,new_name,note
1971,1980,02010,Aleutian Islands Census Area,02016,Aleutians West Census Area,"Aleutian Islands split before the 1990 county layout. The old row is mapped to Aleutians West; Aleutians East already appears as 02013 in these source waves."
1980,1980,02140,Kodiak Island Borough,02150,Kodiak Island Borough,"1980 source workbook uses legacy 02140 for Kodiak Island. Mapped to the 2020 Kodiak Island Borough FIPS."
1980,1980,02150,Lake and Peninsula Borough,02164,Lake and Peninsula Borough,"1980 source workbook uses 02150 for Lake and Peninsula. Mapped to the 2020 Lake and Peninsula Borough FIPS."
1971,2020,02201,Prince of Wales-Outer Ketchikan Census Area,02198,Prince of Wales-Hyder Census Area,"Split 2008-05-19: Outer Ketchikan portion annexed by Ketchikan Gateway Borough (02130), Meyers Chuck portion into Wrangell City and Borough (02275), remainder renamed Prince of Wales-Hyder. Mapped whole to 02198 for the county join; a small population share is technically in 02130/02275."
1971,2010,02231,Skagway-Yakutat-Angoon Census Area,02105,Hoonah-Angoon Census Area,"Renamed Skagway-Hoonah-Angoon in 1992 after Yakutat became a separate borough (02282), then reconstituted as Hoonah-Angoon in 2007 after Skagway became its own municipality (02230). Mapped to 02105 for the join."
2000,2020,02232,Skagway-Hoonah-Angoon Census Area,02105,Hoonah-Angoon Census Area,"Reconstituted as Hoonah-Angoon Census Area 2007-06-20 when Skagway consolidated into its own municipality (02230). Mapped to 02105 for the join."
1971,2020,02261,Valdez-Cordova Census Area,02063,Chugach Census Area,"Split 2019-01-02 into Chugach Census Area (02063) and Copper River Census Area (02066). Mapped to 02063 for the join; Copper River's earlier total remains folded into the mapped row."
1971,2020,02270,Wade Hampton Census Area,02158,Kusilvak Census Area,"Renamed effective 2015-07-01. Direct one-to-one successor."
1971,2020,02280,Wrangell-Petersburg Census Area,02195,Petersburg Borough,"Split 2013-01-03 into Petersburg Borough (02195) and Wrangell City and Borough (02275). Mapped to 02195 for the join; a population share belongs with 02275."
1952,1990,12025,Dade County,12086,Miami-Dade County,"Name and FIPS changed in 1997. Direct one-to-one successor for this build."
1952,2020,30113,Yellowstone National Park (part),30031,Gallatin County,"Montana's Yellowstone National Park county-equivalent was dissolved in 1997. Mapped to Gallatin County for continuity with the Phase 1 crosswalk; a small population share belonged with Park County."
1952,1952,32025,Ormsby County,32510,Carson City,"Ormsby County and Carson City consolidated in 1969. Direct successor."
1952,1952,46001,Armstrong County,46041,Dewey County,"Armstrong County was abolished and absorbed into Dewey County in 1952. Direct successor for this build."
1952,2020,46113,Shannon County,46102,Oglala Lakota County,"Renamed effective 2015-05-01. Direct one-to-one successor."
1952,1952,46131,Washabaugh County,46071,Jackson County,"Washabaugh County was absorbed into Jackson County in 1983. Direct successor for this build."
1952,1952,51055,Elizabeth City County-Hampton City,51650,Hampton city,"Elizabeth City County and Hampton consolidated in 1952. Mapped to Hampton city."
1952,1952,51123,Nansemond County-Suffolk City,51800,Suffolk city,"Nansemond County and Suffolk consolidated in 1974. Mapped to Suffolk city."
1952,1952,51129,Norfolk County-Norfolk-South Norfolk-Portsmouth,51550,Chesapeake city,"The source row aggregates Norfolk County, Norfolk city, South Norfolk city, and Portsmouth city. Mapped to Chesapeake city, the principal Norfolk County/South Norfolk successor; Norfolk and Portsmouth city totals cannot be separated."
1952,1952,51151,Princess Anne County,51810,Virginia Beach city,"Princess Anne County and Virginia Beach consolidated in 1963. Direct successor."
1952,1952,51189,Warwick County-Newport News City,51700,Newport News city,"Warwick County and Newport News consolidated in 1958. Direct successor."
1971,2010,51515,Bedford city,51019,Bedford County,"Reverted from independent city to town and absorbed into Bedford County effective 2013-07-01. Direct successor for the join."
1971,2010,51560,Clifton Forge city,51005,Alleghany County,"Reverted from independent city to town and absorbed into Alleghany County effective 2001-07-01. Direct successor for the join."
1971,1990,51780,South Boston city,51083,Halifax County,"Reverted from independent city to town and rejoined Halifax County effective 1995-07-01. Direct successor for the join."
1952,1952,56047,Yellowstone National Park,56029,Park County,"Wyoming's Yellowstone National Park county-equivalent was dissolved before the modern county layout. Mapped to Park County for this build; the source row has population but no reported congregations or members."
