"gisjoin","year","boundary_year","area_name","source_area_name","state_name","state_code","county_name","county_code","population_total","population_reference_year","church_or_edifice_count","church_count_basis","church_seating_count","church_seating_per_100_population","churches_or_edifices_per_10000_residents","church_property_value","member_count","members_per_100_population","land_area_sq_km","quality_flag"
"G3101095",1870,1870,"'L''eau Qui Court', Nebraska","L'Eau Qui","Nebraska","310","L'Eau Qui Court","1095",261,1870,0,"total religious edifices from NHGIS table NT44 (AK8001)",0,0,0,0,,,3326.47,"wave_coverage_differs"
"G4500010",1870,1870,"Abbeville, South Carolina","Abbeville","South Carolina","450","Abbeville","0010",31129,1870,44,"total religious edifices from NHGIS table NT44 (AK8001)",24950,80.1503,14.1347,77000,,,2528.36,"wave_coverage_differs"
"G5100010",1870,1870,"Accomack, Virginia","Accomack","Virginia","510","Accomack","0010",20409,1870,39,"total religious edifices from NHGIS table NT44 (AK8001)",9100,44.5882,19.1092,67550,,,1191.02,"wave_coverage_differs"
"G1650015",1870,1870,"Ada, Idaho Territory","Ada","Idaho Territory","165","Ada","0015",2675,1870,7,"total religious edifices from NHGIS table NT44 (AK8001)",900,33.6449,26.1682,8000,,,9051.77,"wave_coverage_differs"
"G1900010",1870,1870,"Adair, Iowa","Adair","Iowa","190","Adair","0010",3982,1870,1,"total religious edifices from NHGIS table NT44 (AK8001)",275,6.9061,2.5113,2550,,,1477,"wave_coverage_differs"
"G2100010",1870,1870,"Adair, Kentucky","Adair","Kentucky","210","Adair","0010",11065,1870,39,"total religious edifices from NHGIS table NT44 (AK8001)",10250,92.6344,35.2463,35500,,,1067.57,"wave_coverage_differs"
"G2900010",1870,1870,"Adair, Missouri","Adair","Missouri","290","Adair","0010",11448,1870,13,"total religious edifices from NHGIS table NT44 (AK8001)",2450,21.4011,11.3557,68500,,,1474.83,"wave_coverage_differs"
"G1700010",1870,1870,"Adams, Illinois","Adams","Illinois","170","Adams","0010",56362,1870,88,"total religious edifices from NHGIS table NT44 (AK8001)",23830,42.2803,15.6134,777250,,,2257.19,"wave_coverage_differs"
"G1800010",1870,1870,"Adams, Indiana","Adams","Indiana","180","Adams","0010",11382,1870,13,"total religious edifices from NHGIS table NT44 (AK8001)",4500,39.5361,11.4215,20000,,,880.51,"wave_coverage_differs"
"G1900030",1870,1870,"Adams, Iowa","Adams","Iowa","190","Adams","0030",4614,1870,2,"total religious edifices from NHGIS table NT44 (AK8001)",450,9.7529,4.3346,3900,,,1102.05,"wave_coverage_differs"
"G2800010",1870,1870,"Adams, Mississippi","Adams","Mississippi","280","Adams","0010",19084,1870,14,"total religious edifices from NHGIS table NT44 (AK8001)",4850,25.414,7.336,134200,,,1262.72,"wave_coverage_differs"
"G3100010",1870,1870,"Adams, Nebraska","Adams","Nebraska","310","Adams","0010",19,1870,,"total religious edifices from NHGIS table NT44 (AK8001)",,,,,,,1740.12,"wave_coverage_differs"
