"gisjoin","year","boundary_year","area_name","source_area_name","state_name","state_code","county_name","county_code","population_total","population_reference_year","church_or_edifice_count","church_count_basis","church_seating_count","church_seating_per_100_population","churches_or_edifices_per_10000_residents","church_property_value","member_count","members_per_100_population","land_area_sq_km","quality_flag"
"G4500010",1906,1930,"Abbeville, South Carolina","Abbeville","South Carolina","450","Abbeville","0010",34804,1910,,,,,,,16521,47.4687,1323.46,"wave_coverage_differs;period_boundary_vintage_differs"
"G2200010",1906,1930,"Acadia, Louisiana","Acadia","Louisiana","220","Acadia","0010",31847,1910,,,,,,,25503,80.0798,1702.8,"wave_coverage_differs;period_boundary_vintage_differs"
"G5100010",1906,1930,"Accomack, Virginia","Accomack","Virginia","510","Accomack","0010",36650,1910,,,,,,,13249,36.1501,1191.02,"wave_coverage_differs;period_boundary_vintage_differs"
"G1600010",1906,1930,"Ada, Idaho","Ada","Idaho","160","Ada","0010",29088,1910,,,,,,,7675,26.3855,2746.58,"wave_coverage_differs;period_boundary_vintage_differs"
"G1900010",1906,1930,"Adair, Iowa","Adair","Iowa","190","Adair","0010",14420,1910,,,,,,,4526,31.387,1477,"wave_coverage_differs;period_boundary_vintage_differs"
"G2100010",1906,1930,"Adair, Kentucky","Adair","Kentucky","210","Adair","0010",16503,1910,,,,,,,4798,29.0735,1067.57,"wave_coverage_differs;period_boundary_vintage_differs"
"G2900010",1906,1930,"Adair, Missouri","Adair","Missouri","290","Adair","0010",22700,1910,,,,,,,7400,32.5991,1474.83,"wave_coverage_differs;period_boundary_vintage_differs"
"G4000010",1906,1930,"Adair, Oklahoma","Adair","Oklahoma","400","Adair","0010",10535,1910,,,,,,,1696,16.0987,1494.63,"wave_coverage_differs;period_boundary_vintage_differs"
"G0800010",1906,1930,"Adams, Colorado","Adams","Colorado","080","Adams","0010",8892,1910,,,,,,,622,6.9951,3264.1,"wave_coverage_differs;period_boundary_vintage_differs"
"G1700010",1906,1930,"Adams, Illinois","Adams","Illinois","170","Adams","0010",64588,1910,,,,,,,39701,61.4681,2257.19,"wave_coverage_differs;period_boundary_vintage_differs"
"G1800010",1906,1930,"Adams, Indiana","Adams","Indiana","180","Adams","0010",21840,1910,,,,,,,7117,32.587,880.51,"wave_coverage_differs;period_boundary_vintage_differs"
"G1900030",1906,1930,"Adams, Iowa","Adams","Iowa","190","Adams","0030",10998,1910,,,,,,,3517,31.9785,1102.05,"wave_coverage_differs;period_boundary_vintage_differs"
"G2800010",1906,1930,"Adams, Mississippi","Adams","Mississippi","280","Adams","0010",25265,1910,,,,,,,12643,50.0416,1262.72,"wave_coverage_differs;period_boundary_vintage_differs"
"G3100010",1906,1930,"Adams, Nebraska","Adams","Nebraska","310","Adams","0010",20900,1910,,,,,,,7481,35.7943,1461.33,"wave_coverage_differs;period_boundary_vintage_differs"
"G3800010",1906,1930,"Adams, North Dakota","Adams","North Dakota","380","Adams","0010",5407,1910,,,,,,,0,0,2560.77,"wave_coverage_differs;period_boundary_vintage_differs"
"G3900010",1906,1930,"Adams, Ohio","Adams","Ohio","390","Adams","0010",24755,1910,,,,,,,7652,30.9109,1517.18,"wave_coverage_differs;period_boundary_vintage_differs"
"G4200010",1906,1930,"Adams, Pennsylvania","Adams","Pennsylvania","420","Adams","0010",34319,1910,,,,,,,16977,49.4682,1351.37,"wave_coverage_differs;period_boundary_vintage_differs"
"G5300010",1906,1930,"Adams, Washington","Adams","Washington","530","Adams","0010",10920,1910,,,,,,,1901,17.4084,4998.31,"wave_coverage_differs;period_boundary_vintage_differs"
"G5500010",1906,1930,"Adams, Wisconsin","Adams","Wisconsin","550","Adams","0010",8604,1910,,,,,,,2079,24.1632,1783.34,"wave_coverage_differs;period_boundary_vintage_differs"
"G5000010",1906,1930,"Addison, Vermont","Addison","Vermont","500","Addison","0010",20010,1910,,,,,,,7816,39.0605,2091.97,"wave_coverage_differs;period_boundary_vintage_differs"
"G4500030",1906,1930,"Aiken, South Carolina","Aiken","South Carolina","450","Aiken","0030",41849,1910,,,,,,,19312,46.1469,2799.17,"wave_coverage_differs;period_boundary_vintage_differs"
"G2700010",1906,1930,"Aitkin, Minnesota","Aitkin","Minnesota","270","Aitkin","0010",10371,1910,,,,,,,1792,17.279,5167.87,"wave_coverage_differs;period_boundary_vintage_differs"
"G1200010",1906,1930,"Alachua, Florida","Alachua","Florida","120","Alachua","0010",34305,1910,,,,,,,12302,35.8607,2512.14,"wave_coverage_differs;period_boundary_vintage_differs"
