"fips","name","state","cng","adh","pop","quality_flag","original_fips","crosswalk_note"
"01001","Autauga","AL",70,23543,34222,"wave_coverage_differs","01001",""
"01003","Baldwin","AL",181,59109,98280,"wave_coverage_differs","01003",""
"01005","Barbour","AL",67,16801,25417,"wave_coverage_differs","01005",""
"01007","Bibb","AL",65,10941,16576,"wave_coverage_differs","01007",""
"01009","Blount","AL",138,26428,39248,"wave_coverage_differs","01009",""
"01011","Bullock","AL",29,9309,11042,"wave_coverage_differs","01011",""
"01013","Butler","AL",110,24806,21892,"wave_coverage_differs","01013",""
"01015","Calhoun","AL",202,83494,116034,"wave_coverage_differs","01015",""
"01017","Chambers","AL",104,26390,36876,"wave_coverage_differs","01017",""
"01019","Cherokee","AL",89,12784,19543,"wave_coverage_differs","01019",""
"01021","Chilton","AL",103,23613,32458,"wave_coverage_differs","01021",""
"01023","Choctaw","AL",77,13414,16018,"wave_coverage_differs","01023",""
"01025","Clarke","AL",93,22446,27240,"wave_coverage_differs","01025",""
"01027","Clay","AL",80,11175,13252,"wave_coverage_differs","01027",""
"01029","Cleburne","AL",55,9661,12730,"wave_coverage_differs","01029",""
"01031","Coffee","AL",101,30555,40240,"wave_coverage_differs","01031",""
"01033","Colbert","AL",119,38186,51666,"wave_coverage_differs","01033",""
"01035","Conecuh","AL",66,12663,14054,"wave_coverage_differs","01035",""
"01037","Coosa","AL",46,7151,11063,"wave_coverage_differs","01037",""
"01039","Covington","AL",122,28417,36478,"wave_coverage_differs","01039",""
"01041","Crenshaw","AL",78,12385,13635,"wave_coverage_differs","01041",""
"01043","Cullman","AL",208,52724,67613,"wave_coverage_differs","01043",""
"01045","Dale","AL",99,28784,49633,"wave_coverage_differs","01045",""
"01047","Dallas","AL",85,32727,48130,"wave_coverage_differs","01047",""
"01049","DeKalb","AL",192,36231,54651,"wave_coverage_differs","01049",""
"01051","Elmore","AL",118,34311,49210,"wave_coverage_differs","01051",""
"01053","Escambia","AL",116,24395,35518,"wave_coverage_differs","01053",""
"01055","Etowah","AL",218,81580,99840,"wave_coverage_differs","01055",""
"01057","Fayette","AL",92,13170,17962,"wave_coverage_differs","01057",""
"01059","Franklin","AL",88,15847,27814,"wave_coverage_differs","01059",""
"01061","Geneva","AL",100,17781,23647,"wave_coverage_differs","01061",""
"01063","Greene","AL",34,8701,10153,"wave_coverage_differs","01063",""
