"fips","name","state","cng","adh","pop"
"01001","Autauga County","AL",110,30249,58805
"01003","Baldwin County","AL",285,124351,231767
"01005","Barbour County","AL",93,17330,25223
"01007","Bibb County","AL",81,10887,22293
"01009","Blount County","AL",145,33895,59134
"01011","Bullock County","AL",43,4894,10357
"01013","Butler County","AL",89,11645,19051
"01015","Calhoun County","AL",286,83651,116441
"01017","Chambers County","AL",120,19381,34772
"01019","Cherokee County","AL",89,12551,24971
"01021","Chilton County","AL",133,33161,45014
"01023","Choctaw County","AL",76,7787,12665
"01025","Clarke County","AL",112,17471,23087
"01027","Clay County","AL",71,9775,14236
"01029","Cleburne County","AL",66,11829,15056
"01031","Coffee County","AL",126,37072,53465
"01033","Colbert County","AL",142,34511,57227
"01035","Conecuh County","AL",56,5043,11597
"01037","Coosa County","AL",38,4901,10387
"01039","Covington County","AL",118,21733,37570
"01041","Crenshaw County","AL",62,8042,13194
"01043","Cullman County","AL",224,55013,87866
"01045","Dale County","AL",112,24837,49326
"01047","Dallas County","AL",128,21197,38462
"01049","DeKalb County","AL",202,45266,71608
"01051","Elmore County","AL",146,40632,87977
"01053","Escambia County","AL",115,24084,36757
"01055","Etowah County","AL",251,83850,103436
"01057","Fayette County","AL",90,9847,16321
"01059","Franklin County","AL",101,20080,32113
"01061","Geneva County","AL",92,15369,26659
"01063","Greene County","AL",29,2135,7730
"01065","Hale County","AL",61,7974,14785
"01067","Henry County","AL",48,10551,17146
"01069","Houston County","AL",225,90243,107202
"01071","Jackson County","AL",156,28326,52579
"01073","Jefferson County","AL",1202,539405,674721
"01075","Lamar County","AL",85,9724,13972
"01077","Lauderdale County","AL",224,61998,93564
"01079","Lawrence County","AL",101,23019,33073
"01081","Lee County","AL",193,62362,174241
"01083","Limestone County","AL",183,54163,103570
"01085","Lowndes County","AL",54,5330,10311
"01087","Macon County","AL",79,11646,19532
"01089","Madison County","AL",527,247964,388153
"01091","Marengo County","AL",86,16840,19323
"01093","Marion County","AL",98,16422,29341
"01095","Marshall County","AL",217,63093,97612
"01097","Mobile County","AL",656,302706,414809
