"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","anglican_percent","baptist_spiritual_percent","evangelical_percent","jehovahs_witness_percent","methodist_percent","pentecostal_percent","presbyterian_congregational_percent","catholic_percent","salvation_army_percent","seventh_day_adventist_percent","other_christian_percent","composition"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_01","VCT_01","Kingstown",2001,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",19.7,7.2,2.3,0.9,18.3,20.2,0.1,11.6,0.4,3.8,3.1,"[{""label_verbatim"":""Anglican"",""percent"":19.7},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":7.2},{""label_verbatim"":""Evangelical"",""percent"":2.3},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.9},{""label_verbatim"":""Methodist"",""percent"":18.3},{""label_verbatim"":""Pentecostal"",""percent"":20.2},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.1},{""label_verbatim"":""Roman Catholic"",""percent"":11.6},{""label_verbatim"":""Salvation Army"",""percent"":0.4},{""label_verbatim"":""Seventh Day Adventist"",""percent"":3.8},{""label_verbatim"":""Other Christian Denomination"",""percent"":3.1}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_01","VCT_01","Kingstown",2012,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",15.4,5.5,3.4,0.9,14.7,29.8,0.1,9.2,0.3,4.5,0.7,"[{""label_verbatim"":""Anglican"",""percent"":15.4},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":5.5},{""label_verbatim"":""Evangelical"",""percent"":3.4},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.9},{""label_verbatim"":""Methodist"",""percent"":14.7},{""label_verbatim"":""Pentecostal"",""percent"":29.8},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.1},{""label_verbatim"":""Roman Catholic"",""percent"":9.2},{""label_verbatim"":""Salvation Army"",""percent"":0.3},{""label_verbatim"":""Seventh Day Adventist"",""percent"":4.5},{""label_verbatim"":""Other Christian Denomination"",""percent"":0.7}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_02","VCT_02","Kingstown Suburb",2001,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",14.5,8.9,3.8,0.5,11,25.6,0.1,5,0.2,7.7,2.1,"[{""label_verbatim"":""Anglican"",""percent"":14.5},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":8.9},{""label_verbatim"":""Evangelical"",""percent"":3.8},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.5},{""label_verbatim"":""Methodist"",""percent"":11},{""label_verbatim"":""Pentecostal"",""percent"":25.6},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.1},{""label_verbatim"":""Roman Catholic"",""percent"":5},{""label_verbatim"":""Salvation Army"",""percent"":0.2},{""label_verbatim"":""Seventh Day Adventist"",""percent"":7.7},{""label_verbatim"":""Other Christian Denomination"",""percent"":2.1}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_02","VCT_02","Kingstown Suburb",2012,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",10.2,6.3,4.3,0.7,8.3,35.9,0.4,4.3,0.2,8.3,0.5,"[{""label_verbatim"":""Anglican"",""percent"":10.2},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":6.3},{""label_verbatim"":""Evangelical"",""percent"":4.3},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.7},{""label_verbatim"":""Methodist"",""percent"":8.3},{""label_verbatim"":""Pentecostal"",""percent"":35.9},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.4},{""label_verbatim"":""Roman Catholic"",""percent"":4.3},{""label_verbatim"":""Salvation Army"",""percent"":0.2},{""label_verbatim"":""Seventh Day Adventist"",""percent"":8.3},{""label_verbatim"":""Other Christian Denomination"",""percent"":0.5}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_03","VCT_03","Calliaqua",2001,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",18.9,8.6,1.8,1,14.5,18.4,0.1,8.2,0.5,9.4,4.4,"[{""label_verbatim"":""Anglican"",""percent"":18.9},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":8.6},{""label_verbatim"":""Evangelical"",""percent"":1.8},{""label_verbatim"":""Jehovah's Witness"",""percent"":1},{""label_verbatim"":""Methodist"",""percent"":14.5},{""label_verbatim"":""Pentecostal"",""percent"":18.4},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.1},{""label_verbatim"":""Roman Catholic"",""percent"":8.2},{""label_verbatim"":""Salvation Army"",""percent"":0.5},{""label_verbatim"":""Seventh Day Adventist"",""percent"":9.4},{""label_verbatim"":""Other Christian Denomination"",""percent"":4.4}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_03","VCT_03","Calliaqua",2012,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",15.7,6.7,3,1.3,11.4,27,0.2,7.2,0.4,11.2,0.3,"[{""label_verbatim"":""Anglican"",""percent"":15.7},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":6.7},{""label_verbatim"":""Evangelical"",""percent"":3},{""label_verbatim"":""Jehovah's Witness"",""percent"":1.3},{""label_verbatim"":""Methodist"",""percent"":11.4},{""label_verbatim"":""Pentecostal"",""percent"":27},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.2},{""label_verbatim"":""Roman Catholic"",""percent"":7.2},{""label_verbatim"":""Salvation Army"",""percent"":0.4},{""label_verbatim"":""Seventh Day Adventist"",""percent"":11.2},{""label_verbatim"":""Other Christian Denomination"",""percent"":0.3}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_04","VCT_04","Marriaqua",2001,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",8.7,11.4,0.9,0.5,12.5,16.2,0.1,9.8,0.9,24.1,4.8,"[{""label_verbatim"":""Anglican"",""percent"":8.7},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":11.4},{""label_verbatim"":""Evangelical"",""percent"":0.9},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.5},{""label_verbatim"":""Methodist"",""percent"":12.5},{""label_verbatim"":""Pentecostal"",""percent"":16.2},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.1},{""label_verbatim"":""Roman Catholic"",""percent"":9.8},{""label_verbatim"":""Salvation Army"",""percent"":0.9},{""label_verbatim"":""Seventh Day Adventist"",""percent"":24.1},{""label_verbatim"":""Other Christian Denomination"",""percent"":4.8}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_04","VCT_04","Marriaqua",2012,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",7,9.1,0.6,0.5,11.1,22.3,0.1,7.2,1.2,28.9,0,"[{""label_verbatim"":""Anglican"",""percent"":7},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":9.1},{""label_verbatim"":""Evangelical"",""percent"":0.6},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.5},{""label_verbatim"":""Methodist"",""percent"":11.1},{""label_verbatim"":""Pentecostal"",""percent"":22.3},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.1},{""label_verbatim"":""Roman Catholic"",""percent"":7.2},{""label_verbatim"":""Salvation Army"",""percent"":1.2},{""label_verbatim"":""Seventh Day Adventist"",""percent"":28.9},{""label_verbatim"":""Other Christian Denomination"",""percent"":0}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_05","VCT_05","Bridgetown",2001,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",11.8,17.7,1.9,0.6,5.1,10.2,0,3.3,0.1,20.6,7.4,"[{""label_verbatim"":""Anglican"",""percent"":11.8},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":17.7},{""label_verbatim"":""Evangelical"",""percent"":1.9},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.6},{""label_verbatim"":""Methodist"",""percent"":5.1},{""label_verbatim"":""Pentecostal"",""percent"":10.2},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0},{""label_verbatim"":""Roman Catholic"",""percent"":3.3},{""label_verbatim"":""Salvation Army"",""percent"":0.1},{""label_verbatim"":""Seventh Day Adventist"",""percent"":20.6},{""label_verbatim"":""Other Christian Denomination"",""percent"":7.4}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_05","VCT_05","Bridgetown",2012,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",8.4,11.6,2.5,0.7,4.6,22.6,0.5,2,0.1,22.7,0.1,"[{""label_verbatim"":""Anglican"",""percent"":8.4},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":11.6},{""label_verbatim"":""Evangelical"",""percent"":2.5},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.7},{""label_verbatim"":""Methodist"",""percent"":4.6},{""label_verbatim"":""Pentecostal"",""percent"":22.6},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.5},{""label_verbatim"":""Roman Catholic"",""percent"":2},{""label_verbatim"":""Salvation Army"",""percent"":0.1},{""label_verbatim"":""Seventh Day Adventist"",""percent"":22.7},{""label_verbatim"":""Other Christian Denomination"",""percent"":0.1}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_06","VCT_06","Colonarie",2001,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",11.1,11,2,0.2,7.1,23.5,0.6,6.9,0,8.5,3.9,"[{""label_verbatim"":""Anglican"",""percent"":11.1},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":11},{""label_verbatim"":""Evangelical"",""percent"":2},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.2},{""label_verbatim"":""Methodist"",""percent"":7.1},{""label_verbatim"":""Pentecostal"",""percent"":23.5},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.6},{""label_verbatim"":""Roman Catholic"",""percent"":6.9},{""label_verbatim"":""Salvation Army"",""percent"":0},{""label_verbatim"":""Seventh Day Adventist"",""percent"":8.5},{""label_verbatim"":""Other Christian Denomination"",""percent"":3.9}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_06","VCT_06","Colonarie",2012,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",8.3,13.1,3.9,0.4,4.6,35.3,0.1,5.9,0,10.4,0,"[{""label_verbatim"":""Anglican"",""percent"":8.3},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":13.1},{""label_verbatim"":""Evangelical"",""percent"":3.9},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.4},{""label_verbatim"":""Methodist"",""percent"":4.6},{""label_verbatim"":""Pentecostal"",""percent"":35.3},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.1},{""label_verbatim"":""Roman Catholic"",""percent"":5.9},{""label_verbatim"":""Salvation Army"",""percent"":0},{""label_verbatim"":""Seventh Day Adventist"",""percent"":10.4},{""label_verbatim"":""Other Christian Denomination"",""percent"":0}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_07","VCT_07","Georgetown",2001,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",20.9,16.2,2.4,0.5,4.5,4.9,0,7.5,0,5.3,4.1,"[{""label_verbatim"":""Anglican"",""percent"":20.9},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":16.2},{""label_verbatim"":""Evangelical"",""percent"":2.4},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.5},{""label_verbatim"":""Methodist"",""percent"":4.5},{""label_verbatim"":""Pentecostal"",""percent"":4.9},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0},{""label_verbatim"":""Roman Catholic"",""percent"":7.5},{""label_verbatim"":""Salvation Army"",""percent"":0},{""label_verbatim"":""Seventh Day Adventist"",""percent"":5.3},{""label_verbatim"":""Other Christian Denomination"",""percent"":4.1}]"
"VC","vc-census-division-2012-uscb-demobase-adm1","census_division","vc-census-division-2012-uscb-demobase-adm1:VCT_07","VCT_07","Georgetown",2012,,"The census-division tables publish Christian-denomination percentages only; no division population count is carried or derived.",,,,,,,,,,,"vc-census-division-denominations-2001-2012|uscb-demobase-vct-adm1-2012","percentage_only_grain;christian_denominations_only_universe;division_remainder_unprinted",16.3,13,4.9,0.9,3.5,30.3,0.4,6.8,0.1,6.2,0.3,"[{""label_verbatim"":""Anglican"",""percent"":16.3},{""label_verbatim"":""Baptist (Spiritual)"",""percent"":13},{""label_verbatim"":""Evangelical"",""percent"":4.9},{""label_verbatim"":""Jehovah's Witness"",""percent"":0.9},{""label_verbatim"":""Methodist"",""percent"":3.5},{""label_verbatim"":""Pentecostal"",""percent"":30.3},{""label_verbatim"":""Presbyterian/Congregational"",""percent"":0.4},{""label_verbatim"":""Roman Catholic"",""percent"":6.8},{""label_verbatim"":""Salvation Army"",""percent"":0.1},{""label_verbatim"":""Seventh Day Adventist"",""percent"":6.2},{""label_verbatim"":""Other Christian Denomination"",""percent"":0.3}]"
