"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","quality_flag","source_dataset_ids","customary_beliefs_percent","presbyterian_percent","anglican_percent","catholic_percent","seventh_day_adventist_percent"
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-MAP","VU-MAP","Malampa",1967,9046,"persons aged 15+ professing adherence to a religious group (McArthur & Yaxley 1967 first-census Table A; no no-religion category, so affiliation and no-religion shares are not defined)",,,,,37,,0.0132,2799.69,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years;religion_aged_15_plus_no_no_religion_category_1967","vu-adm1-geoboundaries|osm-vu-place-of-worship|mcarthur-yaxley-1967-census-table-a",6.02,57.57,0.51,20.57,9.97
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-MAP","VU-MAP","Malampa",1999,32677,"total people with a stated religious-affiliation response (census total in private households minus refusals and not-stated)",32649,99.91,28,0.09,37,11.32,0.0132,2799.69,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years","vu-adm1-geoboundaries|osm-vu-place-of-worship|vnso-1999-census-main-report-t2-10",0.04,47.73,1.21,21.2,14.45
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-MAP","VU-MAP","Malampa",2009,36722,"total people with a stated religious-affiliation response (census total in private households minus refusals and not-stated)",36685,99.9,37,0.1,37,10.08,0.0132,2799.69,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years","vu-adm1-geoboundaries|osm-vu-place-of-worship|vnso-2009-census-basic-tables-t3-5",0.12,42.19,3.16,19.66,15.72
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-MAP","VU-MAP","Malampa",2020,41496,"total people with a stated religious-affiliation response (census total in private households minus refusals and not-stated)",41485,99.97,11,0.03,37,8.92,0.0132,2799.69,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years;province_2020_includes_urban_derived","vu-adm1-geoboundaries|osm-vu-place-of-worship|vbos-2020-census-basic-tables-t3-5|vu-2020-province-incl-urban-derived",0.02,43.91,0.41,19.06,17.14
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-PAM","VU-PAM","Penama",1967,7541,"persons aged 15+ professing adherence to a religious group (McArthur & Yaxley 1967 first-census Table A; no no-religion category, so affiliation and no-religion shares are not defined)",,,,,25,,0.0208,1200.75,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years;religion_aged_15_plus_no_no_religion_category_1967","vu-adm1-geoboundaries|osm-vu-place-of-worship|mcarthur-yaxley-1967-census-table-a",2.85,0.89,43.1,19.1,4.27
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-PAM","VU-PAM","Penama",1999,26623,"total people with a stated religious-affiliation response (census total in private households minus refusals and not-stated)",26584,99.85,39,0.15,25,9.39,0.0208,1200.75,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years","vu-adm1-geoboundaries|osm-vu-place-of-worship|vnso-1999-census-main-report-t2-10",3.23,0.53,45.77,18.33,6.94
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-PAM","VU-PAM","Penama",2009,30797,"total people with a stated religious-affiliation response (census total in private households minus refusals and not-stated)",30630,99.46,167,0.54,25,8.12,0.0208,1200.75,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years","vu-adm1-geoboundaries|osm-vu-place-of-worship|vnso-2009-census-basic-tables-t3-5",2.09,0.53,46.31,18.31,6.89
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-PAM","VU-PAM","Penama",2020,34109,"total people with a stated religious-affiliation response (census total in private households minus refusals and not-stated)",34070,99.89,39,0.11,25,7.33,0.0208,1200.75,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years;province_2020_includes_urban_derived","vu-adm1-geoboundaries|osm-vu-place-of-worship|vbos-2020-census-basic-tables-t3-5|vu-2020-province-incl-urban-derived",2.42,0.58,44.89,21.68,5.95
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-SAM","VU-SAM","Sanma",1967,6963,"persons aged 15+ professing adherence to a religious group (McArthur & Yaxley 1967 first-census Table A; no no-religion category, so affiliation and no-religion shares are not defined)",,,,,34,,0.008,4243.59,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years;religion_aged_15_plus_no_no_religion_category_1967","vu-adm1-geoboundaries|osm-vu-place-of-worship|mcarthur-yaxley-1967-census-table-a",14.88,35.56,8.16,19.86,9.54
"VU","vu-adm1-geoboundaries","province","vu-adm1-geoboundaries:VU-SAM","VU-SAM","Sanma",1999,35222,"total people with a stated religious-affiliation response (census total in private households minus refusals and not-stated)",34817,98.85,405,1.15,34,9.65,0.008,4243.59,"2026-06-13T05:19:31Z","current OSM amenity=place_of_worship snapshot","current_place_counts_repeated_across_census_years","vu-adm1-geoboundaries|osm-vu-place-of-worship|vnso-1999-census-main-report-t2-10",2.89,34.21,9.04,14.64,12.23
