"area_code","area_name","land_area_sq_km","place_count","place_density_per_sq_km"
"77236927B63418931336998","Aneityum",160.5,0,0
"77236927B97444346691075","Aniwa",8.12,10,1.2312
"77236927B64905396997634","Canal - Fanafo",361.17,6,0.0166
"77236927B27410418950848","Central Malekula",372.03,0,0
"77236927B11071622458470","Central Pentecost 1",67.59,0,0
"77236927B86415153324425","Central Pentecost 2",143.13,1,0.007
"77236927B82748520253825","East Ambae",43.95,2,0.0455
"77236927B67571127096265","East Malo",135.35,0,0
"77236927B80852571944001","East Santo",608.77,9,0.0148
"77236927B40148322010729","Emau",7.53,5,0.6643
"77236927B27814537301823","Erakor",108.04,3,0.0278
"77236927B93199120734028","Eratap",73.19,4,0.0547
"77236927B17135940935596","Eton",322.62,1,0.0031
"77236927B67175476765241","Futuna",10.49,0,0
"77236927B45015777626882","Gaua",310.61,0,0
"77236927B32680405740537","Ifira",0.9,0,0
"77236927B85216783558225","Luganville",25,6,0.24
"77236927B14255204108964","Makimae",36.18,0,0
"77236927B16755152791685","Malorua",241.83,3,0.0124
"77236927B59461179812420","Mele",68.87,5,0.0726
"77236927B6151956983543","Merelava",18.56,0,0
"77236927B24909731902413","Middle Bush Tanna",76.58,0,0
"77236927B83033077011178","Mota",9.72,0,0
"77236927B68296465422624","Motalava",35.02,0,0
"77236927B53678457839449","Nguna",31.94,13,0.407
"77236927B69269343415786","North Ambae",100.38,3,0.0299
"77236927B87914906430322","North Ambrym",193.88,2,0.0103
"77236927B6539808470139","North East Malekula",173.2,6,0.0346
"77236927B73770222811595","North Efate",84.91,5,0.0589
"77236927B15473640252363","North Erromango",545.42,6,0.011
"77236927B797015037992","North Maewo",134.59,4,0.0297
"77236927B73444068942664","North Pentecost",90.79,0,0
"77236927B16584952276885","North Santo",1028.07,0,0
"77236927B7031422019545","North Tanna",98.94,1,0.0101
"77236927B34158198253981","North Tongoa",28.66,4,0.1396
"77236927B23242879306276","North West Malekula",341.87,1,0.0029
"77236927B11778048532769","North West Santo",459.43,0,0
"77236927B20475273490027","Paama",62.42,20,0.3204
"77236927B36499931511312","Pango",5.92,5,0.8451
"77236927B39670792397739","Port Vila",23.64,36,1.5227
"77236927B86395134968187","South Ambae",134.87,1,0.0074
"77236927B97442931027551","South East Ambrym",209.2,2,0.0096
"77236927B5490091431503","South East Malekula",277.83,0,0
"77236927B70121045858985","South East Santo",257.82,7,0.0272
"77236927B82266009819224","South Epi",105.43,0,0
"77236927B89058038610930","South Erromango",349.37,0,0
"77236927B86135291775280","South Maewo",171.47,1,0.0058
"77236927B78933945874407","South Malekula",232.65,1,0.0043
"77236927B26807877785061","South Pentecost",189.41,0,0
"77236927B84597259035429","South Santo",424.36,2,0.0047
"77236927B47218530990891","South Tanna",25.37,1,0.0394
"77236927B2761964185252","South West Malekula",670.65,3,0.0045
"77236927B40431360126678","South West Tanna",136.62,0,0
"77236927B69606331838756","Tongariki",18.88,1,0.053
"77236927B65524271778963","Ureparapara",41.66,0,0
"77236927B4251587034950","Vanua Lava",340.84,1,0.0029
"77236927B71259350499613","Varisu",106.44,3,0.0282
"77236927B83961897513760","Vermali",59.87,3,0.0501
"77236927B21234024058134","Vermaul",176.27,0,0
"77236927B38715927177991","West Ambae",126.01,13,0.1032
"77236927B87876939805141","West Ambrym",276.31,2,0.0072
"77236927B10986826820410","West Malo",47.89,3,0.0626
"77236927B51416444743643","West Santo",888.32,2,0.0023
"77236927B19394632379581","West Tanna",98.02,4,0.0408
"77236927B67758893467366","Whitesands",125.08,3,0.024
