filename,retrieval_url,canonical_url,retrieval_date,publisher,licence_terms_as_stated,sha256,religion_content
vu_2020_census_basic_tables_vol1.pdf,https://www.spc.int/digitallibrary/get/2dwwa,https://vbos.gov.vu/images/Public_Documents/Census_Surveys/Census/2020/Basic_Tables/2020NPHC_Volume_1_-_Version_2.pdf (vbos.gov.vu unreachable at retrieval; SPC landing page https://sdd.spc.int/digital_library/vanuatu-2020-national-population-and-housing-census-basic-tables-report-volume-1),2026-07-03,Vanuatu Bureau of Statistics (VBoS; formerly VNSO) November 2020; distributed by Pacific Community (SPC) Statistics for Development Division,No licence stated in document; Pacific Data Hub record states 'License not specified'; SPC library disclaimer: 'This is not an SPC publication ... contact the relevant author/owner for specific copyright information',3a37789d93ae63045c634c92cb2e8f17a64bae7abe130e27c117747173697e37,"Tables 3.5-3.8: religion x region (province, area council, urban), total/male/female, and religion x age x sex; pdf pages 62-65 used"
vu_2020_census_basic_tables_vol1_v2_vbos.pdf,https://web.archive.org/web/2025id_/https://vbos.gov.vu/images/Public_Documents/Census_Surveys/Census/2020/Basic_Tables/2020NPHC_Volume_1_-_Version_2.pdf,https://vbos.gov.vu/images/Public_Documents/Census_Surveys/Census/2020/Basic_Tables/2020NPHC_Volume_1_-_Version_2.pdf,2026-07-04,Vanuatu Bureau of Statistics (VBoS),Same as above (no licence stated),eb902b2ff843986953b5dcf97f0eea2f5696eb8ca49cb289abda080b2932d20b,Version 2 of Basic Tables vol 1; Table 3.5 content byte-for-byte identical numbers to SPC copy (only printed pagination shifts 51-54 to 52-55); retrieved via Wayback Machine snapshot 2025-09-15
vu_2020_census_analytical_report_vol2.pdf,https://fca.vu/wp-content/uploads/2024/01/2020_Vanuatu_National_Population_and_Housing_Census_-_Analytical_report_Volume_2.pdf,https://vnso.gov.vu/sites/default/files/2020_Vanuatu_National_Population_and_Housing_Census_-_Analytical_report_Volume_2.pdf (vnso.gov.vu unreachable at retrieval),2026-07-03,Pacific Community (SPC) and Vanuatu Bureau of Statistics (VBoS) 2022; author Ralph Hakkert,"(c) Pacific Community (SPC) and the Vanuatu Bureau of Statistics (VBoS) 2022. All rights for commercial/for profit reproduction or translation reserved. SPC and VBoS authorise the partial reproduction or translation of this material for scientific, educational or research purposes, provided that SPC and VBoS, and the source document are properly acknowledged. Whole reproduction/translation requires written permission",67ea2862d87394115400dcfd4d41765f79267bd266c57430c2ee03dded1952f9,"Section 4.2; Table 30 national religion counts 1989/1999/2009/2020; Table 31 religion pct x province 2020; pdf pages 66-67 (printed 49-50)"
vu_2009_census_basic_tables_vol1.pdf,https://www.spc.int/digitallibrary/get/aazaf,https://sdd.spc.int/digital_library/vanuatu-2009-national-population-and-housing-census-basic-tables-report-volume-1 (VBoS mirror: https://vbos.gov.vu/images/Public_Documents/Census_Surveys/Census/2009/2009 Census Basic Tables Report - Vol1.pdf),2026-07-04,Vanuatu National Statistics Office (VNSO) 2010,No licence stated in document; SPC library disclaimer as above,9f3536b74c3781243772f5a395a455cee0d11ea48661f339863f14869f27be86,"Tables 3.5-3.8: religion x province/urban-rural (3.5 total, 3.6 male, 3.7 female) with island sub-rows; pdf pages 34-35 used"
vu_2009_census_analytical_report_vol2.pdf,https://www.spc.int/digitallibrary/get/iah38,https://sdd.spc.int/digital_library/vanuatu-2009-national-population-and-housing-census-analytical-report-volume-2 (also https://moet.gov.vu/docs/vnso/National Population and Housing Census Analytical Report - Vol 2_2009.pdf; moet.gov.vu unreachable at retrieval),2026-07-04,Vanuatu National Statistics Office (VNSO) 2011,No licence stated in text layer; SPC library disclaimer as above,ec80d576b629abfbd766d41070c3922e2fd73d92eed7386b85bc9d78e393e76a,Section 4.2; Table 33 national religion counts 1989/1999/2009 (matches Table 30 of 2020 report); Figure 67 province chart only - no province religion count table
vu_1999_census_demographic_analysis_report.pdf,https://www.spc.int/digitallibrary/get/tqpra,https://sdd.spc.int/digital_library/vanuatu-1999-census-demographic-analysis-report (persistent: https://purl.org/spc/digilib/doc/tqpra; same file also at https://microdata.pacificdata.org/index.php/catalog/374/download/2634 - byte-identical),2026-07-04,Vanuatu Statistics Office; author Nancy Wells October 2001,No licence stated; SPC library disclaimer as above,f76822c9d4cac11a48862e46334bfcd0fc49b317564436693d5117f5ed385b2a,NO religion content (0 mentions); fertility/mortality/migration analysis only
vu_1989_census_demographic_migration_analysis.pdf,https://www.spc.int/digitallibrary/get/25wd8,https://sdd.spc.int/digital_library/vanuatu-1989-census-demographic-migration-analysis (persistent: https://purl.org/spc/digilib/doc/25wd8),2026-07-04,Vanuatu Statistics Office / SPC,No licence stated; SPC library disclaimer as above,3a90a12d12949fb4c1d5cdd7b4ff41341e06b4ab595515cd4a9fdb56a78d69c2,NO religion content (0 mentions); demographic and migration analysis only
unsd_vanuatu_census_note.pdf,https://unstats.un.org/unsd/demographic-social/census/documents/vanuatu/vanuatucensus.pdf,https://unstats.un.org/unsd/demographic-social/census/documents/vanuatu/vanuatucensus.pdf,2026-07-04,United Nations Statistics Division,UN website terms,329ac55cf4df57cde6c3238a9dba317dcf0c1e83b503520608d16c71e7f67ced,Scanned image PDF; no extractable text layer; not used for extraction
vu_1999_census_main_report_tables_scan.pdf (data/raw/vu_census_guy/Census 1999 tables.pdf),"received by email from Guy Lavender Forsyth (research collaborator), downloaded by JB 2026-07-06","print volume: VNSO (2000), The 1999 Vanuatu National Population and Housing Census, Main Report, Port Vila (NLA catalogue 1663689)",2026-07-06,Vanuatu National Statistics Office; scan by Guy Lavender Forsyth,"no explicit licence; government census publication, attributed research use",9cde4182403caf313bfb11669dbb83f0bee81b4bdc0345ccd87fbb016579844f,"Table 2.10 population by religion and island of residence (pp. 94-95 of report; p. 30 of scan): 14 categories, national + 6 provinces + islands"
vu_port_vila_churches_2010.csv,(derived; not retrieved) transcribed 2026-08-22 by Claude from Eriksen & Andrew (2010) PDF supplied by Guy Lavender Forsyth 2026-08-09; generator scripts/build_vu_port_vila_survey_2010.py,"Eriksen, Annelin and Rose Andrew (2010). Churches in Port Vila. Bergen Pacific Studies Group / University of Bergen, under research agreement with the Vanuatu Cultural Centre; PDF held off-Git at pow-research data/raw/vu_churches_port_vila_2010/",2026-08-22,University of Bergen (Bergen Pacific Studies Group) with the Vanuatu Cultural Centre,"No licence stated in the PDF; publication terms requested from Guy 2026-08-22; table records facts (names, localities, dates) only, omits pastors' names, and does not reproduce the report",1b8687fb3c38108103232aef92ad96a8f05ab21105b50ed08a4798d47859fc89,"93 worship sites in Port Vila and surrounds attested 2006-2010: name, denomination, locality (OSM centroid), founding year where given, survey page locator; batch-import format"
