name,country_code,religion,denomination_code,taxonomy_version,lat,lng,locality,containing_area,geocoding_basis,location_confidence,source_locator,source_url,first_date,last_date,date_confidence,culturally_sensitive,notes
Catholic Cathedral Sacré-Cœur,VU,Catholic,christian.catholic,2026-06-12.1,-17.7415,168.3150,Town centre,Port Vila,described_locality,low,Part Two p.6 (Towncenter); Part One no. 7,,,2010,,,"Cathedral; parish also covers Centenary church, Tebakor. Point is the OSM locality centroid; verify on visit."
"Presbyterian Church, town centre",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7415,168.3150,Town centre,Port Vila,described_locality,low,Part Two p.7 (Towncenter); Part One no. 35,,,2010,,,Listed by location only (established church). Point is the OSM locality centroid; verify on visit.
"Praise and Worship Ministries, Port Vila branch",VU,Pentecostal (Praise and Worship / World Breakthrough network),christian.pentecostal,2026-06-12.1,-17.7381,168.3149,"Club Vanuatu, town centre",Port Vila,map_georeference,medium,Part Two p.7 (Towncenter); Part One no. 34,,,2010-03,,,Held services at Club Vanuatu; seeking a new venue after renovations. Branch of Mele Praise and Worship; about 14 households. Shared venue: verify current location. Point is the OSM feature; verify on visit.
"Presbyterian Church, Malasitapu",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7230,168.3195,Freswota,Port Vila,map_georeference,high,Part Two p.8 (Freswota); Part One no. 35,,2009-08-21,2010,medium,,Dedication plate dated 21 August 2009 (building dedication; first_date is the dedication). OSM amenity=place_of_worship 'Malasitapu' Point is the OSM feature; verify on visit.
"Seventh-day Adventist Church, Epacho",VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7215,168.3205,Freswota 1,Port Vila,described_locality,low,Part Two p.8 (Freswota); Part One no. 39,,,2010,,,Possible OSM match 'Epauto SDA church' in the Vila extract; verify. Point is the OSM locality centroid; verify on visit.
"Seventh-day Adventist Church, Mautoa",VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7191,168.3195,Freswota 5,Port Vila,described_locality,low,Part Two p.8 (Freswota); Part One no. 39,,,2010,,,Point is the OSM locality centroid; verify on visit.
Living Wota (Living Water Ministry),VU,Pentecostal,christian.pentecostal,2026-06-12.1,-17.7191,168.3195,Freswota 5,Port Vila,described_locality,low,Part Two p.8 (Freswota); Part One no. 28,,2002,2006-07,medium,,Main church Freswota 5. Breakaway from Renewal church 2002. Interview July 2006. Point is the OSM locality centroid; verify on visit.
Survival (Healing Ministry),VU,Pentecostal (healing ministry),christian.pentecostal,2026-06-12.1,-17.7191,168.3195,Freswota 5,Port Vila,described_locality,low,Part Two p.9 (Freswota); Part One no. 41,,1996,2010-01,medium,,"Breakaway from Revival/New Covenant 1996; primary school built 2007 in Freswota 5. Branches Nguna, Tanna, Malekula. Point is the OSM locality centroid; verify on visit."
Life Revelation Church,VU,Pentecostal,christian.pentecostal,2026-06-12.1,-17.7191,168.3195,Freswota 5,Port Vila,described_locality,low,Part Two p.9 (Freswota); Part One no. 26,,2007,2010-01,medium,,Breakaway from Survival 2007; church under construction at visit; about 60 members. Point is the OSM locality centroid; verify on visit.
Father's House (Triumphant Church),VU,Pentecostal,christian.pentecostal,2026-06-12.1,-17.7191,168.3195,Freswota 5,Port Vila,described_locality,low,Part Two p.10 (Freswota); Part One no. 18,,2002,2006-07,medium,,Triumphant church created 2002 from the former CMC Salem branch; renamed Father's House 2008; under 100 members. Point is the OSM locality centroid; verify on visit.
Equipper's House (Father's House branch),VU,Pentecostal,christian.pentecostal,2026-06-12.1,-17.7744,168.3161,Erakor,Erakor,described_locality,low,Part Two p.10 (Freswota); Part One no. 18,,,2006-07,,,Independent branch of Father's House at Erakor; about 20 members. Point is the OSM locality centroid; verify on visit.
"Anglican sub-centre, Freswota 4",VU,Anglican,christian.anglican,2026-06-12.1,-17.7215,168.3205,Freswota 4,Port Vila,described_locality,low,Part Two p.11 (Freswota); Part One no. 1,,,2010,,,Point is the OSM locality centroid; verify on visit.
Apostolic Faith Ministry,VU,Apostolic,,,-17.7207,168.3214,Freswota School,Port Vila,map_georeference,medium,Part Two p.11 (Freswota); Part One no. 3,,,2010,,,Main church in Port Vila at Freswota School (shared venue). No interview obtained. Point is the OSM feature; verify on visit.
"NTM (Neil Thomas Ministries), Freswota 5",VU,Neil Thomas Ministries,,,-17.7191,168.3195,Freswota 5,Port Vila,described_locality,low,Part Two p.11 (Freswota); Part One no. 30,,,2010,,,One of about 15 NTM centres in Port Vila and surrounds; headquarters at Agathis. Point is the OSM locality centroid; verify on visit.
Devine Healing Ministry,VU,Pentecostal (healing ministry),christian.pentecostal,2026-06-12.1,-17.7215,168.3205,Freswota 2,Port Vila,described_locality,low,Part Two p.11 (Freswota); Part One no. 16,,2009,2010-02,medium,,Founded 2009; at least 200 members early 2010. Point is the OSM locality centroid; verify on visit.
Today's Youth Ministry,VU,Inter-church youth programme,,,,,,Port Vila,regional_only,low,Part Two p.12 (Freswota); Part One no. 42,,1996,2009-01,medium,,"Inter-church youth programme started 1996 on Ambae, headquartered in Port Vila; no worship site given. Candidate for exclusion or para-church classification."
Living Word House,VU,Pentecostal,christian.pentecostal,2026-06-12.1,-17.7215,168.3205,Freswota 3,Port Vila,described_locality,low,Part Two p.12 (Freswota); Part One no. 27,,2000,2009-01,medium,,Founded 2000; about 50 members. Point is the OSM locality centroid; verify on visit.
"Church of Christ, Freswota centre",VU,Church of Christ,christian.church_of_christ,2026-06-12.1,-17.7215,168.3205,Freswota 2,Port Vila,described_locality,low,Part Two p.12 (Freswota); Part One no. 12,,,2010,,,Point is the OSM locality centroid; verify on visit.
Pentecostal Evangelical Fellowship (AOG breakaway),VU,Pentecostal (Assemblies of God breakaway),christian.pentecostal,2026-06-12.1,-17.7191,168.3195,Freswota 5,Port Vila,described_locality,low,Part Two p.13 (Freswota); Part One no. 32,,2004-10,2010-01,medium,,"Founded October 2004; first met in Fresh Water Primary School hall; own building in Freswota 5 in use from 2006, still under construction 2009; about 75 members. Point is the OSM locality centroid; verify on visit."
Presbyterian Reformed Church,VU,Presbyterian Reformed (Presbyterian Reformed Church of Australia and New Zealand outreach),christian.reformed,2026-06-12.1,-17.7191,168.3195,Freswota 5,Port Vila,described_locality,low,Part Two p.13 (Freswota); Part One no. 36,,2010,2010-01,medium,,Just starting at the time of the visit; 10-15 members. Point is the OSM locality centroid; verify on visit.
"United Pentecostal Church International, Freswota",VU,United Pentecostal Church International,christian.pentecostal,2026-06-12.1,-17.7215,168.3205,Freswota,Port Vila,described_locality,low,Part Two p.14 (Freswota); Part One no. 43,,,2010-01,,,About 200 members. UPCI arrived Vanuatu 1983 (first branch Pango). Point is the OSM locality centroid; verify on visit.
"Four Square Church, Port Vila",VU,Foursquare (Pentecostal),christian.pentecostal,2026-06-12.1,-17.7218,168.3132,Ananboru,Port Vila,described_locality,low,Part Two p.14 (Ananboru); Part One no. 20,,2001,2006-07,medium,,"Arrived Vanuatu 2001; initially rented Anabouru (French) school, then the VNCW guesthouse; planning own building. Shared venue: verify current location. Point is the OSM locality centroid; verify on visit."
"United Pentecostal Church International, Ananboru",VU,United Pentecostal Church International,christian.pentecostal,2026-06-12.1,-17.7218,168.3132,Ananboru,Port Vila,described_locality,low,Part Two p.14 (Ananboru); Part One no. 43,,,2010-01,,,New church building under construction in 2010; about 1000 members. Point is the OSM locality centroid; verify on visit.
"Church of Christ, Sarabulu",VU,Church of Christ,christian.church_of_christ,2026-06-12.1,-17.7218,168.3132,Ananboru,Port Vila,described_locality,low,Part Two p.15 (Ananboru); Part One no. 12,,1990,2010-01,medium,,Broke out of the Sarembeto congregation 1990; about 100 members. Point is the OSM locality centroid; verify on visit.
"Church of Christ, Sarembeto",VU,Church of Christ,christian.church_of_christ,2026-06-12.1,-17.7447,168.3210,"Seaside, near Independence Park",Port Vila,described_locality,low,Part Two p.15 (Seaside); Part One no. 12,,,2010-01,,,First Church of Christ in Port Vila; about 200 members. Point is the OSM locality centroid; verify on visit.
Vanuatu Revival Fellowship,VU,"Pentecostal (Revival Fellowship, Australia)",christian.pentecostal,2026-06-12.1,-17.7447,168.3210,Seaside Paama,Port Vila,described_locality,low,Part Two p.15 (Seaside); Part One no. 47,,,2010-02,,,"Main church Seaside Paama; branches Santo, Tanna, Malekula. Point is the OSM locality centroid; verify on visit."
"Anglican sub-centre, Seaside",VU,Anglican,christian.anglican,2026-06-12.1,-17.7447,168.3210,Seaside,Port Vila,described_locality,low,Part Two p.16 (Seaside); Part One no. 1,,,2010,,,Point is the OSM locality centroid; verify on visit.
"Presbyterian Church, Paama Seaside",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7447,168.3210,Seaside Paama,Port Vila,described_locality,low,Part Two p.16 (Seaside); Part One no. 35,,,2010,,,Point is the OSM locality centroid; verify on visit.
"Presbyterian Church, Tongoa Seaside",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7447,168.3210,Seaside Tongoa,Port Vila,described_locality,low,Part Two p.16 (Seaside); Part One no. 35,,,2010,,,Point is the OSM locality centroid; verify on visit.
"Presbyterian Church, Futuna Seaside",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7447,168.3210,Seaside Futuna,Port Vila,described_locality,low,Part Two p.16 (Seaside); Part One no. 35,,,2010,,,Point is the OSM locality centroid; verify on visit.
Potter's House,VU,Pentecostal (Christian Fellowship Ministries),christian.pentecostal,2026-06-12.1,-17.7499,168.3160,Nambatu,Port Vila,described_locality,low,Part Two p.16 (Nambatu); Part One no. 33,,2002,2006-07,medium,,Established 2002; first met at Rossi Hotel then Club Vanuatu before settling in Nambatu; more than 300 members. Point is the OSM locality centroid; verify on visit.
Upper Room,VU,Pentecostal (World Breakthrough network),christian.pentecostal,2026-06-12.1,-17.7499,168.3160,Nambatu,Port Vila,described_locality,low,Part Two p.16 (Nambatu); Part One no. 44,,2000-07,2006-07,medium,,Founded July 2000; main congregation meets weekly in Tampea Hall (shared venue). Point is the OSM locality centroid; verify on visit.
We Care Ministry (AOG branch),VU,Assemblies of God,christian.pentecostal,2026-06-12.1,-17.7499,168.3160,Nambatu,Port Vila,described_locality,low,Part Two p.17 (Nambatu); Part One no. 5,,,2010,,,Branch of AOG Evangel Temple. Point is the OSM locality centroid; verify on visit.
"Church of Jesus Christ of Latter-day Saints, Port Vila First Branch",VU,Latter-day Saints,christian.latter_day_saints,2026-06-12.1,,,,Port Vila,regional_only,low,Part Two p.17 (Nambatu); Part One no. 13,,,2010-01,,,"Port Vila District about 2000 members across six branches; missionaries arrived 1973, deported 1980, readmitted 1989."
"Church of Jesus Christ of Latter-day Saints, Port Vila Second Branch",VU,Latter-day Saints,christian.latter_day_saints,2026-06-12.1,,,,Port Vila,regional_only,low,Part Two p.17 (Nambatu); Part One no. 13,,,2010-01,,,See First Branch.
"Church of Jesus Christ of Latter-day Saints, Blacksands Branch",VU,Latter-day Saints,christian.latter_day_saints,2026-06-12.1,-17.7115,168.2968,Blacksands,Port Vila,described_locality,low,Part Two p.17 (Nambatu); Part One no. 13,,,2010-01,,,Point is the OSM locality centroid; verify on visit.
"Church of Jesus Christ of Latter-day Saints, Erakor Branch",VU,Latter-day Saints,christian.latter_day_saints,2026-06-12.1,-17.7744,168.3161,Erakor,Erakor,described_locality,low,Part Two p.17 (Nambatu); Part One no. 13,,,2010-01,,,Point is the OSM locality centroid; verify on visit.
"Church of Jesus Christ of Latter-day Saints, Mele Branch",VU,Latter-day Saints,christian.latter_day_saints,2026-06-12.1,-17.6880,168.2707,Mele,Mele,described_locality,low,Part Two p.17 (Nambatu); Part One no. 13,,,2010-01,,,Point is the OSM locality centroid; verify on visit.
"Church of Jesus Christ of Latter-day Saints, Etas Branch",VU,Latter-day Saints,christian.latter_day_saints,2026-06-12.1,-17.7488,168.3831,Etas,"Efate (Eratap area), Shefa",described_locality,low,Part Two p.17 (Nambatu); Part One no. 13,,,2010-01,,,'Branch long Etas'. Point is the OSM locality centroid; verify on visit.
"Seventh-day Adventist Church, Portoriki",VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7499,168.3160,Nambatu,Port Vila,described_locality,low,Part Two p.17 (Nambatu); Part One no. 39,,,2010,,,Signposted 'Welcome to Portoroki'. Point is the OSM locality centroid; verify on visit.
"Catholic Church, Paray",VU,Catholic,christian.catholic,2026-06-12.1,-17.7535,168.3161,Nambatu,Port Vila,map_georeference,high,Part Two p.18 (Nambatu); Part One no. 7,,,2010,,,OSM 'Eglise du Coeur Immaculé de Marie de Paray' Point is the OSM feature; verify on visit.
"Himford, Holy Church blong ol Nation",VU,Christian (independent),,,-17.7499,168.3160,Nambatu,Port Vila,described_locality,low,Part Two p.18 (Nambatu); Part One no. 25,,,2010,,,"Signage 'Holi Jos b/g ol Nasen', 'Revival 2008'. No interview text. Point is the OSM locality centroid; verify on visit."
"Presbyterian Church, Nangirei",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7575,168.3139,Nambatri,Port Vila,described_locality,low,Part Two p.18 (Nambatri); Part One no. 35,,,2010,,,Point is the OSM locality centroid; verify on visit.
Glorious Church,VU,Pentecostal (healing and miracle church),christian.pentecostal,2026-06-12.1,-17.7129,168.3172,Ohlen Freswind,Port Vila,described_locality,low,Part Two p.19 (Ohlen); Part One no. 22,,2000,2006-07,medium,,Breakaway from Survival 2000; 300-400 members including island branches. Point is the OSM locality centroid; verify on visit.
"Seventh-day Adventist Church, Freswind",VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7129,168.3172,Ohlen Freswind,Port Vila,described_locality,low,Part Two p.19 (Ohlen); Part One no. 39,,,2010,,,Point is the OSM locality centroid; verify on visit.
Cornerstone Christian Center,VU,Pentecostal (Christian Revival Crusade affiliated),christian.pentecostal,2026-06-12.1,-17.7129,168.3172,Ohlen Freswind,Port Vila,described_locality,low,Part Two p.19 (Ohlen); Part One no. 15,,1997,2006-07,medium,,"Founded 1997 (as Christian Cornerstone Center); branches Santo, Malekula. Point is the OSM locality centroid; verify on visit."
New Covenant Church (Revival),VU,Christian (indigenous revival church),,,-17.7160,168.3172,Ohlen,Port Vila,described_locality,low,Part Two p.20 (Ohlen); Part One no. 31,,1978,2006-07,medium,,"Born of the late-1970s revival; vision dated 29 September 1978 (first_date is the vision year, not a building date). Parent of Survival, Bible Church, Tabernacle Fellowship. Point is the OSM locality centroid; verify on visit."
"Presbyterian Church, Ohlen Whitewood",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7163,168.3186,Ohlen Whitewood,Port Vila,described_locality,low,Part Two p.20 (Ohlen); Part One no. 35,,,2010,,,Listed as 'Ohlen Whitewood and Pakaroa' under one pastor; recorded as two sites. Point is the OSM locality centroid; verify on visit.
"Presbyterian Church, Pakaroa",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7163,168.3186,Ohlen Whitewood,Port Vila,described_locality,medium,Part Two p.20 (Ohlen); Part One no. 35,,,2010,,,OSM 'Pakaroa Presbyterian Church' is in the Vila extract; confirm point on visit Point is the OSM locality centroid; verify on visit.
Tabernacle Fellowship,VU,Pentecostal,christian.pentecostal,2026-06-12.1,-17.7160,168.3172,Ohlen,Port Vila,described_locality,low,Part Two p.20 (Ohlen); Part One no. 38,,2003,2010,medium,,Breakaway from New Covenant 2003; members mainly from Shefa. Point is the OSM locality centroid; verify on visit.
Christian Outreach Center,VU,Christian Outreach Centre (Australia-linked),,,-17.7129,168.3172,Ohlen Freswind,Port Vila,described_locality,low,Part Two p.20 (Ohlen); Part One no. 11,,,2010,,,Linked to Christian Outreach Centre web page (p.36). Point is the OSM locality centroid; verify on visit.
Grace Church of God,VU,Pentecostal (charismatic revival),christian.pentecostal,2026-06-12.1,-17.7160,168.3172,Ohlen,Port Vila,described_locality,low,Part Two p.21 (Ohlen); Part One no. 23,,2002,2010-02-16,medium,,Founded 2002; 30-50 committed members; pastor still identifies with the Presbyterian Church. Point is the OSM locality centroid; verify on visit.
"United Pentecostal Church International, Ohlen Freswind",VU,United Pentecostal Church International,christian.pentecostal,2026-06-12.1,-17.7129,168.3172,Ohlen Freswind,Port Vila,described_locality,low,Part Two p.21 (Ohlen); Part One no. 43,,,2010-01,,,About 100 members. Point is the OSM locality centroid; verify on visit.
"Apostolic Church, Ohlen",VU,Apostolic,,,-17.7160,168.3172,Ohlen,Port Vila,described_locality,low,Part Two p.21-22 (Ohlen); Part One no. 2,,,2010-02,,,Main Apostolic church in Port Vila; signposted 'Apostolic Church Ohlen'. Church founded on Ambae 1949. Point is the OSM locality centroid; verify on visit.
"Catholic Church, Centenary",VU,Catholic,christian.catholic,2026-06-12.1,-17.7177,168.3107,Tebakor,Port Vila,described_locality,low,Part Two p.22 (Tebakor); Part One no. 7,,,2010,,,Under Sacré-Cœur parish. Point is the OSM locality centroid; verify on visit.
Apostolic Life Ministry,VU,Apostolic Life Ministry (Apostolic breakaway),,,-17.7260,168.3030,Malapoa,Port Vila,described_locality,low,Part Two p.22 (Tebakor); Part One no. 4,,1993,2010-03,medium,,Founded 1993 after split from the Apostolic Church; main church built in Malapoa on land bought from Ifira; runs a TV and radio broadcasting centre. Survey lists location as Tebakor/Malapoa. Point is the OSM locality centroid; verify on visit.
"Assembly of God, Evangel Temple",VU,Assemblies of God,christian.pentecostal,2026-06-12.1,-17.7177,168.3107,Tebakor,Port Vila,described_locality,low,Part Two p.23 (Tebakor); Part One no. 5,,1968,2010,medium,,"AOG Vanuatu started by a US missionary 1968 (first_date is the AOG's arrival, not necessarily this building). Point is the OSM locality centroid; verify on visit."
