name,country_code,religion,denomination_code,taxonomy_version,lat,lng,locality,location_as_given,containing_area,geocoding_basis,location_confidence,matched_osm_id,source_locator,source_url,first_date,last_date,date_confidence,culturally_sensitive,notes
Apostolic Christian Tabernacle,VU,Apostolic,,2026-06-12.1,-17.7215,168.3205,Freswota 3,Freshwota 3,Port Vila,described_locality,low,,council list entry 1,,,2026-09,attested_operating,,
All Nations United Pentecostal Church,VU,United Pentecostal Church,christian.pentecostal,2026-06-12.1,-17.7267,168.3125,,Opposite Lycée Antoine de Bouganville,Port Vila,osm_name_match,medium,node/5349063832,council list entry 2,,,2026-09,attested_operating,,"Location phrase names the Lycée Antoine de Bougainville (not in OSM). Point is OSM 'United Pentecostal Church' near Anabrou; the name match is partial, confirm."
Bethel Tabernacle,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7499,168.3160,Nambatu,Nambatu,Port Vila,described_locality,low,,council list entry 3,,,2026-09,attested_operating,,
Faith Tabernacle,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7765,168.2907,Pango,Pango Village (SE Efate),Efate,described_locality,low,,council list entry 4,,,2026-09,attested_operating,,
Pentecostal Church of Ohlen (Fresh Wind),VU,Pentecostal,christian.pentecostal,2026-06-12.1,-17.7129,168.3172,Ohlen Freswind,Ohlen,Port Vila,described_locality,low,,council list entry 5,,,2026-09,attested_operating,,
Seaside Anglican Church,VU,Anglican,christian.anglican,2026-06-12.1,-17.7447,168.3210,Seaside,"Seaside, Port Vila",Port Vila,described_locality,low,,council list entry 6,,,2026-09,attested_operating,,
Erakor Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7744,168.3161,Erakor,Erakor Village,Efate,described_locality,low,,council list entry 7,,,2026-09,attested_operating,,
Malasitabu Presbyterian Youth,VU,Presbyterian (youth),christian.presbyterian,2026-06-12.1,-17.7230,168.3195,,Port Vila,Port Vila,osm_name_match,medium,node/5349175323,council list entry 8,,,2026-09,attested_operating,,"Council gives 'Port Vila' only. Point is OSM 'Malasitapu' in Freswota; the survey batch has a Freswota site at the same point. Confirm this is a worship site, not only a youth programme."
Evangel Temple Church,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7177,168.3107,Tebakor,"Tebakor, Port Vila",Port Vila,described_locality,low,,council list entry 9,,,2026-09,attested_operating,,
Pasifika Harvest Centre (CMFI),VU,Christian Mission Fellowship International,christian.pentecostal,2026-06-12.1,-17.7192,168.3181,Simbolo,"Simbolo Area, Port Vila",Port Vila,described_locality,low,,council list entry 10,,,2026-09,attested_operating,,"See entry 53, also CMFI at Simbolo; possibly the same congregation."
