island,presbyterian,anglican,catholic,seventh_day_adventist,french_protestant,church_of_christ,apostolic,customary_beliefs,other,total_aged_15_plus
Hiu,0,1000,0,0,0,0,0,0,0,26
Tegua,0,1000,0,0,0,0,0,0,0,9
Lo,0,1000,0,0,0,0,0,0,0,25
Toga,0,1000,0,0,0,0,0,0,0,46
Ureparapara,0,1000,0,0,0,0,0,0,0,78
Mota Lava,0,1000,0,0,0,0,0,0,0,415
Vanua Lava,0,985,5,8,0,0,0,0,2,411
Pakea,31,969,0,0,0,0,0,0,0,32
Mota,0,1000,0,0,0,0,0,0,0,127
Gaua,0,1000,0,0,0,0,0,0,0,245
Merig,0,1000,0,0,0,0,0,0,0,31
Mere Lava,2,998,0,0,0,0,0,0,0,465
Santo,325,91,236,46,31,15,7,186,63,5308
Pilot,1000,0,0,0,0,0,0,0,0,23
Mafia,0,0,0,440,0,560,0,0,0,25
Ais,392,0,122,445,0,0,0,41,0,74
Tutuba,578,0,0,0,0,422,0,0,0,83
Aoro,43,196,146,560,20,0,0,0,35,397
Malo,513,1,70,192,2,160,3,51,8,800
Malokilikili,0,0,556,0,0,0,0,444,0,9
Urelapa,0,1000,0,0,0,0,0,0,0,6
Tangoa,965,0,10,0,0,10,0,5,10,200
Araki,789,0,0,0,0,211,0,0,0,38
Aoba,12,423,51,86,1,313,109,3,2,3281
Maewo,9,680,0,0,0,308,3,0,0,655
Pentecost,6,393,353,11,1,162,0,57,17,3605
Malekula,565,10,209,76,54,1,0,78,7,4293
Vao,0,0,730,0,0,0,0,153,117,393
Atchin,0,0,269,467,247,0,0,14,3,349
Wala,98,0,594,0,308,0,0,0,0,133
Rano,673,0,318,0,0,0,0,9,0,113
Norsup,929,0,71,0,0,0,0,0,0,28
Uripiv,992,8,0,0,0,0,0,0,0,124
Uri,1000,0,0,0,0,0,0,0,0,19
Sakau,833,0,167,0,0,0,0,0,0,6
Kolivu,1000,0,0,0,0,0,0,0,0,234
Avock,1000,0,0,0,0,0,0,0,0,42
Ahamb,1000,0,0,0,0,0,0,0,0,93
Toman,911,0,0,0,0,0,0,89,0,79
Ambrym,558,1,210,150,18,0,0,62,1,2208
Paama,907,0,2,90,1,0,0,0,0,910
Lopevi,1000,0,0,0,0,0,0,0,0,22
Lamen,1000,0,0,0,0,0,0,0,0,164
Epi,874,0,32,84,2,0,2,0,6,957
Tongoa,928,1,3,63,3,0,0,0,2,1106
Tongariki,1000,0,0,0,0,0,0,0,0,195
Buninga,583,0,0,417,0,0,0,0,0,72
Emae,982,0,11,0,7,0,0,0,0,273
Makura,1000,0,0,0,0,0,0,0,0,74
Mataso,1000,0,0,0,0,0,0,0,0,64
Efate,584,51,271,10,6,4,1,14,59,5728
Nguna,998,2,0,0,0,0,0,0,0,403
Pele,990,10,0,0,0,0,0,0,0,99
Emau,1000,0,0,0,0,0,0,0,0,321
Moso,1000,0,0,0,0,0,0,0,0,58
Leleppa,1000,0,0,0,0,0,0,0,0,116
Iririki,882,63,8,16,0,0,0,16,15,127
Fila,928,0,0,0,0,0,0,0,72,207
Erromango,966,3,11,3,3,0,0,11,3,355
Tanna,148,2,30,28,0,0,1,788,3,5215
Aniwa,383,0,0,0,0,0,0,617,0,115
Futuna,986,0,7,0,0,0,0,7,0,145
Aneityum,799,20,134,40,0,0,0,7,0,149
Ships,424,171,134,88,0,99,0,4,80,262
New Hebrides,398,147,156,56,15,51,10,146,21,41665
