geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
VANUATU,nation,,1999,Anglican,anglican,25084
VANUATU,nation,,1999,Presbyterian,presbyterian,58540
VANUATU,nation,,1999,Catholic,catholic,24515
VANUATU,nation,,1999,Seventh Day Adventists (SDA),seventh_day_adventist,20068
VANUATU,nation,,1999,Church of Christ,church_of_christ,8047
VANUATU,nation,,1999,Assemblies of God,assemblies_of_god,8040
VANUATU,nation,,1999,Neil Thomas Ministry (NTM),neil_thomas_ministry,6406
VANUATU,nation,,1999,Apostolic,apostolic,3377
VANUATU,nation,,1999,Custom,customary_beliefs,10365
VANUATU,nation,,1999,Other,other,17943
VANUATU,nation,,1999,No Religion,no_religion,1919
VANUATU,nation,,1999,Do not want to say,refuse_to_answer,320
VANUATU,nation,,1999,Not stated,not_stated,2054
VANUATU,nation,,1999,Total,total,186678
Malampa,province,Malampa,1999,Anglican,anglican,396
Malampa,province,Malampa,1999,Presbyterian,presbyterian,15598
Malampa,province,Malampa,1999,Catholic,catholic,6929
Malampa,province,Malampa,1999,Seventh Day Adventists (SDA),seventh_day_adventist,4723
Malampa,province,Malampa,1999,Church of Christ,church_of_christ,136
Malampa,province,Malampa,1999,Assemblies of God,assemblies_of_god,1140
Malampa,province,Malampa,1999,Neil Thomas Ministry (NTM),neil_thomas_ministry,1246
Malampa,province,Malampa,1999,Apostolic,apostolic,181
Malampa,province,Malampa,1999,Custom,customary_beliefs,12
Malampa,province,Malampa,1999,Other,other,2288
Malampa,province,Malampa,1999,No Religion,no_religion,28
Malampa,province,Malampa,1999,Do not want to say,refuse_to_answer,13
Malampa,province,Malampa,1999,Not stated,not_stated,15
Malampa,province,Malampa,1999,Total,total,32705
Penama,province,Penama,1999,Anglican,anglican,12186
Penama,province,Penama,1999,Presbyterian,presbyterian,140
Penama,province,Penama,1999,Catholic,catholic,4881
Penama,province,Penama,1999,Seventh Day Adventists (SDA),seventh_day_adventist,1848
Penama,province,Penama,1999,Church of Christ,church_of_christ,4433
Penama,province,Penama,1999,Assemblies of God,assemblies_of_god,182
Penama,province,Penama,1999,Neil Thomas Ministry (NTM),neil_thomas_ministry,282
Penama,province,Penama,1999,Apostolic,apostolic,702
Penama,province,Penama,1999,Custom,customary_beliefs,861
Penama,province,Penama,1999,Other,other,1069
Penama,province,Penama,1999,No Religion,no_religion,39
Penama,province,Penama,1999,Do not want to say,refuse_to_answer,13
Penama,province,Penama,1999,Not stated,not_stated,10
Penama,province,Penama,1999,Total,total,26646
Sanma,province,Sanma,1999,Anglican,anglican,3185
Sanma,province,Sanma,1999,Presbyterian,presbyterian,12048
Sanma,province,Sanma,1999,Catholic,catholic,5158
Sanma,province,Sanma,1999,Seventh Day Adventists (SDA),seventh_day_adventist,4308
Sanma,province,Sanma,1999,Church of Christ,church_of_christ,2138
Sanma,province,Sanma,1999,Assemblies of God,assemblies_of_god,1200
Sanma,province,Sanma,1999,Neil Thomas Ministry (NTM),neil_thomas_ministry,991
Sanma,province,Sanma,1999,Apostolic,apostolic,1046
Sanma,province,Sanma,1999,Custom,customary_beliefs,1017
Sanma,province,Sanma,1999,Other,other,3726
Sanma,province,Sanma,1999,No Religion,no_religion,405
Sanma,province,Sanma,1999,Do not want to say,refuse_to_answer,99
Sanma,province,Sanma,1999,Not stated,not_stated,763
Sanma,province,Sanma,1999,Total,total,36084
Shefa,province,Shefa,1999,Anglican,anglican,2707
Shefa,province,Shefa,1999,Presbyterian,presbyterian,24690
Shefa,province,Shefa,1999,Catholic,catholic,4890
Shefa,province,Shefa,1999,Seventh Day Adventists (SDA),seventh_day_adventist,5887
Shefa,province,Shefa,1999,Church of Christ,church_of_christ,969
Shefa,province,Shefa,1999,Assemblies of God,assemblies_of_god,3364
Shefa,province,Shefa,1999,Neil Thomas Ministry (NTM),neil_thomas_ministry,2795
Shefa,province,Shefa,1999,Apostolic,apostolic,667
Shefa,province,Shefa,1999,Custom,customary_beliefs,158
Shefa,province,Shefa,1999,Other,other,6618
Shefa,province,Shefa,1999,No Religion,no_religion,529
Shefa,province,Shefa,1999,Do not want to say,refuse_to_answer,92
Shefa,province,Shefa,1999,Not stated,not_stated,1073
Shefa,province,Shefa,1999,Total,total,54439
Tafea,province,Tafea,1999,Anglican,anglican,141
Tafea,province,Tafea,1999,Presbyterian,presbyterian,6046
Tafea,province,Tafea,1999,Catholic,catholic,2619
Tafea,province,Tafea,1999,Seventh Day Adventists (SDA),seventh_day_adventist,3078
Tafea,province,Tafea,1999,Church of Christ,church_of_christ,363
Tafea,province,Tafea,1999,Assemblies of God,assemblies_of_god,2055
Tafea,province,Tafea,1999,Neil Thomas Ministry (NTM),neil_thomas_ministry,780
Tafea,province,Tafea,1999,Apostolic,apostolic,777
Tafea,province,Tafea,1999,Custom,customary_beliefs,8310
Tafea,province,Tafea,1999,Other,other,3667
Tafea,province,Tafea,1999,No Religion,no_religion,916
Tafea,province,Tafea,1999,Do not want to say,refuse_to_answer,103
Tafea,province,Tafea,1999,Not stated,not_stated,192
Tafea,province,Tafea,1999,Total,total,29047
Torba,province,Torba,1999,Anglican,anglican,6469
Torba,province,Torba,1999,Presbyterian,presbyterian,18
Torba,province,Torba,1999,Catholic,catholic,38
Torba,province,Torba,1999,Seventh Day Adventists (SDA),seventh_day_adventist,224
Torba,province,Torba,1999,Church of Christ,church_of_christ,8
Torba,province,Torba,1999,Assemblies of God,assemblies_of_god,99
Torba,province,Torba,1999,Neil Thomas Ministry (NTM),neil_thomas_ministry,312
Torba,province,Torba,1999,Apostolic,apostolic,4
Torba,province,Torba,1999,Custom,customary_beliefs,7
Torba,province,Torba,1999,Other,other,575
Torba,province,Torba,1999,No Religion,no_religion,2
Torba,province,Torba,1999,Do not want to say,refuse_to_answer,0
Torba,province,Torba,1999,Not stated,not_stated,1
Torba,province,Torba,1999,Total,total,7757
