geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
VANUATU,nation,,2009,Total,total,234023
VANUATU,nation,,2009,Anglican,anglican,35256
VANUATU,nation,,2009,Presbyterian,presbyterian,65345
VANUATU,nation,,2009,Catholic,catholic,28933
VANUATU,nation,,2009,SDA,seventh_day_adventist,29251
VANUATU,nation,,2009,Church of Christ,church_of_christ,10593
VANUATU,nation,,2009,AOG,assemblies_of_god,11078
VANUATU,nation,,2009,NTM,neil_thomas_ministry,7223
VANUATU,nation,,2009,Apostolic,apostolic,5231
VANUATU,nation,,2009,Others,other,29475
VANUATU,nation,,2009,Customary beliefs,customary_beliefs,8600
VANUATU,nation,,2009,No religion,no_religion,2554
VANUATU,nation,,2009,Refuse to answer,refuse_to_answer,484
URBAN,urban_rural_total,,2009,Total,total,57195
URBAN,urban_rural_total,,2009,Anglican,anglican,5760
URBAN,urban_rural_total,,2009,Presbyterian,presbyterian,16535
URBAN,urban_rural_total,,2009,Catholic,catholic,7687
URBAN,urban_rural_total,,2009,SDA,seventh_day_adventist,9562
URBAN,urban_rural_total,,2009,Church of Christ,church_of_christ,2624
URBAN,urban_rural_total,,2009,AOG,assemblies_of_god,2993
URBAN,urban_rural_total,,2009,NTM,neil_thomas_ministry,1972
URBAN,urban_rural_total,,2009,Apostolic,apostolic,1159
URBAN,urban_rural_total,,2009,Others,other,7395
URBAN,urban_rural_total,,2009,Customary beliefs,customary_beliefs,481
URBAN,urban_rural_total,,2009,No religion,no_religion,806
URBAN,urban_rural_total,,2009,Refuse to answer,refuse_to_answer,221
Port Vila,urban_municipality,,2009,Total,total,44039
Port Vila,urban_municipality,,2009,Anglican,anglican,3721
Port Vila,urban_municipality,,2009,Presbyterian,presbyterian,14011
Port Vila,urban_municipality,,2009,Catholic,catholic,5616
Port Vila,urban_municipality,,2009,SDA,seventh_day_adventist,7045
Port Vila,urban_municipality,,2009,Church of Christ,church_of_christ,1836
Port Vila,urban_municipality,,2009,AOG,assemblies_of_god,2345
Port Vila,urban_municipality,,2009,NTM,neil_thomas_ministry,1600
Port Vila,urban_municipality,,2009,Apostolic,apostolic,909
Port Vila,urban_municipality,,2009,Others,other,5660
Port Vila,urban_municipality,,2009,Customary beliefs,customary_beliefs,416
Port Vila,urban_municipality,,2009,No religion,no_religion,698
Port Vila,urban_municipality,,2009,Refuse to answer,refuse_to_answer,182
Luganville,urban_municipality,,2009,Total,total,13156
Luganville,urban_municipality,,2009,Anglican,anglican,2039
Luganville,urban_municipality,,2009,Presbyterian,presbyterian,2524
Luganville,urban_municipality,,2009,Catholic,catholic,2071
