geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
VANUATU,nation,,2020,Total,total,293963
VANUATU,nation,,2020,Presbyterian,presbyterian,80060
VANUATU,nation,,2020,Seventh Day Adventist (SDA),seventh_day_adventist,43541
VANUATU,nation,,2020,Catholic,catholic,35602
VANUATU,nation,,2020,Anglican,anglican,35339
VANUATU,nation,,2020,Churches of Christ,church_of_christ,14588
VANUATU,nation,,2020,Assemblies of God (AOG),assemblies_of_god,14450
VANUATU,nation,,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,9515
VANUATU,nation,,2020,Customary beliefs,customary_beliefs,9080
VANUATU,nation,,2020,Apostolic,apostolic,6894
VANUATU,nation,,2020,Latter Day Saints (Mormon),latter_day_saints,5174
VANUATU,nation,,2020,Other churches,other,35270
VANUATU,nation,,2020,No Religion/Faith,no_religion,4023
VANUATU,nation,,2020,Refuse to answer,refuse_to_answer,394
VANUATU,nation,,2020,Not Stated,not_stated,34
URBAN,urban_rural_total,,2020,Total,total,65867
URBAN,urban_rural_total,,2020,Presbyterian,presbyterian,17054
URBAN,urban_rural_total,,2020,Seventh Day Adventist (SDA),seventh_day_adventist,12920
URBAN,urban_rural_total,,2020,Catholic,catholic,8467
URBAN,urban_rural_total,,2020,Anglican,anglican,6276
URBAN,urban_rural_total,,2020,Churches of Christ,church_of_christ,3262
URBAN,urban_rural_total,,2020,Assemblies of God (AOG),assemblies_of_god,3319
URBAN,urban_rural_total,,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,2530
URBAN,urban_rural_total,,2020,Customary beliefs,customary_beliefs,45
URBAN,urban_rural_total,,2020,Apostolic,apostolic,1443
URBAN,urban_rural_total,,2020,Latter Day Saints (Mormon),latter_day_saints,1301
URBAN,urban_rural_total,,2020,Other churches,other,8353
URBAN,urban_rural_total,,2020,No Religion/Faith,no_religion,737
URBAN,urban_rural_total,,2020,Refuse to answer,refuse_to_answer,141
URBAN,urban_rural_total,,2020,Not Stated,not_stated,19
Port Vila,urban_municipality,,2020,Total,total,48461
Port Vila,urban_municipality,,2020,Presbyterian,presbyterian,14244
Port Vila,urban_municipality,,2020,Seventh Day Adventist (SDA),seventh_day_adventist,8928
Port Vila,urban_municipality,,2020,Catholic,catholic,5980
Port Vila,urban_municipality,,2020,Anglican,anglican,3813
Port Vila,urban_municipality,,2020,Churches of Christ,church_of_christ,2092
Port Vila,urban_municipality,,2020,Assemblies of God (AOG),assemblies_of_god,2616
Port Vila,urban_municipality,,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,2040
Port Vila,urban_municipality,,2020,Customary beliefs,customary_beliefs,33
Port Vila,urban_municipality,,2020,Apostolic,apostolic,1073
Port Vila,urban_municipality,,2020,Latter Day Saints (Mormon),latter_day_saints,1017
Port Vila,urban_municipality,,2020,Other churches,other,5876
Port Vila,urban_municipality,,2020,No Religion/Faith,no_religion,608
Port Vila,urban_municipality,,2020,Refuse to answer,refuse_to_answer,122
Port Vila,urban_municipality,,2020,Not Stated,not_stated,18
Luganville,urban_municipality,,2020,Total,total,17407
Luganville,urban_municipality,,2020,Presbyterian,presbyterian,2810
Luganville,urban_municipality,,2020,Seventh Day Adventist (SDA),seventh_day_adventist,3993
Luganville,urban_municipality,,2020,Catholic,catholic,2486
Luganville,urban_municipality,,2020,Anglican,anglican,2463
Luganville,urban_municipality,,2020,Churches of Christ,church_of_christ,1171
Luganville,urban_municipality,,2020,Assemblies of God (AOG),assemblies_of_god,702
Luganville,urban_municipality,,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,490
Luganville,urban_municipality,,2020,Customary beliefs,customary_beliefs,12
Luganville,urban_municipality,,2020,Apostolic,apostolic,370
Luganville,urban_municipality,,2020,Latter Day Saints (Mormon),latter_day_saints,284
Luganville,urban_municipality,,2020,Other churches,other,2476
Luganville,urban_municipality,,2020,No Religion/Faith,no_religion,128
Luganville,urban_municipality,,2020,Refuse to answer,refuse_to_answer,20
Luganville,urban_municipality,,2020,Not Stated,not_stated,1
RURAL,urban_rural_total,,2020,Total,total,228095
RURAL,urban_rural_total,,2020,Presbyterian,presbyterian,63006
RURAL,urban_rural_total,,2020,Seventh Day Adventist (SDA),seventh_day_adventist,30621
RURAL,urban_rural_total,,2020,Catholic,catholic,27135
RURAL,urban_rural_total,,2020,Anglican,anglican,29063
RURAL,urban_rural_total,,2020,Churches of Christ,church_of_christ,11326
RURAL,urban_rural_total,,2020,Assemblies of God (AOG),assemblies_of_god,11131
RURAL,urban_rural_total,,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,6985
RURAL,urban_rural_total,,2020,Customary beliefs,customary_beliefs,9035
RURAL,urban_rural_total,,2020,Apostolic,apostolic,5451
