religion_label_source,religion_label_normalised,census_year,count,source_value_raw
Anglican,anglican,1989,19949,"19,949"
Presbyterian,presbyterian,1989,50951,"50,951"
Catholic,catholic,1989,20613,"20,613"
SDA,seventh_day_adventist,1989,11737,"11,737"
Church of Christ,church_of_christ,1989,6745,"6,745"
Assemblies of God,assemblies_of_god,1989,,-
Neil Thomas Ministry,neil_thomas_ministry,1989,,-
Apostolic,apostolic,1989,,-
Customary beliefs,customary_beliefs,1989,6484,"6,484"
Latter-day Saints (Mormon),latter_day_saints,1989,,-
No religion,no_religion,1989,2437,"2,437"
Refuse to answer,refuse_to_answer,1989,5755,"5,755"
Other,other,1989,17748,"17,748"
Total,total,1989,142419,"142,419"
Anglican,anglican,1999,25084,"25,084"
Presbyterian,presbyterian,1999,58540,"58,540"
Catholic,catholic,1999,24515,"24,515"
SDA,seventh_day_adventist,1999,20068,"20,068"
Church of Christ,church_of_christ,1999,8047,"8,047"
Assemblies of God,assemblies_of_god,1999,8040,"8,040"
Neil Thomas Ministry,neil_thomas_ministry,1999,6406,"6,406"
Apostolic,apostolic,1999,3377,"3,377"
Customary beliefs,customary_beliefs,1999,10365,"10,365"
Latter-day Saints (Mormon),latter_day_saints,1999,,-
No religion,no_religion,1999,1919,"1,919"
Refuse to answer,refuse_to_answer,1999,2374,"2,374"
Other,other,1999,17943,"17,943"
Total,total,1999,186678,"186,678"
Anglican,anglican,2009,35256,"35,256"
Presbyterian,presbyterian,2009,65345,"65,345"
Catholic,catholic,2009,28933,"28,933"
SDA,seventh_day_adventist,2009,29251,"29,251"
Church of Christ,church_of_christ,2009,10593,"10,593"
Assemblies of God,assemblies_of_god,2009,11078,"11,078"
Neil Thomas Ministry,neil_thomas_ministry,2009,7223,"7,223"
Apostolic,apostolic,2009,5231,"5,231"
Customary beliefs,customary_beliefs,2009,8600,"8,600"
Latter-day Saints (Mormon),latter_day_saints,2009,,-
No religion,no_religion,2009,2554,"2,554"
Refuse to answer,refuse_to_answer,2009,484,484
Other,other,2009,29475,"29,475"
Total,total,2009,234023,"234,023"
Anglican,anglican,2020,35339,"35,339"
Presbyterian,presbyterian,2020,80060,"80,060"
Catholic,catholic,2020,35602,"35,602"
SDA,seventh_day_adventist,2020,43541,"43,541"
Church of Christ,church_of_christ,2020,14588,"14,588"
Assemblies of God,assemblies_of_god,2020,14450,"14,450"
Neil Thomas Ministry,neil_thomas_ministry,2020,9515,"9,515"
Apostolic,apostolic,2020,6894,"6,894"
Customary beliefs,customary_beliefs,2020,9080,"9,080"
Latter-day Saints (Mormon),latter_day_saints,2020,5174,"5,174"
No religion,no_religion,2020,4023,"4,023"
Refuse to answer,refuse_to_answer,2020,394,394
Other,other,2020,35270,"35,270"
Total,total,2020,293963,"293,963"
