religion_label_source,religion_label_normalised,census_year,province,percent,source_value_raw,note
Anglican,anglican,2020,Torba,77.4,77.4,
Anglican,anglican,2020,Sanma,9.9,9.9,
Anglican,anglican,2020,Penama,44.9,44.9,
Anglican,anglican,2020,Malampa,0.4,0.4,
Anglican,anglican,2020,Shefa,5.1,5.1,
Anglican,anglican,2020,Tafea,0.2,0.2,
Presbyterian,presbyterian,2020,Torba,0.5,0.5,
Presbyterian,presbyterian,2020,Sanma,25.9,25.9,
Presbyterian,presbyterian,2020,Penama,0.6,0.6,
Presbyterian,presbyterian,2020,Malampa,43.9,43.9,
Presbyterian,presbyterian,2020,Shefa,35.3,35.3,
Presbyterian,presbyterian,2020,Tafea,22.0,22.0,
Catholic,catholic,2020,Torba,0.5,0.5,
Catholic,catholic,2020,Sanma,12.5,12.5,
Catholic,catholic,2020,Penama,21.7,21.7,
Catholic,catholic,2020,Malampa,19.1,19.1,
Catholic,catholic,2020,Shefa,8.5,8.5,
Catholic,catholic,2020,Tafea,8.9,8.9,
SDA,seventh_day_adventist,2020,Torba,5.8,5.8,
SDA,seventh_day_adventist,2020,Sanma,15.8,15.8,
SDA,seventh_day_adventist,2020,Penama,5.9,5.9,
SDA,seventh_day_adventist,2020,Malampa,17.1,17.1,
SDA,seventh_day_adventist,2020,Shefa,17.6,17.6,
SDA,seventh_day_adventist,2020,Tafea,14.0,14.0,
Church of Christ,church_of_christ,2020,Torba,1.5,1.5,
Church of Christ,church_of_christ,2020,Sanma,6.9,6.9,
Church of Christ,church_of_christ,2020,Penama,16.1,16.1,
Church of Christ,church_of_christ,2020,Malampa,0.7,"0,7",source prints comma decimal
Church of Christ,church_of_christ,2020,Shefa,3.2,3.2,
Church of Christ,church_of_christ,2020,Tafea,2.7,2.7,
Assemblies of God,assemblies_of_god,2020,Torba,4.2,4.2,
Assemblies of God,assemblies_of_god,2020,Sanma,3.5,3.5,
Assemblies of God,assemblies_of_god,2020,Penama,0.9,0.9,
Assemblies of God,assemblies_of_god,2020,Malampa,3.5,3.5,
Assemblies of God,assemblies_of_god,2020,Shefa,6.6,6.6,
Assemblies of God,assemblies_of_god,2020,Tafea,7.5,7.5,
Neil Thomas Ministry,neil_thomas_ministry,2020,Torba,3.2,3.2,
Neil Thomas Ministry,neil_thomas_ministry,2020,Sanma,3.0,3.0,
Neil Thomas Ministry,neil_thomas_ministry,2020,Penama,1.2,1.2,
Neil Thomas Ministry,neil_thomas_ministry,2020,Malampa,3.8,3.8,
Neil Thomas Ministry,neil_thomas_ministry,2020,Shefa,4.1,4.1,
Neil Thomas Ministry,neil_thomas_ministry,2020,Tafea,2.6,2.6,
Apostolic,apostolic,2020,Torba,0.3,"0,3",source prints comma decimal
Apostolic,apostolic,2020,Sanma,4.0,4.0,
Apostolic,apostolic,2020,Penama,3.0,3.0,
Apostolic,apostolic,2020,Malampa,1.1,1.1,
Apostolic,apostolic,2020,Shefa,2.0,2.0,
Apostolic,apostolic,2020,Tafea,2.1,2.1,
Customary beliefs,customary_beliefs,2020,Torba,0.1,0.1,
Customary beliefs,customary_beliefs,2020,Sanma,0.5,0.5,
Customary beliefs,customary_beliefs,2020,Penama,2.4,2.4,
Customary beliefs,customary_beliefs,2020,Malampa,0.0,0.0,
Customary beliefs,customary_beliefs,2020,Shefa,0.2,0.2,
Customary beliefs,customary_beliefs,2020,Tafea,17.3,17.3,
Latter-day Saints (Mormon),latter_day_saints,2020,Torba,0.9,0.9,
Latter-day Saints (Mormon),latter_day_saints,2020,Sanma,1.4,1.4,
Latter-day Saints (Mormon),latter_day_saints,2020,Penama,0.3,0.3,
Latter-day Saints (Mormon),latter_day_saints,2020,Malampa,1.7,1.7,
Latter-day Saints (Mormon),latter_day_saints,2020,Shefa,1.9,1.9,
Latter-day Saints (Mormon),latter_day_saints,2020,Tafea,3.2,3.2,
No religion,no_religion,2020,Torba,0.0,0.0,
No religion,no_religion,2020,Sanma,0.8,0.8,
No religion,no_religion,2020,Penama,0.1,0.1,
No religion,no_religion,2020,Malampa,0.0,0.0,
No religion,no_religion,2020,Shefa,0.9,0.9,
No religion,no_religion,2020,Tafea,5.7,5.7,
Refuse to answer,refuse_to_answer,2020,Torba,0.0,0.0,
Refuse to answer,refuse_to_answer,2020,Sanma,0.1,0.1,
Refuse to answer,refuse_to_answer,2020,Penama,0.0,0.0,
Refuse to answer,refuse_to_answer,2020,Malampa,0.0,0.0,
Refuse to answer,refuse_to_answer,2020,Shefa,0.3,0.3,
Refuse to answer,refuse_to_answer,2020,Tafea,0.1,0.1,
Other,other,2020,Torba,5.8,5.8,
Other,other,2020,Sanma,15.5,15.5,
Other,other,2020,Penama,2.7,2.7,
Other,other,2020,Malampa,8.5,8.5,
Other,other,2020,Shefa,14.4,14.4,
Other,other,2020,Tafea,13.6,13.6,
Total,total,2020,Torba,100.0,100.0,
Total,total,2020,Sanma,100.0,100.0,
Total,total,2020,Penama,100.0,100.0,
Total,total,2020,Malampa,100.0,100.0,
Total,total,2020,Shefa,100.0,100.0,
Total,total,2020,Tafea,100.0,100.0,
