"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:aua-vaimauga-2","aua-vaimauga-2","Vaimauga 2",2021,5721,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",5717,99.9301,4,0.0699,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=Apia Urban Area;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=3005;METHODIST=277;ROMAN CATHOLIC=443;LATTER  DAY SAINTS=650;ASSEMBLY OF GOD=404;SEVENTH DAYS ADVENTIST=113;ASO FITU  (SISDAC)=37;JEHOVAHS WITNESS=89;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=0;AMAZING LOVE CHRISTIAN CHURCH=29;BAHAI=24;VOICE OF CHRIST=53;WORSHIP CENTRE=238;NAZARENE=13;BIBLE STUDY=1;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=76;PABTISM=23;PEACE CHAPEL=56;SAMOA EVANGELISM=9;POROTESANO=13;ANGLICAN CHURCH=8;ELIM CHURCH=15;CHRISTIAN FELLOWSHIP=47;MUSLIM=1;OTHER CHURCHES=93;NO RELIGION=4]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:aua-vaimauga-3","aua-vaimauga-3","Vaimauga 3",2021,10868,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",10843,99.77,25,0.23,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=Apia Urban Area;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=3812;METHODIST=954;ROMAN CATHOLIC=1561;LATTER  DAY SAINTS=1408;ASSEMBLY OF GOD=892;SEVENTH DAYS ADVENTIST=274;ASO FITU  (SISDAC)=125;JEHOVAHS WITNESS=148;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=136;AMAZING LOVE CHRISTIAN CHURCH=92;BAHAI=85;VOICE OF CHRIST=65;WORSHIP CENTRE=487;NAZARENE=46;BIBLE STUDY=29;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=47;PABTISM=84;PEACE CHAPEL=89;SAMOA EVANGELISM=33;POROTESANO=98;ANGLICAN CHURCH=4;ELIM CHURCH=0;CHRISTIAN FELLOWSHIP=107;MUSLIM=1;OTHER CHURCHES=266;NO RELIGION=25]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:aua-vaimauga-4","aua-vaimauga-4","Vaimauga 4",2021,6206,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",6198,99.8711,8,0.1289,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=Apia Urban Area;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=1470;METHODIST=342;ROMAN CATHOLIC=2473;LATTER  DAY SAINTS=493;ASSEMBLY OF GOD=207;SEVENTH DAYS ADVENTIST=356;ASO FITU  (SISDAC)=56;JEHOVAHS WITNESS=49;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=81;AMAZING LOVE CHRISTIAN CHURCH=6;BAHAI=8;VOICE OF CHRIST=143;WORSHIP CENTRE=200;NAZARENE=2;BIBLE STUDY=1;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=10;PABTISM=1;PEACE CHAPEL=97;SAMOA EVANGELISM=0;POROTESANO=1;ANGLICAN CHURCH=16;ELIM CHURCH=5;CHRISTIAN FELLOWSHIP=23;MUSLIM=4;OTHER CHURCHES=154;NO RELIGION=8]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:aua-faleata-1","aua-faleata-1","Faleata 1",2021,13179,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",13173,99.9545,6,0.0455,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=Apia Urban Area;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=1945;METHODIST=1288;ROMAN CATHOLIC=4621;LATTER  DAY SAINTS=2353;ASSEMBLY OF GOD=570;SEVENTH DAYS ADVENTIST=470;ASO FITU  (SISDAC)=55;JEHOVAHS WITNESS=110;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=19;AMAZING LOVE CHRISTIAN CHURCH=16;BAHAI=15;VOICE OF CHRIST=107;WORSHIP CENTRE=546;NAZARENE=102;BIBLE STUDY=27;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=202;PABTISM=12;PEACE CHAPEL=176;SAMOA EVANGELISM=21;POROTESANO=34;ANGLICAN CHURCH=35;ELIM CHURCH=15;CHRISTIAN FELLOWSHIP=24;MUSLIM=8;OTHER CHURCHES=402;NO RELIGION=6]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:nwu-vaimauga-1","nwu-vaimauga-1","Vaimauga 1",2021,8736,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",8734,99.9771,2,0.0229,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=North West Upolu;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=2973;METHODIST=181;ROMAN CATHOLIC=1581;LATTER  DAY SAINTS=1566;ASSEMBLY OF GOD=839;SEVENTH DAYS ADVENTIST=472;ASO FITU  (SISDAC)=209;JEHOVAHS WITNESS=60;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=4;AMAZING LOVE CHRISTIAN CHURCH=9;BAHAI=26;VOICE OF CHRIST=28;WORSHIP CENTRE=307;NAZARENE=2;BIBLE STUDY=0;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=219;PABTISM=14;PEACE CHAPEL=53;SAMOA EVANGELISM=0;POROTESANO=19;ANGLICAN CHURCH=20;ELIM CHURCH=1;CHRISTIAN FELLOWSHIP=35;MUSLIM=0;OTHER CHURCHES=116;NO RELIGION=2]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:nwu-faleata-2","nwu-faleata-2","Faleata 2",2021,11180,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",11158,99.8032,22,0.1968,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=North West Upolu;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=2296;METHODIST=910;ROMAN CATHOLIC=2852;LATTER  DAY SAINTS=1478;ASSEMBLY OF GOD=1219;SEVENTH DAYS ADVENTIST=364;ASO FITU  (SISDAC)=39;JEHOVAHS WITNESS=99;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=2;AMAZING LOVE CHRISTIAN CHURCH=40;BAHAI=14;VOICE OF CHRIST=48;WORSHIP CENTRE=607;NAZARENE=127;BIBLE STUDY=19;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=155;PABTISM=54;PEACE CHAPEL=137;SAMOA EVANGELISM=17;POROTESANO=17;ANGLICAN CHURCH=16;ELIM CHURCH=5;CHRISTIAN FELLOWSHIP=26;MUSLIM=12;OTHER CHURCHES=605;NO RELIGION=22]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:nwu-faleata-3","nwu-faleata-3","Faleata 3",2021,8224,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",8190,99.5866,34,0.4134,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=North West Upolu;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=2272;METHODIST=907;ROMAN CATHOLIC=1206;LATTER  DAY SAINTS=913;ASSEMBLY OF GOD=930;SEVENTH DAYS ADVENTIST=223;ASO FITU  (SISDAC)=110;JEHOVAHS WITNESS=59;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=25;AMAZING LOVE CHRISTIAN CHURCH=5;BAHAI=7;VOICE OF CHRIST=155;WORSHIP CENTRE=444;NAZARENE=133;BIBLE STUDY=13;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=121;PABTISM=53;PEACE CHAPEL=103;SAMOA EVANGELISM=32;POROTESANO=21;ANGLICAN CHURCH=1;ELIM CHURCH=0;CHRISTIAN FELLOWSHIP=73;MUSLIM=12;OTHER CHURCHES=372;NO RELIGION=34]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:nwu-faleata-4","nwu-faleata-4","Faleata 4",2021,4359,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",4359,100,0,0,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=North West Upolu;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=857;METHODIST=690;ROMAN CATHOLIC=340;LATTER  DAY SAINTS=332;ASSEMBLY OF GOD=1289;SEVENTH DAYS ADVENTIST=100;ASO FITU  (SISDAC)=170;JEHOVAHS WITNESS=26;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=5;AMAZING LOVE CHRISTIAN CHURCH=23;BAHAI=10;VOICE OF CHRIST=11;WORSHIP CENTRE=250;NAZARENE=59;BIBLE STUDY=6;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=8;PABTISM=20;PEACE CHAPEL=16;SAMOA EVANGELISM=15;POROTESANO=0;ANGLICAN CHURCH=7;ELIM CHURCH=0;CHRISTIAN FELLOWSHIP=18;MUSLIM=11;OTHER CHURCHES=96;NO RELIGION=0]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:nwu-sagaga-1","nwu-sagaga-1","Sagaga 1",2021,8210,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",8206,99.9513,4,0.0487,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=North West Upolu;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=1135;METHODIST=1428;ROMAN CATHOLIC=1079;LATTER  DAY SAINTS=1091;ASSEMBLY OF GOD=1707;SEVENTH DAYS ADVENTIST=454;ASO FITU  (SISDAC)=72;JEHOVAHS WITNESS=79;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=0;AMAZING LOVE CHRISTIAN CHURCH=0;BAHAI=50;VOICE OF CHRIST=106;WORSHIP CENTRE=344;NAZARENE=89;BIBLE STUDY=40;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=59;PABTISM=69;PEACE CHAPEL=51;SAMOA EVANGELISM=27;POROTESANO=0;ANGLICAN CHURCH=7;ELIM CHURCH=0;CHRISTIAN FELLOWSHIP=45;MUSLIM=1;OTHER CHURCHES=273;NO RELIGION=4]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:nwu-sagaga-2","nwu-sagaga-2","Sagaga 2",2021,6528,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",6526,99.9694,2,0.0306,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=North West Upolu;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=1654;METHODIST=540;ROMAN CATHOLIC=987;LATTER  DAY SAINTS=1129;ASSEMBLY OF GOD=673;SEVENTH DAYS ADVENTIST=568;ASO FITU  (SISDAC)=88;JEHOVAHS WITNESS=59;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=39;AMAZING LOVE CHRISTIAN CHURCH=0;BAHAI=26;VOICE OF CHRIST=100;WORSHIP CENTRE=315;NAZARENE=1;BIBLE STUDY=5;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=15;PABTISM=37;PEACE CHAPEL=36;SAMOA EVANGELISM=10;POROTESANO=5;ANGLICAN CHURCH=1;ELIM CHURCH=0;CHRISTIAN FELLOWSHIP=37;MUSLIM=0;OTHER CHURCHES=201;NO RELIGION=2]"
"WS","ws-constituency-2021-boundary-pending","constituency","ws-constituency-2021-boundary-pending:nwu-sagaga-3","nwu-sagaga-3","Sagaga 3",2021,6022,"SBS 2021 Census Table 2 total resident population for the constituency-district (the row's TOTAL column). The 2021 census enumerates the whole resident population of Samoa and partitions it at four nested levels: the nation, four statistical regions (Apia Urban Area, North West Upolu, Rest of Upolu, Savaii), 51 constituency-districts (the 2021 Faipule/electoral districts), and 339 villages. This product ships the 51 constituency-districts as the primary level, the finest level a future licensed boundary layer or published concordance will plausibly match. The four statistical regions ride this manifest as recorded roll-up context, and the 339-village detail is preserved in the git-ignored raw cache and documented as the deeper route; neither ships as product rows. Every level reconciles exactly on the cached workbook, with no value allocated, inferred, rounded, or tuned.",6017,99.917,5,0.083,,,,,,,"sbs-census-2021-table2-religion-constituency","census_religion_2021_verbatim_frame;26_category_partition;real_no_religion_category;ordinary_two_slot_semantics;religious_affiliation_percent=any_of_25_affiliation_categories;no_religion_percent=no_religion_share;exact_complements;exact_printed_counts;no_small_cell_suppression;primary_level=constituency;region=North West Upolu;categories_verbatim[CONGREGATIONAL CHRISTIAN CHURCH OF SAMOA=794;METHODIST=229;ROMAN CATHOLIC=2918;LATTER  DAY SAINTS=925;ASSEMBLY OF GOD=341;SEVENTH DAYS ADVENTIST=250;ASO FITU  (SISDAC)=50;JEHOVAHS WITNESS=50;CONGREGATIONAL CHRISTIAN CHURCH OF JESUS IN SAMOA  (EFIS)=0;AMAZING LOVE CHRISTIAN CHURCH=7;BAHAI=4;VOICE OF CHRIST=13;WORSHIP CENTRE=263;NAZARENE=3;BIBLE STUDY=0;FIRST FULL GOSPEL PENTECOSTAL CHURCH IN SAMOA=15;PABTISM=42;PEACE CHAPEL=10;SAMOA EVANGELISM=22;POROTESANO=0;ANGLICAN CHURCH=6;ELIM CHURCH=3;CHRISTIAN FELLOWSHIP=0;MUSLIM=0;OTHER CHURCHES=72;NO RELIGION=5]"
