"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:decan","decan","Deçan",2011,40019,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",39783,99.4103,2,0.005,,,,287.7136,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Deçan;source_categories_verbatim=Islam/Islam/Islam=39343;Orthodox/Ortodoks/Pravoslavni=11;Catholic/Katolik/Katolički=408;Others/Të tjerë/Ostali=21;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=2;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=234"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:gjakove","gjakove","Gjakovë",2011,94556,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",93759,99.1571,129,0.1364,,,,585.606,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Gjakovë;source_categories_verbatim=Islam/Islam/Islam=77299;Orthodox/Ortodoks/Pravoslavni=22;Catholic/Katolik/Katolički=16296;Others/Të tjerë/Ostali=142;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=129;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=668"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:gllogoc","gllogoc","Gllogoc",2011,58531,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",58075,99.2209,9,0.0154,,,,277.2303,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Gllogoc;source_categories_verbatim=Islam/Islam/Islam=57987;Orthodox/Ortodoks/Pravoslavni=3;Catholic/Katolik/Katolički=66;Others/Të tjerë/Ostali=19;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=9;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=447"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:gjilan","gjilan","Gjilan",2011,90178,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",89697,99.4666,28,0.031,,,,483.7881,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Gjilan;source_categories_verbatim=Islam/Islam/Islam=88958;Orthodox/Ortodoks/Pravoslavni=636;Catholic/Katolik/Katolički=47;Others/Të tjerë/Ostali=56;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=28;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=453"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:dragash","dragash","Dragash",2011,33997,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",33956,99.8794,5,0.0147,,,,444.0028,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Dragash;source_categories_verbatim=Islam/Islam/Islam=33806;Orthodox/Ortodoks/Pravoslavni=9;Catholic/Katolik/Katolički=0;Others/Të tjerë/Ostali=141;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=5;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=36"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:istog","istog","Istog",2011,39289,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",39112,99.5495,44,0.112,,,,450.0744,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Istog;source_categories_verbatim=Islam/Islam/Islam=38149;Orthodox/Ortodoks/Pravoslavni=201;Catholic/Katolik/Katolički=744;Others/Të tjerë/Ostali=18;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=44;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=133"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:kacanik","kacanik","Kaçanik",2011,33409,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",33396,99.9611,0,0,,,,211.0058,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Kaçanik;source_categories_verbatim=Islam/Islam/Islam=33391;Orthodox/Ortodoks/Pravoslavni=2;Catholic/Katolik/Katolički=2;Others/Të tjerë/Ostali=1;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=0;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=13"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:kline","kline","Klinë",2011,38496,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",38422,99.8078,1,0.0026,,,,310.211,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Klinë;source_categories_verbatim=Islam/Islam/Islam=31185;Orthodox/Ortodoks/Pravoslavni=100;Catholic/Katolik/Katolički=7124;Others/Të tjerë/Ostali=13;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=1;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=73"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:fushe_kosove","fushe_kosove","Fushë Kosovë",2011,34827,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",34548,99.1989,31,0.089,,,,84.4628,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Fushë Kosovë;source_categories_verbatim=Islam/Islam/Islam=34019;Orthodox/Ortodoks/Pravoslavni=428;Catholic/Katolik/Katolički=71;Others/Të tjerë/Ostali=30;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=31;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=248"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:kamenice","kamenice","Kamenicë",2011,36085,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",36000,99.7644,32,0.0887,,,,435.4024,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Kamenicë;source_categories_verbatim=Islam/Islam/Islam=34405;Orthodox/Ortodoks/Pravoslavni=1556;Catholic/Katolik/Katolički=13;Others/Të tjerë/Ostali=26;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=32;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=53"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:mitrovice","mitrovice","Mitrovicë",2011,71909,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",71505,99.4382,14,0.0195,,,,325.4946,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Mitrovicë;source_categories_verbatim=Islam/Islam/Islam=71422;Orthodox/Ortodoks/Pravoslavni=11;Catholic/Katolik/Katolički=42;Others/Të tjerë/Ostali=30;No religious affiliation/Asnjë besim fetar/Nema versku pripadnost=14;Prefers not to answer/Preferon të mos përgjigjet/Preferira da ne odgovori=390"
"XK","xk-municipality-geoboundaries-adm2","municipality","xk-municipality-geoboundaries-adm2:leposaviq","leposaviq","Leposaviq",2011,,"2011 Kosovo Population and Housing Census, KAS ASKdata table census2024_10 'Population by religion and sex at country and municipal level' (Year 2011, Total sex), usually resident population of all ages; the denominator is the printed municipality total. Religious affiliation is the municipality population minus the No-religious-affiliation and Prefers-not-to-answer lines. The four northern municipalities were not enumerated (boycott) and carry null values.",,,,,,,,545.2311,,,"xk-census-2011-2024-religion-by-municipality|geoboundaries-xkx-adm2-2017","census_affiliation;usually_resident_population_all_ages_universe;single_select_reported_religion;religious_affiliation_percent_is_summed_affiliation_share;no_religion_percent_is_no_religious_affiliation_line_only;prefers_not_to_answer_residual_in_denominator_neither_slot;shares_need_not_sum_to_100;northern_coverage_break_2011_absent_2024_partial_boycott_no_cross_wave_change;census_licence_open_reuse_with_attribution;source_municipality_name_sq=Leposaviq;coverage=not_enumerated_2011_northern_boycott;value=null_not_zero"
