"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:eastern-cape","eastern-cape","Eastern Cape",1996,6147244,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (1996); religion shares from Cultural Dynamics Table 4.1 (1996), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,90.34,,9.66,,,,168965.97,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;high_undetermined_share_1996_data_collection;traditional_african_coded_zero_in_1996"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:free-state","free-state","Free State",1996,2633504,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (1996); religion shares from Cultural Dynamics Table 4.1 (1996), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,96.99,,3.01,,,,129825.16,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;high_undetermined_share_1996_data_collection;traditional_african_coded_zero_in_1996"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:gauteng","gauteng","Gauteng",1996,7834620,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (1996); religion shares from Cultural Dynamics Table 4.1 (1996), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,86.28,,13.72,,,,18178.31,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;high_undetermined_share_1996_data_collection;traditional_african_coded_zero_in_1996"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:kwazulu-natal","kwazulu-natal","KwaZulu-Natal",1996,8572302,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (1996); religion shares from Cultural Dynamics Table 4.1 (1996), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,84.45,,15.55,,,,94361.32,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;high_undetermined_share_1996_data_collection;traditional_african_coded_zero_in_1996"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:limpopo","limpopo","Limpopo",1996,4576133,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (1996); religion shares from Cultural Dynamics Table 4.1 (1996), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,69.74,,30.26,,,,125753.86,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;high_undetermined_share_1996_data_collection;traditional_african_coded_zero_in_1996"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:mpumalanga","mpumalanga","Mpumalanga",1996,3124203,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (1996); religion shares from Cultural Dynamics Table 4.1 (1996), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,87.26,,12.74,,,,76494.66,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;high_undetermined_share_1996_data_collection;traditional_african_coded_zero_in_1996"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:north-west","north-west","North West",1996,2726828,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (1996); religion shares from Cultural Dynamics Table 4.1 (1996), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,96.23,,3.77,,,,104881.67,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;high_undetermined_share_1996_data_collection;traditional_african_coded_zero_in_1996"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:northern-cape","northern-cape","Northern Cape",1996,1011864,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (1996); religion shares from Cultural Dynamics Table 4.1 (1996), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,97.77,,2.23,,,,372889.4,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;high_undetermined_share_1996_data_collection;traditional_african_coded_zero_in_1996"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:western-cape","western-cape","Western Cape",1996,3956875,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (1996); religion shares from Cultural Dynamics Table 4.1 (1996), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,94.28,,5.72,,,,129462.18,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;high_undetermined_share_1996_data_collection;traditional_african_coded_zero_in_1996"
"ZA","za-province-2020-geoboundaries-adm1","province","za-province-2020-geoboundaries-adm1:eastern-cape","eastern-cape","Eastern Cape",2001,6278651,"province total population from Stats SA Census 2022 Statistical Release Table 2.1 (2001); religion shares from Cultural Dynamics Table 4.1 (2001), one-decimal source precision; the stated-response denominator for the percentages excludes the Undetermined residual",,89.24,,10.76,,,,168965.97,,,"statssa-cultural-dynamics-03-01-84-table41-religion-by-province|statssa-census2022-p0301-4-table21-population-by-province|geoboundaries-zaf-adm1-2020","stated_response_denominator_excludes_undetermined;named_religions_in_religious_affiliation;no_religion_category_is_no_religious_affiliation;religion_shares_one_decimal_precision;population_denominator_exact_from_table_2_1;province_boundaries_2020_vintage"
