"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-02","ZM-02","Central",2010,1307111,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,98.7,,1,,,,110300.47,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-08","ZM-08","Copperbelt",2010,1972317,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,98.8,,1,,,,31106.55,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-03","ZM-03","Eastern",2010,1592661,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,97.2,,2.6,,,,51648.83,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-04","ZM-04","Luapula",2010,991927,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,97.2,,2.7,,,,49758.35,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-09","ZM-09","Lusaka",2010,2191225,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,98.1,,1.6,,,,23480.64,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-10","ZM-10","Muchinga",2010,711657,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,99.3,,0.6,,,,86398.98,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-06","ZM-06","North-Western",2010,727044,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,95.8,,4,,,,125233.42,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-05","ZM-05","Northern",2010,1105824,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,98.7,,1.3,,,,77575.57,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-07","ZM-07","Southern",2010,1589926,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,98.6,,1.4,,,,68188.42,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
"ZM","zm-province-2011-geoboundaries-adm1","province","zm-province-2011-geoboundaries-adm1:ZM-01","ZM-01","Western",2010,902974,"2010 census population by province (post-2011 ten-province re-tabulation) from the 2022 National Analytical Report section 2.3 comparison table, shown for context; figure 4.10 percentages are shares of the province's population and counts are not published",,96.7,,3.3,,,,127392.79,,,"zamstats-2010-cph-provincial-analytical-reports-figure-4-10-religion|zamstats-2022-cph-national-analytical-report|geoboundaries-zmb-adm1-2011","percent_only_from_printed_figure_labels;one_decimal_source_precision;counts_not_published_at_province_level;named_religions_in_religious_affiliation"
