Census Year,Subject population,Religious affiliation,Religious affiliation Code,Territorial authority,Territorial authority Code,Unit,Value,Value Unit,Value Label,Null Reason
2013,Census usually resident population,No religion,No Religion,Far North,Far North District,Count,18165,number,Number of people,
2013,Census usually resident population,No religion,No Religion,Far North,Far North District,Percentage of total stated,32.59231348907,percentage,% of people,
2013,Census usually resident population,Buddhism,Buddhism,Far North,Far North District,Count,318,number,Number of people,
2013,Census usually resident population,Buddhism,Buddhism,Far North,Far North District,Percentage of total stated,0.5705673377113,percentage,% of people,
2013,Census usually resident population,Christianity,Christianity,Far North,Far North District,Count,23451,number,Number of people,
2013,Census usually resident population,Christianity,Christianity,Far North,Far North District,Percentage of total stated,42.07664980084,percentage,% of people,
2013,Census usually resident population,Hinduism,Hinduism,Far North,Far North District,Count,234,number,Number of people,
2013,Census usually resident population,Hinduism,Hinduism,Far North,Far North District,Percentage of total stated,0.4198514371838,percentage,% of people,
2013,Census usually resident population,Islam,Islam,Far North,Far North District,Count,87,number,Number of people,
2013,Census usually resident population,Islam,Islam,Far North,Far North District,Percentage of total stated,0.1560986112606,percentage,% of people,
2013,Census usually resident population,Judaism,Judaism,Far North,Far North District,Count,78,number,Number of people,
2013,Census usually resident population,Judaism,Judaism,Far North,Far North District,Percentage of total stated,0.1399504790613,percentage,% of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies","Māori Religions, Beliefs and Philosophies",Far North,Far North District,Count,2898,number,Number of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies","Māori Religions, Beliefs and Philosophies",Far North,Far North District,Percentage of total stated,5.199698568199,percentage,% of people,
2013,Census usually resident population,Spiritualism and New Age religions,Spiritualism and New Age religions,Far North,Far North District,Count,264,number,Number of people,
2013,Census usually resident population,Spiritualism and New Age religions,Spiritualism and New Age religions,Far North,Far North District,Percentage of total stated,0.473678544515,percentage,% of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies","Other Religions, Beliefs and Philosophies",Far North,Far North District,Count,219,number,Number of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies","Other Religions, Beliefs and Philosophies",Far North,Far North District,Percentage of total stated,0.3929378835181,percentage,% of people,
2013,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Far North,Far North District,Count,315,number,Number of people,
2013,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Far North,Far North District,Percentage of total stated,0.5651846269781,percentage,% of people,
2013,Census usually resident population,Zen Buddhism,Zen Buddhism,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Zen Buddhism,Zen Buddhism,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Buddhism (not elsewhere classified),Buddhism nec,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Buddhism (not elsewhere classified),Buddhism nec,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Christian (not further defined),Christian nfd,Far North,Far North District,Count,3006,number,Number of people,
2013,Census usually resident population,Christian (not further defined),Christian nfd,Far North,Far North District,Percentage of total stated,5.393476154591,percentage,% of people,
2013,Census usually resident population,Adventist (not further defined),Adventist nfd,Far North,Far North District,Count,12,number,Number of people,
2013,Census usually resident population,Adventist (not further defined),Adventist nfd,Far North,Far North District,Percentage of total stated,0.0215308429325,percentage,% of people,
2013,Census usually resident population,Seventh Day Adventist,Seventh Day Adventist,Far North,Far North District,Count,210,number,Number of people,
2013,Census usually resident population,Seventh Day Adventist,Seventh Day Adventist,Far North,Far North District,Percentage of total stated,0.3767897513188,percentage,% of people,
2013,Census usually resident population,Worldwide Church of God,Worldwide Church of God,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Worldwide Church of God,Worldwide Church of God,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Adventist (not elsewhere classified),Adventist nec,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Adventist (not elsewhere classified),Adventist nec,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Anglicanism,Anglican,Far North,Far North District,Count,8307,number,Number of people,
2013,Census usually resident population,Anglicanism,Anglican,Far North,Far North District,Percentage of total stated,14.90472602002,percentage,% of people,
2013,Census usually resident population,Chinese Christian,Chinese Christian,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Chinese Christian,Chinese Christian,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Korean Christian,Korean Christian,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Korean Christian,Korean Christian,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Baptist (not further defined),Baptist nfd,Far North,Far North District,Count,447,number,Number of people,
2013,Census usually resident population,Baptist (not further defined),Baptist nfd,Far North,Far North District,Percentage of total stated,0.8020238992357,percentage,% of people,
2013,Census usually resident population,Bible Baptist,Bible Baptist,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Bible Baptist,Bible Baptist,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Independent Baptist,Independent Baptist,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Independent Baptist,Independent Baptist,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Reformed Baptist,Reformed Baptist,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Reformed Baptist,Reformed Baptist,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Baptist (not elsewhere classified),Baptist nec,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Baptist (not elsewhere classified),Baptist nec,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Brethren (not further defined),Brethren nfd,Far North,Far North District,Count,63,number,Number of people,
2013,Census usually resident population,Brethren (not further defined),Brethren nfd,Far North,Far North District,Percentage of total stated,0.1130369253956,percentage,% of people,
2013,Census usually resident population,Open Brethren,Open Brethren,Far North,Far North District,Count,63,number,Number of people,
2013,Census usually resident population,Open Brethren,Open Brethren,Far North,Far North District,Percentage of total stated,0.1130369253956,percentage,% of people,
2013,Census usually resident population,Plymouth or Exclusive Brethren,Plymouth or Exclusive Brethren,Far North,Far North District,Count,144,number,Number of people,
2013,Census usually resident population,Plymouth or Exclusive Brethren,Plymouth or Exclusive Brethren,Far North,Far North District,Percentage of total stated,0.25837011519,percentage,% of people,
2013,Census usually resident population,Brethren (not elsewhere classified),Brethren nec,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Brethren (not elsewhere classified),Brethren nec,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Catholicism (not further defined),Catholicism nfd,Far North,Far North District,Count,5262,number,Number of people,
2013,Census usually resident population,Catholicism (not further defined),Catholicism nfd,Far North,Far North District,Percentage of total stated,9.441274625902,percentage,% of people,
2013,Census usually resident population,Roman Catholic,Roman Catholic,Far North,Far North District,Count,18,number,Number of people,
2013,Census usually resident population,Independent Pentecostal,Independent Pentecostal,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Roman Catholic,Roman Catholic,Far North,Far North District,Percentage of total stated,0.03229626439875,percentage,% of people,
2013,Census usually resident population,Catholicism (not elsewhere classified),Catholicism nec,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Catholicism (not elsewhere classified),Catholicism nec,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Church of Christ (not further defined),Church of Christ nfd,Far North,Far North District,Count,12,number,Number of people,
2013,Census usually resident population,Church of Christ (not further defined),Church of Christ nfd,Far North,Far North District,Percentage of total stated,0.0215308429325,percentage,% of people,
2013,Census usually resident population,Associated Churches of Christ,Associated Churches of Christ,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Associated Churches of Christ,Associated Churches of Christ,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Other Church of Christ and Churches of Christ (not elsewhere classified),Other Church of Christ and Churches of Christ nec,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Other Church of Christ and Churches of Christ (not elsewhere classified),Other Church of Christ and Churches of Christ nec,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Evangelical,Evangelical,Far North,Far North District,Count,51,number,Number of people,
2013,Census usually resident population,Evangelical,Evangelical,Far North,Far North District,Percentage of total stated,0.09150608246313,percentage,% of people,
2013,Census usually resident population,Born Again,Born Again,Far North,Far North District,Count,228,number,Number of people,
2013,Census usually resident population,Born Again,Born Again,Far North,Far North District,Percentage of total stated,0.4090860157175,percentage,% of people,
2013,Census usually resident population,Fundamentalist,Fundamentalist,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Fundamentalist,Fundamentalist,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Independent Evangelical Churches,Independent Evangelical Churches,Far North,Far North District,Count,21,number,Number of people,
2013,Census usually resident population,Independent Evangelical Churches,Independent Evangelical Churches,Far North,Far North District,Percentage of total stated,0.03767897513188,percentage,% of people,
2013,Census usually resident population,Jehovah's Witnesses,Jehovah's Witnesses,Far North,Far North District,Count,345,number,Number of people,
2013,Census usually resident population,Jehovah's Witnesses,Jehovah's Witnesses,Far North,Far North District,Percentage of total stated,0.6190117343094,percentage,% of people,
2013,Census usually resident population,Latter-day Saints,Latter-day Saints,Far North,Far North District,Count,1164,number,Number of people,
2013,Census usually resident population,Latter-day Saints,Latter-day Saints,Far North,Far North District,Percentage of total stated,2.088491764453,percentage,% of people,
2013,Census usually resident population,Lutheran,Lutheran,Far North,Far North District,Count,42,number,Number of people,
2013,Census usually resident population,Lutheran,Lutheran,Far North,Far North District,Percentage of total stated,0.07535795026375,percentage,% of people,
2013,Census usually resident population,Methodist (not further defined),Methodist nfd,Far North,Far North District,Count,1473,number,Number of people,
2013,Census usually resident population,Methodist (not further defined),Methodist nfd,Far North,Far North District,Percentage of total stated,2.642910969964,percentage,% of people,
2013,Census usually resident population,Tongan Methodist,Tongan Methodist,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Tongan Methodist,Tongan Methodist,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Nazarene,Nazarene,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Nazarene,Nazarene,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Methodist (not elsewhere classified),Methodist nec,Far North,Far North District,Count,12,number,Number of people,
2013,Census usually resident population,Methodist (not elsewhere classified),Methodist nec,Far North,Far North District,Percentage of total stated,0.0215308429325,percentage,% of people,
2013,Census usually resident population,Orthodox (not further defined),Orthodox nfd,Far North,Far North District,Count,12,number,Number of people,
2013,Census usually resident population,Orthodox (not further defined),Orthodox nfd,Far North,Far North District,Percentage of total stated,0.0215308429325,percentage,% of people,
2013,Census usually resident population,Assyrian Orthodox,Assyrian Orthodox,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Assyrian Orthodox,Assyrian Orthodox,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Coptic Orthodox,Coptic Orthodox,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Coptic Orthodox,Coptic Orthodox,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Greek Orthodox,Greek Orthodox,Far North,Far North District,Count,12,number,Number of people,
2013,Census usually resident population,Greek Orthodox,Greek Orthodox,Far North,Far North District,Percentage of total stated,0.0215308429325,percentage,% of people,
2013,Census usually resident population,Russian Orthodox,Russian Orthodox,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Russian Orthodox,Russian Orthodox,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Serbian Orthodox,Serbian Orthodox,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Serbian Orthodox,Serbian Orthodox,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Orthodox (not elsewhere classified),Orthodox nec,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Orthodox (not elsewhere classified),Orthodox nec,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Pentecostal (not further defined),Pentecostal nfd,Far North,Far North District,Count,468,number,Number of people,
2013,Census usually resident population,Pentecostal (not further defined),Pentecostal nfd,Far North,Far North District,Percentage of total stated,0.8397028743675,percentage,% of people,
2013,Census usually resident population,ACTS Churches,ACTS Churches,Far North,Far North District,Count,57,number,Number of people,
2013,Census usually resident population,ACTS Churches,ACTS Churches,Far North,Far North District,Percentage of total stated,0.1022715039294,percentage,% of people,
2013,Census usually resident population,Assemblies of God,Assemblies of God,Far North,Far North District,Count,102,number,Number of people,
2013,Census usually resident population,Assemblies of God,Assemblies of God,Far North,Far North District,Percentage of total stated,0.1830121649263,percentage,% of people,
2013,Census usually resident population,Christian Fellowship,Christian Fellowship,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Christian Fellowship,Christian Fellowship,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Christian Outreach,Christian Outreach,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Christian Outreach,Christian Outreach,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Christian Revival Crusade,Christian Revival Crusade,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Christian Revival Crusade,Christian Revival Crusade,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Elim,Elim,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Elim,Elim,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Full Gospel,Full Gospel,Far North,Far North District,Count,3,number,Number of people,
2013,Census usually resident population,Full Gospel,Full Gospel,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,Independent Pentecostal,Independent Pentecostal,Far North,Far North District,Percentage of total stated,0.005382710733125,percentage,% of people,
2013,Census usually resident population,New Life,New Life,Far North,Far North District,Count,9,number,Number of people,
2013,Census usually resident population,New Life,New Life,Far North,Far North District,Percentage of total stated,0.01614813219938,percentage,% of people,
2013,Census usually resident population,Revival Centres,Revival Centres,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Revival Centres,Revival Centres,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,United Pentecostal,United Pentecostal,Far North,Far North District,Count,27,number,Number of people,
2013,Census usually resident population,United Pentecostal,United Pentecostal,Far North,Far North District,Percentage of total stated,0.04844439659813,percentage,% of people,
2013,Census usually resident population,Vineyard Christian Fellowship,Vineyard Christian Fellowship,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Vineyard Christian Fellowship,Vineyard Christian Fellowship,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Commonwealth Covenant Church,Commonwealth Covenant Church,Far North,Far North District,Count,0,number,Number of people,
2013,Census usually resident population,Commonwealth Covenant Church,Commonwealth Covenant Church,Far North,Far North District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Pentecostal (not elsewhere classified),Pentecostal nec,Far North,Far North District,Count,24,number,Number of people,
2013,Census usually resident population,Pentecostal (not elsewhere classified),Pentecostal nec,Far North,Far North District,Percentage of total stated,0.043061685865,percentage,% of people,
2013,Census usually resident population,Presbyterian,Presbyterian,Far North,Far North District,Count,1980,number,Number of people,
2013,Census usually resident population,Presbyterian,Presbyterian,Far North,Far North District,Percentage of total stated,3.552589083863,percentage,% of people,
