"area_code","area_name","land_area_sq_km","year","category","count"
"100100","North Cape",829.1880122,2013,"No Religion",294
"100200","Rangaunu Harbour",274.00429523,2013,"No Religion",540
"100400","Karikari Peninsula",174.44075094,2013,"No Religion",429
"100500","Tangonge",177.18211725,2013,"No Religion",270
"100600","Ahipara",4.52817343,2013,"No Religion",264
"100700","Kaitāia East",5.27365652,2013,"No Religion",396
"100800","Kaitāia West",3.20492089,2013,"No Religion",612
"100900","Rangitihi",84.53998182,2013,"No Religion",216
"101000","Oruru-Parapara",103.35079892,2013,"No Religion",261
"101101","Doubtless Bay",10.28295387,2013,"No Religion",678
"101200","Herekino-Takahue",303.89243763,2013,"No Religion",276
"101300","Peria",199.62902614,2013,"No Religion",396
"101400","Taemaro-Oruaiti",156.79965439,2013,"No Religion",270
"101500","Whakapaku",200.89813636,2013,"No Religion",258
"101600","Hokianga North",347.97565248,2013,"No Religion",72
"101700","Kohukohu-Broadwood",209.18578479,2013,"No Religion",180
"101801","Whakarara",169.53888569,2013,"No Religion",348
"101900","Kāeo",255.56277377,2013,"No Religion",402
"102000","Omahuta Forest-Horeke",463.70732095,2013,"No Religion",240
"102100","Hokianga South",126.04377437,2013,"No Religion",348
"102201","Lake Manuwai-Kapiro",58.84771293,2013,"No Religion",930
"102300","Ōkaihau",147.67716336,2013,"No Religion",414
"102401","Rangitane-Purerua",123.16367885,2013,"No Religion",507
"102501","Waipapa",8.01129773,2013,"No Religion",339
"102600","Puketotara",55.26517701,2013,"No Religion",630
"102700","Waimā Forest",237.00189311,2013,"No Religion",246
"102801","Riverview",7.59273943,2013,"No Religion",705
"102900","Waipoua Forest",277.85666173,2013,"No Religion",297
"103000","Kerikeri Central",3.71213248,2013,"No Religion",795
"103101","Kerikeri South",10.74592665,2013,"No Religion",927
"103200","Ōhaeawai-Waimate North",87.3738753,2013,"No Religion",369
"103301","Puketona-Waitangi",161.07163614,2013,"No Religion",546
"103401","Ngapuhi",175.14096915,2013,"No Religion",327
"103501","Kaikohe",5.92075842,2013,"No Religion",981
"103600","Pakaraka",72.43609857,2013,"No Religion",216
"103700","Haruru",1.52723479,2013,"No Religion",387
"103800","Russell",3.27976731,2013,"No Religion",288
"103900","Paihia",2.24160089,2013,"No Religion",408
"104000","Mataraua Forest",272.80814467,2013,"No Religion",132
"104101","Matawaia-Taumarere",408.23577414,2013,"No Religion",315
"104200","Russell Peninsula",26.16910118,2013,"No Religion",231
"104301","Ōpua (Far North District)",5.60247316,2013,"No Religion",411
"104400","Russell Forest-Rawhiti",191.36550113,2013,"No Religion",198
"104501","Moerewa",4.26452607,2013,"No Religion",246
"104600","Kawakawa",1.73138109,2013,"No Religion",330
"104700","Maromaku",238.3372869,2013,"No Religion",222
"104800","Mangakahia-Hūkerenui",659.25433007,2013,"No Religion",696
"104900","Whangaruru",469.26285419,2013,"No Religion",840
"105101","Matarau",104.41641887,2013,"No Religion",1128
"105200","Hikurangi",4.00139063,2013,"No Religion",543
"105300","Kauri",56.00841896,2013,"No Religion",726
"105400","Maungatāpere",174.48219043,2013,"No Religion",1305
"105500","Kamo West",4.49813602,2013,"No Religion",822
"105601","Matapouri-Tutukākā",78.52793834,2013,"No Religion",669
"105700","Kiripaka",72.02340649,2013,"No Religion",432
"105800","Kamo East",1.4271822,2013,"No Religion",903
"105901","Granfield Reserve",5.07285984,2013,"No Religion",1065
"106000","Kamo Central",1.09355039,2013,"No Religion",627
"106100","Whau Valley",7.17969266,2013,"No Religion",900
"106201","Tikipunga North",3.00796967,2013,"No Religion",699
"106301","Pukenui",16.12879184,2013,"No Religion",390
"106401","Otangarei",0.77428066,2013,"No Religion",405
"106501","Tikipunga South",2.74040866,2013,"No Religion",1290
"106600","Kensington (Whangarei District)",3.11262999,2013,"No Religion",1065
"106700","Abbey Caves-Glenbervie",32.11053306,2013,"No Religion",480
"106800","Mairtown",0.94344416,2013,"No Religion",741
"106901","Maunu",5.65364645,2013,"No Religion",678
"106902","Horahora",1.71126142,2013,"No Religion",489
"107000","Woodhill-Vinetown",1.38515815,2013,"No Religion",894
"107100","Whangārei Central",2.81179369,2013,"No Religion",255
"107200","Riverside",3.50673417,2013,"No Religion",804
"107300","Raumanga",3.45851817,2013,"No Religion",1029
"107401","Tarewa",1.04181712,2013,"No Religion",594
"107501","Morningside (Whangarei District)",1.70121352,2013,"No Religion",723
"107600","Ngunguru",3.56894133,2013,"No Religion",450
"107700","Otaika-Portland",41.50854396,2013,"No Religion",546
"107800","Oakleigh-Mangapai",323.7736246,2013,"No Religion",1053
"107901","Port-Limeburners",6.8140361,2013,"No Religion",15
"108000","Pātaua",128.70798686,2013,"No Religion",660
"108100","Onerahi Park",1.99901062,2013,"No Religion",537
"108200","Sherwood Rise",1.30665087,2013,"No Religion",906
"108300","Onerahi",2.29379074,2013,"No Religion",762
"108500","Pārua Bay",39.15885368,2013,"No Religion",921
"108601","Bream Bay",237.68049175,2013,"No Religion",798
"108701","One Tree Point",2.91449502,2013,"No Religion",621
"108800","Ruakākā",15.59194604,2013,"No Religion",801
"108900","Bream Head",52.17981642,2013,"No Religion",558
"109003","Waipū",3.52717397,2013,"No Religion",306
"109004","Waipū Rural",133.07832953,2013,"No Religion",576
"109101","Kaipara Coastal",1248.03288903,2013,"No Religion",1296
"109200","Maungaru",691.81280285,2013,"No Religion",738
"109301","Dargaville",12.85790043,2013,"No Religion",1212
"109400","Rūāwai-Matakohe",530.46721324,2013,"No Religion",921
"109500","Otamatea (Kaipara District)",244.84990773,2013,"No Religion",603
"109600","Maungatūroto",21.60130903,2013,"No Religion",360
"109700","Kaiwaka",259.02796729,2013,"No Religion",711
"109800","Mangawhai Rural",91.56214807,2013,"No Religion",693
"109900","Mangawhai Heads",6.98753193,2013,"No Religion",534
"110100","Mangawhai",1.88950133,2013,"No Religion",255
"110201","Okahukura Peninsula",211.05661524,2013,"No Religion",606
"110400","Cape Rodney",370.68111926,2013,"No Religion",1527
"110501","Wellsford",4.72066767,2013,"No Religion",705
"110700","South Head",339.7177126,2013,"No Religion",990
"110800","Kaipara Hills",282.62113535,2013,"No Religion",810
"110900","Dome Valley-Matakana",84.76080134,2013,"No Religion",672
"111100","Warkworth West",11.3622854,2013,"No Religion",762
"111200","Puhoi Valley",236.49144612,2013,"No Religion",1521
"111300","Warkworth East",4.21945959,2013,"No Religion",1011
"111400","Sandspit",22.25221069,2013,"No Religion",405
"111500","Tawharanui Peninsula",46.70381446,2013,"No Religion",759
"111601","Kaukapakapa",5.25956593,2013,"No Religion",288
