"priority","category","country_code","id","name","religion","denomination","address","amenity","building","lat","lng","tags_raw"
1,"institutional_site","NZ","w222749634","Arataki School Hall","christian","apostolic","4, Kaimanawa Street, Mount Maunganui, Tauranga, 3116","place_of_worship","yes","NA","NA","{""addr:city"":""Tauranga"",""addr:country"":""NZ"",""addr:housenumber"":""4"",""addr:postcode"":""3116"",""addr:street"":""Kaimanawa Street"",""addr:suburb"":""Mount Maunganui"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""apostolic"",""name"":""Arataki School Hall"",""religion"":""christian""}"
1,"institutional_site","NZ","w927686244","Bishop Viard College Chapel","christian","catholic","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""catholic"",""name"":""Bishop Viard College Chapel"",""religion"":""christian""}"
1,"institutional_site","NZ","w1027560212","Catholic Cathedral College Chapel","unknown","","","","chapel","NA","NA","{""building"":""chapel"",""name"":""Catholic Cathedral College Chapel""}"
1,"institutional_site","NZ","w504382170","Christ's College Chapel","unknown","","","","chapel","NA","NA","{""building"":""chapel"",""name"":""Christ's College Chapel"",""wikidata"":""Q5108639""}"
1,"institutional_site","NZ","w412567214","Craighead Diocesan School Chapel","christian","anglican","Kitchener Square","place_of_worship","yes","NA","NA","{""addr:street"":""Kitchener Square"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""anglican"",""name"":""Craighead Diocesan School Chapel"",""religion"":""christian""}"
1,"institutional_site","NZ","r17407562","Dundas Street Methodist Church and Sunday School Hall (former)","christian","methodist","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""methodist"",""name"":""Dundas Street Methodist Church and Sunday School Hall (former)"",""ref:nz:heritage"":""3367"",""religion"":""christian"",""type"":""multipolygon"",""wikidata"":""Q77347518""}"
1,"institutional_site","NZ","w670185293","Sacred Heart Chapel (remaining part of Erskine College)","christian","catholic","24, Erica Pabst Way, Island Bay, Wellington, 6023","place_of_worship","yes","NA","NA","{""addr:city"":""Wellington"",""addr:housenumber"":""24"",""addr:postcode"":""6023"",""addr:street"":""Erica Pabst Way"",""addr:suburb"":""Island Bay"",""amenity"":""place_of_worship"",""building"":""yes"",""building:levels"":""4"",""denomination"":""catholic"",""name"":""Sacred Heart Chapel (remaining part of Erskine College)"",""ref:linz:address_id"":""2248917"",""religion"":""christian""}"
1,"institutional_site","NZ","w289994446","Saint John's College Chapel","christian","anglican;methodist","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""anglican;methodist"",""name"":""Saint John's College Chapel"",""ref:nz:heritage"":""13"",""religion"":""christian"",""wikidata"":""Q23641148"",""wikipedia"":""en:Chapel of St John the Evangelist, Auckland""}"
2,"hall_centre_house_site","NZ","w256521526","Abundant Life Centre / Abundant Life Church Wellington","christian","nondenominational","71, Abel Smith Street, Te Aro, Wellington, 6011","place_of_worship","yes","NA","NA","{""addr:city"":""Wellington"",""addr:housenumber"":""71"",""addr:postcode"":""6011"",""addr:street"":""Abel Smith Street"",""addr:suburb"":""Te Aro"",""amenity"":""place_of_worship"",""building"":""yes"",""building:levels"":""2"",""check_date"":""2024-12-31"",""denomination"":""nondenominational"",""name"":""Abundant Life Centre / Abundant Life Church Wellington"",""ref:linz:address_id"":""358490"",""religion"":""christian"",""start_date"":""1978"",""website"":""https://www.alc.org.nz/""}"
2,"hall_centre_house_site","NZ","w673517317","Abundant Life Community Church","christian","evangelical","36, Sutherland Road, Brookfield, Tauranga, 3110","place_of_worship","yes","NA","NA","{""addr:city"":""Tauranga"",""addr:housenumber"":""36"",""addr:postcode"":""3110"",""addr:street"":""Sutherland Road"",""addr:suburb"":""Brookfield"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""evangelical"",""name"":""Abundant Life Community Church"",""ref:linz:address_id"":""786122"",""religion"":""christian"",""start_date"":""1982""}"
