"label","first_year","last_year","first_share","last_share","delta"
"South Africa",1996,2022,12.8511494209739,2.90569895785905,-9.94545046311481
"Ghana",2010,2021,5.28063425006133,1.06931496680018,-4.21131928326115
"Nauru",2002,2021,4.5306,1.3442,-3.1864
"Zambia",2010,2022,1.80123448501627,1.27220239828666,-0.529032086729605
"Kiribati",1990,2015,0.0774027469792905,0.0463152166412436,-0.0310875303380469
"Micronesia",2000,2023,0.75695473048744,0.745107078019399,-0.0118476524680415
"Solomon Islands",2009,2019,0.132015159245546,0.170213203302282,0.0381980440567356
"Tokelau",2006,2016,0,0.0835315789473684,0.0835315789473684
"Tuvalu",2012,2017,0.157943609022556,0.248571428571429,0.0906278195488722
"Burkina Faso",2006,2019,0.378294632004453,0.668131379995793,0.289836747991341
"Kosovo",2011,2024,0.0713765617231618,0.498176682837548,0.426800121114386
"Rwanda",2012,2022,2.50521862884205,3.04156091386078,0.536342285018735
"Romania",2011,2021,0.210633268585533,0.784827901913008,0.574194633327475
"Serbia",2002,2022,0.534379696748507,1.24557736355768,0.711197666809175
"Albania",2011,2023,3.09016747746004,4.30880547667824,1.2186379992182
"Montenegro",2003,2023,0.968009374581751,2.68394714872369,1.71593777414194
"Brazil",2000,2022,7.37137420133784,9.2885969468326,1.91722274549475
"Peru",2007,2017,2.91933433545149,5.08857387512997,2.16923953967848
"Croatia",2001,2021,2.21694490839354,4.70546197263673,2.48851706424319
"Singapore",2010,2020,16.9816010704311,19.9886683501304,3.00706727969926
"Liechtenstein",2010,2020,5.39988138261086,9.60439994879017,4.20451856617931
"Niue",1986,2022,1.8965,7.1611,5.2646
"Dominica",1991,2011,2.9108,9.4309,6.5201
"Portugal",2011,2021,7.4631599489386,14.0878267060659,6.6246667571273
"South Korea",1995,2015,49.2747621035375,56.0600732549438,6.78531115140632
"Mexico",2000,2020,3.54827617016733,10.6074934901959,7.05921732002856
"Australia",2016,2021,33.2679118450708,41.9391681028787,8.67125625780792
"New Zealand",2013,2023,41.9205668057291,51.5834717491419,9.66290494341273
"Ireland",2011,2022,5.76348774282173,15.5141390301217,9.75065128729996
"Switzerland",1970,2000,1.14211394557037,11.1138115699622,9.9716976243918
"Saint Lucia",2001,2022,4.63022276399046,15.0312497232506,10.4010269592601
"Hungary",2001,2022,16.454706747448,27.2001950314537,10.7454882840057
"Slovakia",2001,2021,12.9619727983597,23.7851346492282,10.8231618508686
"Chile",2002,2024,8.29465426756436,25.668706969565,17.3740527020006
"Estonia",2000,2021,40.1630101677809,58.4279793364691,18.2649691686882
"Austria",1951,2021,3.80991883217321,22.3558920878236,18.5459732556504
"Belize",2000,2022,9.38990400282623,31.038446102349,21.6485420995228
"England & Wales",2001,2021,16.0509383539166,39.5733133024294,23.5223749485129
"Scotland",2001,2022,29.1477808338298,54.4732603176742,25.3254794838444
