field,allowed_value,meaning
source_type,osm_history,Historical OpenStreetMap evidence or extract
source_type,osm_date_tags,OpenStreetMap date tags such as start_date or old_start_date
source_type,street_imagery,Street-level imagery used for visual verification
source_type,aerial_imagery,Aerial or satellite imagery used for visual verification
source_type,field_observation,Direct field observation by an RA or project team member
source_type,charities_register,Charities Services register or related charity record
source_type,incorporated_societies,Incorporated societies register evidence
source_type,linz_building_outlines,Land Information New Zealand building outline evidence
source_type,linz_property,Land Information New Zealand property or address evidence
source_type,denominational_directory,Denominational directory or yearbook evidence
source_type,archived_website,Archived website or web page evidence
source_type,local_council,Local council register or planning evidence
source_type,heritage_list,Heritage list or protected-place evidence
source_type,other,Other source type
lifecycle_event_type,organisation_founded,Religious organisation or congregation began
lifecycle_event_type,site_opened,Worship began at the physical location
lifecycle_event_type,building_opened_or_dedicated,Building was opened or dedicated
lifecycle_event_type,first_seen,First source evidence that the place existed or was active
lifecycle_event_type,last_seen,Last source evidence that the place existed or was active
lifecycle_event_type,site_closed,Worship use ended at the physical location
lifecycle_event_type,building_demolished,Building was demolished
lifecycle_event_type,use_changed,Building remains but use changed away from worship
lifecycle_event_type,relocated,Congregation or organisation moved to another site
lifecycle_event_type,other,Other lifecycle event
lifecycle_event_type,unknown,Lifecycle event type is not clear
observation_date_basis,census_date,Observation is intended to represent census-year status
observation_date_basis,directory_year,Date comes from a directory or yearbook year
observation_date_basis,registration_date,Date comes from an organisation registration record
observation_date_basis,deregistration_date,Date comes from an organisation deregistration record
observation_date_basis,imagery_capture_date,Date comes from aerial or street imagery capture
observation_date_basis,field_observation_date,Date comes from direct field observation
observation_date_basis,osm_version_timestamp,Date comes from an OpenStreetMap object version timestamp
observation_date_basis,osm_lifecycle_tag,Date comes from an OpenStreetMap lifecycle tag
observation_date_basis,annual_return_year,Date comes from an annual return or filing year
observation_date_basis,web_archive_date,Date comes from a web archive capture date
observation_date_basis,source_publication_date,Date comes from source publication date
observation_date_basis,unknown,Date basis is not clear
date_precision,day,Exact day is known
date_precision,month,Month and year are known
date_precision,year,Only year is known
date_precision,bounded,Only a bounded or range-based date is known
date_precision,unknown,Date precision is not known
existence_status,present,Source indicates the site existed at the relevant time
existence_status,absent,Source indicates the site did not exist at the relevant time
existence_status,uncertain,Source does not clearly establish existence
worship_use_status,confirmed_worship,Source confirms worship use
worship_use_status,probable_worship,Source makes worship use probable
worship_use_status,organisation_only,Source identifies an organisation but not a worship site
worship_use_status,building_only,Source identifies a building but not worship use
worship_use_status,not_worship,Source indicates the site is not a place of worship
worship_use_status,no_building_present,No building here now: the building or site has gone; the RA may have recorded when it stood and was used
worship_use_status,uncertain,Worship use is unclear
public_access_status,public,Source indicates ordinary public access
