"side","name","region"
"census_unit_unmatched","GNAMANGUI","NAWA"
"census_unit_unmatched","GRAND-ZATTRY","NAWA"
"census_unit_unmatched","ASSINIE","SUD-COMOE"
"census_unit_unmatched","GALEBRE","GÔH"
"census_unit_unmatched","GAGORE","LÔH-DJIBOUA"
"census_unit_unmatched","KOKUMBO","BELIER"
"census_unit_unmatched","DJANGOKRO","N'ZI"
"census_unit_unmatched","BEDY-GOAZON","CAVALLY"
"census_unit_unmatched","GUEZON-DUEKOUE","GUEMON"
"census_unit_unmatched","TIENY-SIABLY","GUEMON"
"census_unit_unmatched","KETTRO-BASSAM","HAUT-SASSANDRA"
"census_unit_unmatched","MARABADJASSA","GBEKE"
"census_unit_unmatched","DIBRI-ASRIKRO","GBEKE"
"census_unit_unmatched","TIENDENE-BAMBARASSO","HAMBOL"
"census_unit_unmatched","NIAKARAMADOUGOU","HAMBOL"
"census_unit_unmatched","NIEDEKAHA","HAMBOL"
"census_unit_unmatched","BOBI","du WORODOUGOU"
"census_unit_unmatched","DIARABANA","du WORODOUGOU"
"census_unit_unmatched","MARHANDALLAH","BERE"
"census_unit_unmatched","APPIMANDOUM","GONTOUGO"
"census_unit_unmatched","TIEDIO","GONTOUGO"
"census_unit_unmatched","KOTOUBA","BOUNKANI"
"adm3_feature_unused","Appimadoum","Gontougo"
"adm3_feature_unused","Assinie-Mafia","Sud-Comoe"
"adm3_feature_unused","Bédi-Gaozon","Cavally"
"adm3_feature_unused","Bobi-Diarabana","Worodougou"
"adm3_feature_unused","Diangokro","N'Zi"
"adm3_feature_unused","Dibri-Assirikro","Gbeke"
"adm3_feature_unused","Galébouo","Goh"
"adm3_feature_unused","Gnanmangui","Nawa"
"adm3_feature_unused","Grand-Zatry","Nawa"
"adm3_feature_unused","Kadéko","Loh-Djiboua"
"adm3_feature_unused","Kétro-Bassam","Haut-Sassandra"
"adm3_feature_unused","Kokoumbo","Belier"
"adm3_feature_unused","Koutouba","Bounkani"
"adm3_feature_unused","Marabadiassa","Gbeke"
"adm3_feature_unused","Marandallah","Bere"
"adm3_feature_unused","Niakaramandougou","Hambol"
"adm3_feature_unused","Niédiékaha","Hambol"
"adm3_feature_unused","Parc National de Bona","Bounkani"
"adm3_feature_unused","Tchèdio","Gontougo"
"adm3_feature_unused","Tendéné-Bambarasso","Hambol"
"adm3_feature_unused","Tiény-Séably","Guemon"
