island_unit_id,island_unit_name,islands_1967,islands_2009,area_councils_2020,province,notes
torres-group,Torres group,Hiu;Tegua;Lo;Toga,Hiu;Loh;Metoma;Tegua;Toga,Torres,Torba,"island-GROUP rule: Torres combines Hiu, Tegua, Loh/Lo, Toga, and Metoma; Torres has no ADM2 polygon."
ureparapara,Ureparapara,Ureparapara,Ureparapara,Ureparapara,Torba,
motalava-rah-group,Mota Lava and Rah group,Mota Lava,Motalava;Rah,Motalava,Torba,island-GROUP rule: Motalava combines Mota Lava and Rah; 1967 has no separate Rah row.
vanua-lava-kwakea-group,Vanua Lava and Kwakea group,Vanua Lava;Pakea,Kwakea;Vanualava,Vanua Lava,Torba,island-GROUP rule: Vanua Lava combines Vanua Lava and Kwakea; 1967 Pakea is treated as Kwakea.
mota,Mota,Mota,Mota,Mota,Torba,
gaua,Gaua,Gaua,Gaua,Gaua,Torba,
merelava-merig-group,Mere Lava and Merig group,Merig;Mere Lava,Merelava;Merig,Merelava,Torba,island-GROUP rule: Merelava combines Mere Lava and Merig; 1967 writes Mere Lava with a space.
santo,Santo,Santo,Santo,North West Santo;North Santo;West Santo;South Santo;East Santo;South East Santo;Canal - Fanafo;Luganville,Sanma,large island split across several 2020 ACs; Luganville maps to Santo.
pilot,Pilot,Pilot,,,Sanma,UNRESOLVED 2009/2020 placement; no source-row match is encoded.
mafia,Mafia,Mafia,,,Sanma,UNRESOLVED 2009/2020 placement; no source-row match is encoded.
ais,Ais,Ais,,,Sanma,UNRESOLVED 2009/2020 placement; no source-row match is encoded.
tutuba,Tutuba,Tutuba,Tutuba,,Sanma,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
aore,Aore,Aoro,Aore,,Sanma,1967 Aoro is treated as Aore; UNRESOLVED 2020 AC placement.
malo,Malo,Malo,Malo,West Malo;East Malo,Sanma,large island split across two 2020 ACs.
malokilikili,Malokilikili,Malokilikili,Malokilikili,,Sanma,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
urelapa,Urelapa,Urelapa,,,Sanma,UNRESOLVED 2009/2020 placement; no source-row match is encoded.
tangoa,Tangoa,Tangoa,Tangoa,,Sanma,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
araki,Araki,Araki,Araki,,Sanma,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
bokissa,Bokissa,,Bokissa,,Sanma,UNRESOLVED 1967/2020 placement; no exact 1967 or 2020 row.
mavea,Mavea,,Mavea,,Sanma,UNRESOLVED 1967/2020 placement; no exact 1967 or 2020 row.
ambae,Ambae,Aoba,Ambae,West Ambae;North Ambae;East Ambae;South Ambae,Penama,1967 Aoba is treated as Ambae; large island split across four 2020 ACs.
maewo,Maewo,Maewo,Maewo,North Maewo;South Maewo,Penama,
pentecost,Pentecost,Pentecost,Pentecost,North Pentecost;Central Pentecost 1;Central Pentecost 2;South Pentecost,Penama,large island split across four 2020 ACs.
malekula,Malekula,Malekula,Malekula,North West Malekula;North East Malekula;Central Malekula;South West Malekula;South East Malekula;South Malekula,Malampa,large island split across six 2020 ACs.
vao,Vao,Vao,Vao,,Malampa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
atchin,Atchin,Atchin,Atchin,,Malampa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
wala,Wala,Wala,Wala,,Malampa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
ranro,Ranro,Rano,Ranro,,Malampa,1967 Rano is treated as Ranro; UNRESOLVED 2020 AC placement.
norsup,Norsup,Norsup,Norsup,,Malampa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
uripiv,Uripiv,Uripiv,Uripiv,,Malampa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
uri,Uri,Uri,Uri,,Malampa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
sakao-khoti,Sakao/Khoti,Sakau,Khoti (Sakao),,Malampa,1967 Sakau is treated as 2009 Khoti (Sakao); UNRESOLVED 2020 AC placement.
kolivu,Kolivu,Kolivu,,,Malampa,UNRESOLVED 2009/2020 placement; no source-row match is encoded.
uliveo,Uliveo,,Uliveo,,Malampa,UNRESOLVED 1967/2020 placement; no exact 1967 or 2020 row.
lembong,Lembong,,Lembong,,Malampa,UNRESOLVED 1967/2020 placement; no exact 1967 or 2020 row.
avock,Avock,Avock,Avock,,Malampa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
ahamb,Ahamb,Ahamb,Akhamb,,Malampa,1967 Ahamb is treated as 2009 Akhamb; UNRESOLVED 2020 AC placement.
toman,Tomman,Toman,Tomman,,Malampa,1967 Toman is treated as 2009 Tomman; UNRESOLVED 2020 AC placement.
ambrym,Ambrym,Ambrym,Ambrym,North Ambrym;West Ambrym;South East Ambrym,Malampa,large island split across three 2020 ACs.
paama,Paama,Paama,Paama,Paama,Malampa,
lopevi,Lopevi,Lopevi,,,Malampa,UNRESOLVED 2009/2020 placement; no source-row match is encoded.
lamen,Lamen,Lamen,Lamen,,Shefa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
epi,Epi,Epi,Epi,Vermali;Vermaul;Varisu;South Epi,Shefa,large island split across four 2020 ACs.
tongoa,Tongoa,Tongoa,Tongoa,North Tongoa,Shefa,
tongariki,Tongariki,Tongariki,Tongariki,Tongariki,Shefa,
buninga,Buninga,Buninga,Buninga,,Shefa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
makimae-group,Makimae group,Emae;Makura;Mataso,Emae;Makira;Mataso,Makimae,Shefa,"island-GROUP rule: Makimae combines Emae, Makira/Makura, and Mataso."
efate,Efate,Efate,Efate,Malorua;North Efate;Mele;Pango;Erakor;Eratap;Eton;Port Vila,Shefa,large island split across several 2020 ACs; Port Vila maps to Efate.
nguna-pele-group,Nguna and Pele group,Nguna;Pele,Nguna;Pele,Nguna,Shefa,island-GROUP rule: Nguna combines Nguna and Pele.
emau,Emau,Emau,Emau,Emau,Shefa,
moso,Moso,Moso,Moso,,Shefa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
lelepa,Lelepa,Leleppa,Lelepa,,Shefa,1967 Leleppa is treated as Lelepa; UNRESOLVED 2020 AC placement.
iririki,Iririki,Iririki,Iririki,,Shefa,UNRESOLVED 2020 AC placement; no distinct 2020 AC row/name.
ifira,Ifira,Fila,Ifira,Ifira,Shefa,1967 Fila is treated as Ifira.
kakula,Kakula,,Kakula,,Shefa,UNRESOLVED 1967/2020 placement; no exact 1967 or 2020 row.
erromango,Erromango,Erromango,Erromango,North Erromango;South Erromango,Tafea,
tanna,Tanna,Tanna,Tanna,North Tanna;West Tanna;Middle Bush Tanna;South West Tanna;Whitesands;South Tanna,Tafea,large island split across six 2020 ACs.
aniwa,Aniwa,Aniwa,Aniwa,Aniwa,Tafea,
futuna,Futuna,Futuna,Futuna,Futuna,Tafea,
aneityum,Aneityum,Aneityum,Aneityum,Aneityum,Tafea,
ships-floating-population,Ships floating population,Ships,,,,non-island 1967 row; retained for coverage only and excluded from island-unit analysis.
new-hebrides-national-total,New Hebrides national total,New Hebrides,,,,non-island 1967 national total row; retained for coverage only and excluded from island-unit analysis.
